"country","year","ae_ton_manu"
"grc","2015",20268.48692
"grc","2016",21188.0372
"grc","2017",21103.88187
"grc","2018",20242.74289
"grc","2019",18756.1428
"grc","2020",17012.52515
"grc","2021",18237.95197
"grc","2022",16801.33705
"grc","2023",NA
"hun","1990",NA
"hun","1991",NA
"hun","1992",NA
"hun","1993",NA
"hun","1994",NA
"hun","1995",NA
"hun","1996",NA
"hun","1997",NA
"hun","1998",NA
"hun","1999",NA
"hun","2000",NA
"hun","2001",NA
"hun","2002",NA
"hun","2003",NA
"hun","2004",NA
"hun","2005",NA
"hun","2006",NA
"hun","2007",NA
"hun","2008",11857.60362
"hun","2009",9714.5989
"hun","2010",10006.19644
"hun","2011",10237.18388
"hun","2012",9340.93447
"hun","2013",9326.34751
"hun","2014",9998.14034
"hun","2015",10780.86016
"hun","2016",10731.22996
"hun","2017",11928.50947
"hun","2018",12284.57777
"hun","2019",12016.10197
"hun","2020",11654.88634
"hun","2021",11628.16134
"hun","2022",9769.63073
"hun","2023",NA
"isl","1990",NA
"isl","1991",NA
"isl","1992",NA
"isl","1993",NA
"isl","1994",NA
"isl","1995",NA
"isl","1996",NA
"isl","1997",NA
"isl","1998",NA
"isl","1999",NA
"isl","2000",NA
"isl","2001",NA
"isl","2002",NA
"isl","2003",NA
"isl","2004",NA
"isl","2005",NA
"isl","2006",NA
"isl","2007",NA
"isl","2008",2164.50001
"isl","2009",1940.8928
"isl","2010",1932.87534
"isl","2011",1821.46867
"isl","2012",1890.9632
"isl","2013",1905.06525
"isl","2014",1848.02472
"isl","2015",1933.29809
"isl","2016",1904.11545
"isl","2017",1960.28369
"isl","2018",1993.80368
"isl","2019",2076.7825
"isl","2020",2050.96994
"isl","2021",2125.88684
"isl","2022",2104.1261
"isl","2023",NA
"irl","1990",NA
"irl","1991",NA
"irl","1992",NA
"irl","1993",NA
"irl","1994",NA
"irl","1995",NA
"irl","1996",NA
"irl","1997",NA
"irl","1998",NA
"irl","1999",NA
"irl","2000",NA
"irl","2001",NA
"irl","2002",NA
"irl","2003",NA
"irl","2004",NA
"irl","2005",NA
"irl","2006",NA
"irl","2007",NA
"irl","2008",7622.71462
"irl","2009",6617.66337
"irl","2010",6231.26272
"irl","2011",5676.27248
"irl","2012",6024.33341
"irl","2013",6194.83559
"irl","2014",6820.07991
"irl","2015",7098.60415
"irl","2016",7242.25268
"irl","2017",7428.62956
"irl","2018",7646.04967
"irl","2019",7438.55906
"irl","2020",7237.5741
"irl","2021",7678.62722
"irl","2022",7114.19554
"irl","2023",NA
"ita","1990",NA
"ita","1991",NA
"ita","1992",NA
"ita","1993",NA
"ita","1994",NA
"ita","1995",NA
"ita","1996",NA
"ita","1997",NA
"ita","1998",NA
"ita","1999",NA
"ita","2000",NA
"ita","2001",NA
"ita","2002",NA
"ita","2003",NA
"ita","2004",NA
"ita","2005",NA
"ita","2006",NA
"ita","2007",NA
"ita","2008",150203.86239
"ita","2009",120825.30487
"ita","2010",127277.66526
"ita","2011",124097.48732
"ita","2012",114848.26295
"ita","2013",98868.42155
"ita","2014",92712.31719
"ita","2015",95802.6816
"ita","2016",93450.6681
"ita","2017",91495.25346
"ita","2018",92762.48612
"ita","2019",88073.99866
"ita","2020",78821.50197
"ita","2021",88534.06759
"ita","2022",86284.41741
"ita","2023",NA
"lva","1990",NA
"lva","1991",NA
"lva","1992",NA
"lva","1993",NA
"lva","1994",NA
"lva","1995",NA
"lva","1996",NA
"lva","1997",NA
"lva","1998",NA
"lva","1999",NA
"lva","2000",NA
"lva","2001",NA
"lva","2002",NA
"lva","2003",NA
"lva","2004",NA
"lva","2005",NA
"lva","2006",NA
"lva","2007",NA
"lva","2008",1546.41115
"lva","2009",1274.93134
"lva","2010",1764.45778
"lva","2011",1587.62152
"lva","2012",1652.91383
"lva","2013",1434.20613
"lva","2014",1405.73534
"lva","2015",1266.3292
"lva","2016",1103.55242
"lva","2017",1244.9334
"lva","2018",1459.60294
"lva","2019",1394.29346
"lva","2020",1316.22081
"lva","2021",1298.31448
"lva","2022",1250.41447
"lva","2023",NA
"ltu","1990",NA
"ltu","1991",NA
"ltu","1992",NA
"ltu","1993",NA
"ltu","1994",NA
"ltu","1995",NA
"ltu","1996",NA
"ltu","1997",NA
"ltu","1998",NA
"ltu","1999",NA
"ltu","2000",NA
"ltu","2001",NA
"ltu","2002",NA
"ltu","2003",NA
"ltu","2004",NA
"ltu","2005",NA
"ltu","2006",NA
"ltu","2007",NA
"ltu","2008",8402.65929
"ltu","2009",5143.44663
"ltu","2010",5102.5658
"ltu","2011",6554.09658
"ltu","2012",6421.70072
"ltu","2013",5833.89394
"ltu","2014",6220.38666
"ltu","2015",6515.0847
"ltu","2016",5801.75176
"ltu","2017",5771.12762
"ltu","2018",5465.60947
"ltu","2019",5693.0226
"ltu","2020",5533.24964
"ltu","2021",5111.06371
"ltu","2022",4362.99458
"ltu","2023",NA
"lux","1990",NA
"lux","1991",NA
"lux","1992",NA
"lux","1993",NA
"lux","1994",NA
"lux","1995",NA
"lux","1996",NA
"lux","1997",NA
"lux","1998",NA
"lux","1999",NA
"lux","2000",NA
"lux","2001",NA
"lux","2002",NA
"lux","2003",NA
"lux","2004",NA
"lux","2005",NA
"lux","2006",NA
"lux","2007",NA
"lux","2008",1762.36367
"lux","2009",1579.41107
"lux","2010",1676.01853
"lux","2011",1614.59757
"lux","2012",1527.68025
"lux","2013",1453.5974
"lux","2014",1491.06939
"lux","2015",1459.69378
"lux","2016",1486.75268
"lux","2017",1482.1482
"lux","2018",1497.8757
"lux","2019",1530.76728
"lux","2020",1375.69366
"lux","2021",1314.759
"lux","2022",1112.15211
"lux","2023",NA
"mlt","1990",NA
"mlt","1991",NA
