"country","year","ae_ton_water"
"prt","1994",NA
"prt","1995",NA
"prt","1996",NA
"prt","1997",NA
"prt","1998",NA
"prt","1999",NA
"prt","2000",NA
"prt","2001",NA
"prt","2002",NA
"prt","2003",NA
"prt","2004",NA
"prt","2005",NA
"prt","2006",NA
"prt","2007",NA
"prt","2008",7346.6087
"prt","2009",7444.4234
"prt","2010",7299.5531
"prt","2011",7315.853
"prt","2012",7128.8617
"prt","2013",7007.4077
"prt","2014",6842.1403
"prt","2015",6548.6747
"prt","2016",6645.0932
"prt","2017",6728.9462
"prt","2018",6633.9836
"prt","2019",6651.4794
"prt","2020",6418.4036
"prt","2021",6391.2204
"prt","2022",6812.97435
"prt","2023",NA
"rou","1990",NA
"rou","1991",NA
"rou","1992",NA
"rou","1993",NA
"rou","1994",NA
"rou","1995",NA
"rou","1996",NA
"rou","1997",NA
"rou","1998",NA
"rou","1999",NA
"rou","2000",NA
"rou","2001",NA
"rou","2002",NA
"rou","2003",NA
"rou","2004",NA
"rou","2005",NA
"rou","2006",NA
"rou","2007",NA
"rou","2008",7311.26026
"rou","2009",7047.43966
"rou","2010",7152.50611
"rou","2011",6705.13462
"rou","2012",6967.45436
"rou","2013",7254.44793
"rou","2014",7194.94398
"rou","2015",7238.06656
"rou","2016",7205.11771
"rou","2017",7264.06512
"rou","2018",7258.98145
"rou","2019",7273.60878
"rou","2020",7281.40883
"rou","2021",7274.29353
"rou","2022",7832.43814
"rou","2023",NA
"srb","1990",NA
"srb","1991",NA
"srb","1992",NA
"srb","1993",NA
"srb","1994",NA
"srb","1995",NA
"srb","1996",NA
"srb","1997",NA
"srb","1998",NA
"srb","1999",NA
"srb","2000",NA
"srb","2001",NA
"srb","2002",NA
"srb","2003",NA
"srb","2004",NA
"srb","2005",NA
"srb","2006",NA
"srb","2007",NA
"srb","2008",NA
"srb","2009",NA
"srb","2010",NA
"srb","2011",NA
"srb","2012",NA
"srb","2013",NA
"srb","2014",NA
"srb","2015",NA
"srb","2016",NA
"srb","2017",NA
"srb","2018",NA
"srb","2019",NA
"srb","2020",NA
"srb","2021",NA
"srb","2022",NA
"srb","2023",NA
"svk","1990",NA
"svk","1991",NA
"svk","1992",NA
"svk","1993",NA
"svk","1994",NA
"svk","1995",NA
"svk","1996",NA
"svk","1997",NA
"svk","1998",NA
"svk","1999",NA
"svk","2000",NA
"svk","2001",NA
"svk","2002",NA
"svk","2003",NA
"svk","2004",NA
"svk","2005",NA
"svk","2006",NA
"svk","2007",NA
"svk","2008",1958.71599
"svk","2009",1992.44229
"svk","2010",2045.20979
"svk","2011",2081.30904
"svk","2012",2095.28788
"svk","2013",2116.16056
"svk","2014",2118.0858
"svk","2015",2148.5651
"svk","2016",2121.68592
"svk","2017",2146.67804
"svk","2018",2161.97843
"svk","2019",2152.61898
"svk","2020",2151.46452
"svk","2021",2135.95096
"svk","2022",2224.65516
"svk","2023",NA
"svn","1990",NA
"svn","1991",NA
"svn","1992",NA
"svn","1993",NA
"svn","1994",NA
"svn","1995",NA
"svn","1996",NA
"svn","1997",NA
"svn","1998",NA
"svn","1999",NA
"svn","2000",NA
"svn","2001",NA
"svn","2002",NA
"svn","2003",NA
"svn","2004",NA
"svn","2005",NA
"svn","2006",NA
"svn","2007",NA
"svn","2008",713.25025
"svn","2009",647.5477
"svn","2010",639.53338
"svn","2011",646.44852
"svn","2012",629.22701
"svn","2013",607.19322
"svn","2014",575.70273
"svn","2015",586.69981
"svn","2016",583.53232
"svn","2017",574.75047
"svn","2018",541.0295
"svn","2019",535.93146
"svn","2020",513.93648
"svn","2021",498.06271
"svn","2022",529.29075
"svn","2023",NA
"esp","1990",NA
"esp","1991",NA
"esp","1992",NA
"esp","1993",NA
"esp","1994",NA
"esp","1995",NA
"esp","1996",NA
"esp","1997",NA
"esp","1998",NA
"esp","1999",NA
"esp","2000",NA
"esp","2001",NA
"esp","2002",NA
"esp","2003",NA
"esp","2004",NA
"esp","2005",NA
"esp","2006",NA
"esp","2007",NA
"esp","2008",15987.00339
"esp","2009",17523.7027
"esp","2010",16307.6036
"esp","2011",17034.42253
"esp","2012",16914.39642
"esp","2013",16096.02758
"esp","2014",15121.29707
"esp","2015",16118.05777
"esp","2016",15676.68265
"esp","2017",15572.40284
"esp","2018",15234.67075
"esp","2019",14866.63591
"esp","2020",14538.91044
"esp","2021",14297.2969
"esp","2022",14344.90549
"esp","2023",NA
"swe","1990",NA
"swe","1991",NA
"swe","1992",NA
"swe","1993",NA
"swe","1994",NA
"swe","1995",NA
"swe","1996",NA
"swe","1997",NA
"swe","1998",NA
"swe","1999",NA
"swe","2000",NA
"swe","2001",NA
"swe","2002",NA
"swe","2003",NA
"swe","2004",NA
"swe","2005",NA
"swe","2006",NA
"swe","2007",NA
"swe","2008",2605.36772
"swe","2009",2517.75561
"swe","2010",2422.75527
"swe","2011",2322.92478
