"country","year","ae_ton_health"
"deu","2018",7012.76784
"deu","2019",7138.9397
"deu","2020",7734.26915
"deu","2021",8124.35454
"deu","2022",7715.319
"deu","2023",NA
"grc","1990",NA
"grc","1991",NA
"grc","1992",NA
"grc","1993",NA
"grc","1994",NA
"grc","1995",NA
"grc","1996",NA
"grc","1997",NA
"grc","1998",NA
"grc","1999",NA
"grc","2000",NA
"grc","2001",NA
"grc","2002",NA
"grc","2003",NA
"grc","2004",NA
"grc","2005",NA
"grc","2006",NA
"grc","2007",NA
"grc","2008",125.5126
"grc","2009",120.5451
"grc","2010",119.47127
"grc","2011",120.3944
"grc","2012",124.42109
"grc","2013",106.79047
"grc","2014",105.9785
"grc","2015",114.47281
"grc","2016",120.44718
"grc","2017",111.9123
"grc","2018",113.82202
"grc","2019",121.00379
"grc","2020",145.52253
"grc","2021",127.41948
"grc","2022",122.72044
"grc","2023",NA
"hun","1990",NA
"hun","1991",NA
"hun","1992",NA
"hun","1993",NA
"hun","1994",NA
"hun","1995",NA
"hun","1996",NA
"hun","1997",NA
"hun","1998",NA
"hun","1999",NA
"hun","2000",NA
"hun","2001",NA
"hun","2002",NA
"hun","2003",NA
"hun","2004",NA
"hun","2005",NA
"hun","2006",NA
"hun","2007",NA
"hun","2008",326.00908
"hun","2009",326.52388
"hun","2010",331.73411
"hun","2011",332.26463
"hun","2012",298.53841
"hun","2013",316.55078
"hun","2014",326.97071
"hun","2015",331.51752
"hun","2016",337.78589
"hun","2017",300.46989
"hun","2018",338.96039
"hun","2019",319.37292
"hun","2020",377.20541
"hun","2021",386.39563
"hun","2022",345.11544
"hun","2023",NA
"isl","1990",NA
"isl","1991",NA
"isl","1992",NA
"isl","1993",NA
"isl","1994",NA
"isl","1995",NA
"isl","1996",NA
"isl","1997",NA
"isl","1998",NA
"isl","1999",NA
"isl","2000",NA
"isl","2001",NA
"isl","2002",NA
"isl","2003",NA
"isl","2004",NA
"isl","2005",NA
"isl","2006",NA
"isl","2007",NA
"isl","2008",2.3029
"isl","2009",2.39553
"isl","2010",2.3557
"isl","2011",2.4561
"isl","2012",2.49319
"isl","2013",2.34247
"isl","2014",2.33253
"isl","2015",2.43986
"isl","2016",2.37131
"isl","2017",2.20612
"isl","2018",2.33143
"isl","2019",2.13487
"isl","2020",2.22959
"isl","2021",2.16146
"isl","2022",2.10456
"isl","2023",NA
"irl","1990",NA
"irl","1991",NA
"irl","1992",NA
"irl","1993",NA
"irl","1994",NA
"irl","1995",NA
"irl","1996",NA
"irl","1997",NA
"irl","1998",NA
"irl","1999",NA
"irl","2000",NA
"irl","2001",NA
"irl","2002",NA
"irl","2003",NA
"irl","2004",NA
"irl","2005",NA
"irl","2006",NA
"irl","2007",NA
"irl","2008",378.1669
"irl","2009",343.5769
"irl","2010",311.63905
"irl","2011",303.78023
"irl","2012",309.44242
"irl","2013",307.62045
"irl","2014",295.83053
"irl","2015",312.61908
"irl","2016",332.522
"irl","2017",359.77712
"irl","2018",353.3226
"irl","2019",350.29829
"irl","2020",363.35627
"irl","2021",383.32496
"irl","2022",382.39761
"irl","2023",NA
"ita","1990",NA
"ita","1991",NA
"ita","1992",NA
