"country","year","ae_ton_real"
"fra","2013",485.58258
"fra","2014",451.85793
"fra","2015",474.1452
"fra","2016",474.82419
"fra","2017",493.32451
"fra","2018",502.91095
"fra","2019",519.61425
"fra","2020",435.27479
"fra","2021",486.5265
"fra","2022",452.09094
"fra","2023",NA
"deu","1990",NA
"deu","1991",NA
"deu","1992",NA
"deu","1993",NA
"deu","1994",NA
"deu","1995",NA
"deu","1996",NA
"deu","1997",NA
"deu","1998",NA
"deu","1999",NA
"deu","2000",NA
"deu","2001",NA
"deu","2002",NA
"deu","2003",NA
"deu","2004",NA
"deu","2005",NA
"deu","2006",NA
"deu","2007",NA
"deu","2008",1649.13155
"deu","2009",1491.38928
"deu","2010",1428.79609
"deu","2011",1388.32494
"deu","2012",1389.81059
"deu","2013",1372.02878
"deu","2014",601.30751
"deu","2015",616.32823
"deu","2016",611.64384
"deu","2017",602.21404
"deu","2018",573.62046
"deu","2019",565.16475
"deu","2020",522.59967
"deu","2021",520.87852
"deu","2022",477.41037
"deu","2023",NA
"grc","1990",NA
"grc","1991",NA
"grc","1992",NA
"grc","1993",NA
"grc","1994",NA
"grc","1995",NA
"grc","1996",NA
"grc","1997",NA
"grc","1998",NA
"grc","1999",NA
"grc","2000",NA
"grc","2001",NA
"grc","2002",NA
"grc","2003",NA
"grc","2004",NA
"grc","2005",NA
"grc","2006",NA
"grc","2007",NA
"grc","2008",0.36029
"grc","2009",0.33549
"grc","2010",0.33142
"grc","2011",0.33678
"grc","2012",0.40726
"grc","2013",0.49801
"grc","2014",0.59545
"grc","2015",0.70858
"grc","2016",0.89458
"grc","2017",1.14283
"grc","2018",1.31443
"grc","2019",2.31976
"grc","2020",3.63616
"grc","2021",2.96993
"grc","2022",3.06538
"grc","2023",NA
"hun","1990",NA
"hun","1991",NA
"hun","1992",NA
"hun","1993",NA
"hun","1994",NA
"hun","1995",NA
"hun","1996",NA
"hun","1997",NA
"hun","1998",NA
"hun","1999",NA
"hun","2000",NA
"hun","2001",NA
"hun","2002",NA
"hun","2003",NA
"hun","2004",NA
"hun","2005",NA
"hun","2006",NA
"hun","2007",NA
"hun","2008",464.69786
"hun","2009",525.98791
"hun","2010",624.63325
"hun","2011",628.19562
"hun","2012",504.74475
"hun","2013",517.47856
"hun","2014",463.11643
"hun","2015",497.2425
"hun","2016",500.10807
"hun","2017",476.97822
"hun","2018",479.3778
"hun","2019",484.74278
"hun","2020",489.4118
"hun","2021",515.59887
"hun","2022",473.44634
"hun","2023",NA
"isl","1990",NA
"isl","1991",NA
"isl","1992",NA
"isl","1993",NA
"isl","1994",NA
"isl","1995",NA
"isl","1996",NA
"isl","1997",NA
"isl","1998",NA
"isl","1999",NA
"isl","2000",NA
"isl","2001",NA
"isl","2002",NA
"isl","2003",NA
"isl","2004",NA
"isl","2005",NA
"isl","2006",NA
"isl","2007",NA
"isl","2008",3.35706
"isl","2009",3.8489
"isl","2010",3.53443
"isl","2011",3.67707
"isl","2012",3.6516
"isl","2013",3.48162
"isl","2014",4.18778
"isl","2015",4.32808
"isl","2016",5.78312
"isl","2017",6.60478
"isl","2018",7.05734
"isl","2019",6.68214
"isl","2020",5.78659
"isl","2021",6.02566
"isl","2022",6.23482
"isl","2023",NA
"irl","1990",NA
"irl","1991",NA
"irl","1992",NA
"irl","1993",NA
"irl","1994",NA
"irl","1995",NA
"irl","1996",NA
"irl","1997",NA
"irl","1998",NA
"irl","1999",NA
"irl","2000",NA
"irl","2001",NA
"irl","2002",NA
"irl","2003",NA
"irl","2004",NA
"irl","2005",NA
"irl","2006",NA
"irl","2007",NA
"irl","2008",35.28355
"irl","2009",30.71989
"irl","2010",25.73564
"irl","2011",19.79749
"irl","2012",19.53251
"irl","2013",27.31167
"irl","2014",29.27359
"irl","2015",41.84362
"irl","2016",50.79011
"irl","2017",26.71572
"irl","2018",42.04741
"irl","2019",24.70353
"irl","2020",23.16569
"irl","2021",26.83643
"irl","2022",28.03498
"irl","2023",NA
"ita","1990",NA
"ita","1991",NA
"ita","1992",NA
"ita","1993",NA
"ita","1994",NA
"ita","1995",NA
"ita","1996",NA
"ita","1997",NA
"ita","1998",NA
"ita","1999",NA
"ita","2000",NA
"ita","2001",NA
"ita","2002",NA
"ita","2003",NA
"ita","2004",NA
"ita","2005",NA
"ita","2006",NA
"ita","2007",NA
"ita","2008",681.90708
"ita","2009",686.93285
"ita","2010",647.26287
"ita","2011",568.4689
"ita","2012",537.51528
"ita","2013",550.0528
"ita","2014",481.49256
"ita","2015",503.98432
"ita","2016",488.49567
"ita","2017",486.63499
"ita","2018",524.3859
"ita","2019",507.13567
"ita","2020",394.46744
"ita","2021",489.95179
"ita","2022",463.37865
"ita","2023",NA
"lva","1990",NA
"lva","1991",NA
"lva","1992",NA
"lva","1993",NA
"lva","1994",NA
"lva","1995",NA
"lva","1996",NA
"lva","1997",NA
"lva","1998",NA
"lva","1999",NA
"lva","2000",NA
"lva","2001",NA
"lva","2002",NA
"lva","2003",NA
"lva","2004",NA
"lva","2005",NA
"lva","2006",NA
"lva","2007",NA
"lva","2008",78.77976
"lva","2009",117.36879
"lva","2010",133.65897
"lva","2011",120.64888
"lva","2012",98.87458
"lva","2013",119.24349
"lva","2014",118.50469
"lva","2015",122.27787
"lva","2016",133.77938
"lva","2017",125.80625
"lva","2018",157.13362
"lva","2019",105.05097
"lva","2020",99.46764
"lva","2021",210.59053
"lva","2022",209.47713
"lva","2023",NA
"ltu","1990",NA
"ltu","1991",NA
"ltu","1992",NA
"ltu","1993",NA
"ltu","1994",NA
"ltu","1995",NA
"ltu","1996",NA
"ltu","1997",NA
"ltu","1998",NA
"ltu","1999",NA
"ltu","2000",NA
"ltu","2001",NA
"ltu","2002",NA
"ltu","2003",NA
"ltu","2004",NA
"ltu","2005",NA
"ltu","2006",NA
"ltu","2007",NA
"ltu","2008",12.50137
"ltu","2009",13.82021
"ltu","2010",14.07073
"ltu","2011",15.49672
"ltu","2012",14.07409
"ltu","2013",19.97485
"ltu","2014",42.15898
"ltu","2015",62.7398
"ltu","2016",90.2234
"ltu","2017",96.5098
"ltu","2018",49.42811
"ltu","2019",48.1368
"ltu","2020",23.43323
"ltu","2021",4.25953
"ltu","2022",4.18531
"ltu","2023",NA
"lux","1990",NA
"lux","1991",NA
"lux","1992",NA
"lux","1993",NA
"lux","1994",NA
"lux","1995",NA
"lux","1996",NA
"lux","1997",NA
"lux","1998",NA
"lux","1999",NA
"lux","2000",NA
"lux","2001",NA
"lux","2002",NA
"lux","2003",NA
"lux","2004",NA
"lux","2005",NA
"lux","2006",NA
"lux","2007",NA
"lux","2008",5.7302
"lux","2009",6.13075
"lux","2010",8.34663
"lux","2011",14.76858
"lux","2012",25.6352
"lux","2013",30.16075
"lux","2014",26.04001
"lux","2015",28.85174
"lux","2016",28.55575
"lux","2017",30.69015
"lux","2018",29.37978
"lux","2019",33.80594
"lux","2020",15.3986
"lux","2021",15.10378
"lux","2022",12.8626
"lux","2023",NA
"mlt","1990",NA
"mlt","1991",NA
"mlt","1992",NA
"mlt","1993",NA
"mlt","1994",NA
"mlt","1995",NA
"mlt","1996",NA
"mlt","1997",NA
"mlt","1998",NA
"mlt","1999",NA
"mlt","2000",NA
"mlt","2001",NA
"mlt","2002",NA
"mlt","2003",NA
"mlt","2004",NA
"mlt","2005",NA
"mlt","2006",NA
"mlt","2007",NA
"mlt","2008",7.31767
"mlt","2009",6.61677
"mlt","2010",8.17797
"mlt","2011",6.71676
"mlt","2012",8.83721
"mlt","2013",9.02466
"mlt","2014",9.73628
"mlt","2015",9.8593
"mlt","2016",5.7007
"mlt","2017",5.69542
"mlt","2018",6.41944
"mlt","2019",7.08012
"mlt","2020",6.49667
"mlt","2021",6.73622
"mlt","2022",6.83992
"mlt","2023",NA
"nld","1990",NA
"nld","1991",NA
"nld","1992",NA
"nld","1993",NA
"nld","1994",NA
"nld","1995",NA
"nld","1996",NA
"nld","1997",NA
"nld","1998",NA
"nld","1999",NA
"nld","2000",NA
"nld","2001",NA
"nld","2002",NA
"nld","2003",NA
"nld","2004",NA
"nld","2005",NA
"nld","2006",NA
"nld","2007",NA
"nld","2008",589.6871
"nld","2009",557.02749
"nld","2010",490.21787
"nld","2011",396.10727
"nld","2012",386.31225
"nld","2013",359.63695
"nld","2014",307.08466
"nld","2015",310.9988
"nld","2016",308.82291
"nld","2017",340.44223
"nld","2018",281.7217
"nld","2019",258.14871
"nld","2020",232.26586
"nld","2021",256.45893
"nld","2022",229.63975
"nld","2023",NA
"nzl","1990",NA
"nzl","1991",NA
"nzl","1992",NA
