"country","year","ae_cap_retail"
"svk","2003",NA
"svk","2004",NA
"svk","2005",NA
"svk","2006",NA
"svk","2007",NA
"svk","2008",65.67076
"svk","2009",65.72269
"svk","2010",66.01695
"svk","2011",58.34671
"svk","2012",58.9307
"svk","2013",62.78695
"svk","2014",68.73636
"svk","2015",95.10332
"svk","2016",100.69007
"svk","2017",103.87273
"svk","2018",107.40691
"svk","2019",114.47149
"svk","2020",88.09157
"svk","2021",88.57832
"svk","2022",84.36615
"svk","2023",NA
"svn","1990",NA
"svn","1991",NA
"svn","1992",NA
"svn","1993",NA
"svn","1994",NA
"svn","1995",NA
"svn","1996",NA
"svn","1997",NA
"svn","1998",NA
"svn","1999",NA
"svn","2000",NA
"svn","2001",NA
"svn","2002",NA
"svn","2003",NA
"svn","2004",NA
"svn","2005",NA
"svn","2006",NA
"svn","2007",NA
"svn","2008",167.41587
"svn","2009",154.72304
"svn","2010",166.22054
"svn","2011",163.94511
"svn","2012",156.86674
"svn","2013",156.88699
"svn","2014",158.88403
"svn","2015",167.83374
"svn","2016",173.07097
"svn","2017",190.17183
"svn","2018",207.53344
"svn","2019",214.67917
"svn","2020",201.57577
"svn","2021",220.71952
"svn","2022",232.22705
"svn","2023",NA
"esp","1990",NA
"esp","1991",NA
"esp","1992",NA
"esp","1993",NA
"esp","1994",NA
"esp","1995",NA
"esp","1996",NA
"esp","1997",NA
"esp","1998",NA
"esp","1999",NA
"esp","2000",NA
"esp","2001",NA
"esp","2002",NA
"esp","2003",NA
"esp","2004",NA
"esp","2005",NA
"esp","2006",NA
"esp","2007",NA
"esp","2008",139.39135
"esp","2009",134.9267
"esp","2010",144.59251
"esp","2011",146.28683
"esp","2012",139.34745
"esp","2013",129.73199
"esp","2014",122.35967
"esp","2015",78.02938
"esp","2016",81.03833
"esp","2017",73.96547
"esp","2018",69.20086
"esp","2019",68.49708
"esp","2020",60.90904
"esp","2021",66.10053
"esp","2022",65.72603
"esp","2023",NA
"swe","1990",NA
"swe","1991",NA
"swe","1992",NA
"swe","1993",NA
"swe","1994",NA
"swe","1995",NA
"swe","1996",NA
"swe","1997",NA
"swe","1998",NA
"swe","1999",NA
"swe","2000",NA
"swe","2001",NA
"swe","2002",NA
"swe","2003",NA
