"country","year","ae_ton_retail"
"nzl","1991",NA
"nzl","1992",NA
"nzl","1993",NA
"nzl","1994",NA
"nzl","1995",NA
"nzl","1996",NA
"nzl","1997",NA
"nzl","1998",NA
"nzl","1999",NA
"nzl","2000",NA
"nzl","2001",NA
"nzl","2002",NA
"nzl","2003",NA
"nzl","2004",NA
"nzl","2005",NA
"nzl","2006",NA
"nzl","2007",NA
"nzl","2008",658.23578628
"nzl","2009",669.00945451
"nzl","2010",731.11256756
"nzl","2011",714.26875841
"nzl","2012",692.24323614
"nzl","2013",707.5328514
"nzl","2014",735.25418968
"nzl","2015",704.28369978
"nzl","2016",724.92963389
"nzl","2017",712.7861272
"nzl","2018",697.92737294
"nzl","2019",794.97872168
"nzl","2020",749.85727794
"nzl","2021",760.99364357
"nzl","2022",NA
"nzl","2023",NA
"nor","1990",NA
"nor","1991",NA
"nor","1992",NA
"nor","1993",NA
"nor","1994",NA
"nor","1995",NA
"nor","1996",NA
"nor","1997",NA
"nor","1998",NA
"nor","1999",NA
"nor","2000",NA
"nor","2001",NA
"nor","2002",NA
"nor","2003",NA
"nor","2004",NA
"nor","2005",NA
"nor","2006",NA
"nor","2007",NA
"nor","2008",1164.8687
"nor","2009",1137.08426
"nor","2010",1227.47782
"nor","2011",1212.29386
"nor","2012",1189.06896
"nor","2013",1275.08614
"nor","2014",1117.47083
"nor","2015",1116.80793
"nor","2016",1222.7162
"nor","2017",1101.72737
"nor","2018",1090.64228
"nor","2019",1201.19894
"nor","2020",1060.8711
"nor","2021",1093.99925
"nor","2022",1060.52771
"nor","2023",NA
"pol","1990",NA
"pol","1991",NA
"pol","1992",NA
"pol","1993",NA
"pol","1994",NA
"pol","1995",NA
"pol","1996",NA
"pol","1997",NA
"pol","1998",NA
"pol","1999",NA
"pol","2000",NA
"pol","2001",NA
"pol","2002",NA
"pol","2003",NA
"pol","2004",NA
"pol","2005",NA
"pol","2006",NA
"pol","2007",NA
"pol","2008",9822.44123
"pol","2009",10079.86026
"pol","2010",10974.99202
"pol","2011",11020.05947
"pol","2012",10968.76779
"pol","2013",10183.7393
"pol","2014",10697.23247
"pol","2015",10400.80875
"pol","2016",22305.35953
"pol","2017",25988.05467
"pol","2018",23788.3386
"pol","2019",26641.03845
"pol","2020",26186.90343
"pol","2021",29190.34803
"pol","2022",27698.04466
"pol","2023",NA
"prt","1990",NA
"prt","1991",NA
"prt","1992",NA
"prt","1993",NA
"prt","1994",NA
"prt","1995",NA
"prt","1996",NA
"prt","1997",NA
"prt","1998",NA
"prt","1999",NA
"prt","2000",NA
"prt","2001",NA
"prt","2002",NA
"prt","2003",NA
"prt","2004",NA
"prt","2005",NA
"prt","2006",NA
"prt","2007",NA
"prt","2008",2656.2952
"prt","2009",2476.9113
"prt","2010",2224.2615
"prt","2011",1991.9308
"prt","2012",1753.3185
