"country","year","ae_cap_total"
"isl","2008",17704.69159
"isl","2009",16180.65434
"isl","2010",16184.24673
"isl","2011",15554.87578
"isl","2012",15875.50599
"isl","2013",16678.38061
"isl","2014",16456.13372
"isl","2015",17975.81118
"isl","2016",18999.18256
"isl","2017",19816.07446
"isl","2018",23787.27823
"isl","2019",19303.33598
"isl","2020",13880.62844
"isl","2021",13663.91276
"isl","2022",15608.27137
"isl","2023",NA
"irl","1990",NA
"irl","1991",NA
"irl","1992",NA
"irl","1993",NA
"irl","1994",NA
"irl","1995",NA
"irl","1996",NA
"irl","1997",NA
"irl","1998",NA
"irl","1999",NA
"irl","2000",NA
"irl","2001",NA
"irl","2002",NA
"irl","2003",NA
"irl","2004",NA
"irl","2005",NA
"irl","2006",NA
"irl","2007",NA
"irl","2008",11599.63901
"irl","2009",10448.51006
"irl","2010",12043.62747
"irl","2011",11509.75246
"irl","2012",11892.30647
"irl","2013",11896.56149
"irl","2014",11936.39637
"irl","2015",12350.18053
"irl","2016",13161.41886
"irl","2017",13576.57857
"irl","2018",13664.16802
"irl","2019",13104.13584
"irl","2020",10471.64026
"irl","2021",10935.06267
"irl","2022",12040.44743
"irl","2023",NA
"ita","1990",NA
"ita","1991",NA
"ita","1992",NA
"ita","1993",NA
"ita","1994",NA
"ita","1995",NA
"ita","1996",NA
"ita","1997",NA
"ita","1998",NA
"ita","1999",NA
"ita","2000",NA
"ita","2001",NA
"ita","2002",NA
"ita","2003",NA
"ita","2004",NA
"ita","2005",NA
"ita","2006",NA
"ita","2007",NA
"ita","2008",7795.85187
"ita","2009",6741.91765
"ita","2010",6928.65617
"ita","2011",6756.48981
"ita","2012",6487.89206
"ita","2013",5859.78444
"ita","2014",5523.95709
"ita","2015",5594.67393
"ita","2016",5569.14723
"ita","2017",5588.75003
"ita","2018",5513.53982
"ita","2019",5442.00172
"ita","2020",4956.81063
"ita","2021",5379.28059
"ita","2022",5432.20773
"ita","2023",NA
"lva","1990",NA
"lva","1991",NA
"lva","1992",NA
"lva","1993",NA
"lva","1994",NA
"lva","1995",NA
"lva","1996",NA
"lva","1997",NA
"lva","1998",NA
"lva","1999",NA
"lva","2000",NA
"lva","2001",NA
"lva","2002",NA
"lva","2003",NA
"lva","2004",NA
"lva","2005",NA
"lva","2006",NA
"lva","2007",NA
"lva","2008",5303.18514
"lva","2009",4731.4643
"lva","2010",5444.51555
"lva","2011",5177.9817
"lva","2012",5116.48172
"lva","2013",5045.80954
"lva","2014",5059.06591
"lva","2015",5242.55497
"lva","2016",5231.30771
"lva","2017",5348.29065
"lva","2018",5636.54619
"lva","2019",5682.61288
"lva","2020",4941.03901
"lva","2021",5131.37003
"lva","2022",4943.35824
"lva","2023",NA
"ltu","1990",NA
"ltu","1991",NA
"ltu","1992",NA
"ltu","1993",NA
"ltu","1994",NA
"ltu","1995",NA
"ltu","1996",NA
"ltu","1997",NA
"ltu","1998",NA
"ltu","1999",NA
"ltu","2000",NA
"ltu","2001",NA
"ltu","2002",NA
"ltu","2003",NA
"ltu","2004",NA
"ltu","2005",NA
"ltu","2006",NA
"ltu","2007",NA
"ltu","2008",6891.62878
"ltu","2009",5657.54919
"ltu","2010",5995.29731
"ltu","2011",6360.23036
"ltu","2012",6383.49121
"ltu","2013",6060.6146
"ltu","2014",6370.30976
"ltu","2015",6671.00722
"ltu","2016",6636.49674
"ltu","2017",6970.33532
"ltu","2018",7278.18408
"ltu","2019",7430.06351
"ltu","2020",8058.96702
"ltu","2021",7399.26699
"ltu","2022",6965.98646
"ltu","2023",NA
"lux","1990",NA
"lux","1991",NA
"lux","1992",NA
"lux","1993",NA
"lux","1994",NA
"lux","1995",NA
"lux","1996",NA
"lux","1997",NA
"lux","1998",NA
"lux","1999",NA
"lux","2000",NA
"lux","2001",NA
"lux","2002",NA
"lux","2003",NA
"lux","2004",NA
"lux","2005",NA
"lux","2006",NA
"lux","2007",NA
"lux","2008",16962.22293
"lux","2009",16693.00157
"lux","2010",16565.86178
"lux","2011",14896.88854
"lux","2012",14301.83885
"lux","2013",13676.48586
"lux","2014",13784.92693
"lux","2015",14970.58029
"lux","2016",14410.05483
"lux","2017",14040.31431
