"country","year","ae_ton_land"
"nzl","2007",NA
"nzl","2008",2218.9457438
"nzl","2009",2137.065832
"nzl","2010",2269.3357778
"nzl","2011",2328.4900466
"nzl","2012",2332.8991965
"nzl","2013",2311.9277473
"nzl","2014",2330.4622324
"nzl","2015",2325.3459279
"nzl","2016",2295.7514364
"nzl","2017",2490.3003112
"nzl","2018",2543.3038404
"nzl","2019",2443.1813588
"nzl","2020",2358.4548839
"nzl","2021",2493.7476988
"nzl","2022",NA
"nzl","2023",NA
"nor","1990",NA
"nor","1991",NA
"nor","1992",NA
"nor","1993",NA
"nor","1994",NA
"nor","1995",NA
"nor","1996",NA
"nor","1997",NA
"nor","1998",NA
"nor","1999",NA
"nor","2000",NA
"nor","2001",NA
"nor","2002",NA
"nor","2003",NA
"nor","2004",NA
"nor","2005",NA
"nor","2006",NA
"nor","2007",NA
"nor","2008",2390.56964
"nor","2009",2335.20845
"nor","2010",2406.35005
"nor","2011",2466.43231
"nor","2012",2468.14328
"nor","2013",2450.35189
"nor","2014",2774.4013
"nor","2015",2760.47839
"nor","2016",2516.30762
"nor","2017",2091.52134
"nor","2018",2292.69446
"nor","2019",2178.01904
"nor","2020",1947.50981
"nor","2021",2034.71279
"nor","2022",2073.3699
"nor","2023",NA
"pol","1990",NA
"pol","1991",NA
"pol","1992",NA
"pol","1993",NA
"pol","1994",NA
"pol","1995",NA
"pol","1996",NA
"pol","1997",NA
"pol","1998",NA
"pol","1999",NA
"pol","2000",NA
"pol","2001",NA
"pol","2002",NA
"pol","2003",NA
"pol","2004",NA
"pol","2005",NA
"pol","2006",NA
"pol","2007",NA
"pol","2008",8583.07303
"pol","2009",8618.27715
"pol","2010",9026.93652
"pol","2011",9178.86848
"pol","2012",8730.79727
"pol","2013",8564.00667
"pol","2014",8883.15787
"pol","2015",9354.52824
"pol","2016",3861.55616
"pol","2017",9346.82361
"pol","2018",9361.15047
"pol","2019",9839.94167
"pol","2020",9129.93861
"pol","2021",10286.65103
"pol","2022",10535.35498
"pol","2023",NA
"prt","1990",NA
"prt","1991",NA
"prt","1992",NA
"prt","1993",NA
