"country","year","ae_cap_water"
"svk","2002",NA
"svk","2003",NA
"svk","2004",NA
"svk","2005",NA
"svk","2006",NA
"svk","2007",NA
"svk","2008",364.12552
"svk","2009",369.90199
"svk","2010",379.34473
"svk","2011",385.54298
"svk","2012",387.47245
"svk","2013",390.91205
"svk","2014",390.88817
"svk","2015",396.13642
"svk","2016",390.67664
"svk","2017",394.66565
"svk","2018",396.92846
"svk","2019",394.67564
"svk","2020",394.12579
"svk","2021",392.11568
"svk","2022",409.56494
"svk","2023",NA
"svn","1990",NA
"svn","1991",NA
"svn","1992",NA
"svn","1993",NA
"svn","1994",NA
"svn","1995",NA
"svn","1996",NA
"svn","1997",NA
"svn","1998",NA
"svn","1999",NA
"svn","2000",NA
"svn","2001",NA
"svn","2002",NA
"svn","2003",NA
"svn","2004",NA
"svn","2005",NA
"svn","2006",NA
"svn","2007",NA
"svn","2008",352.8643
"svn","2009",317.47685
"svn","2010",312.18329
"svn","2011",314.90402
"svn","2012",305.87184
"svn","2013",294.76072
"svn","2014",279.19899
"svn","2015",284.31839
"svn","2016",282.57649
"svn","2017",278.14257
"svn","2018",260.87616
"svn","2019",256.62484
"svn","2020",244.45007
"svn","2021",236.26378
"svn","2022",250.61281
"svn","2023",NA
"esp","1990",NA
"esp","1991",NA
"esp","1992",NA
"esp","1993",NA
"esp","1994",NA
"esp","1995",NA
"esp","1996",NA
"esp","1997",NA
"esp","1998",NA
"esp","1999",NA
"esp","2000",NA
"esp","2001",NA
"esp","2002",NA
"esp","2003",NA
"esp","2004",NA
"esp","2005",NA
"esp","2006",NA
"esp","2007",NA
"esp","2008",347.89064
"esp","2009",377.96784
"esp","2010",350.12216
"esp","2011",364.4296
"esp","2012",361.62693
"esp","2013",345.2598
"esp","2014",325.32294
"esp","2015",347.03663
"esp","2016",337.24855
"esp","2017",334.22025
"esp","2018",325.54278
"esp","2019",315.40654
"esp","2020",306.95048
"esp","2021",301.53026
"esp","2022",300.23867
"esp","2023",NA
"swe","1990",NA
"swe","1991",NA
"swe","1992",NA
"swe","1993",NA
"swe","1994",NA
"swe","1995",NA
"swe","1996",NA
"swe","1997",NA
"swe","1998",NA
"swe","1999",NA
"swe","2000",NA
"swe","2001",NA
"swe","2002",NA
"swe","2003",NA
"swe","2004",NA
"swe","2005",NA
"swe","2006",NA
"swe","2007",NA
"swe","2008",282.58897
"swe","2009",270.76965
"swe","2010",258.34109
"swe","2011",245.83262
"swe","2012",227.09637
"swe","2013",212.75331
"swe","2014",196.30273
"swe","2015",182.86963
"swe","2016",171.73732
"swe","2017",162.03545
"swe","2018",150.52366
"swe","2019",136.03794
"swe","2020",125.81799
"swe","2021",119.85279
"swe","2022",113.52318
"swe","2023",NA
"che","1990",NA
"che","1991",NA
"che","1992",NA
"che","1993",NA
"che","1994",NA
"che","1995",NA
"che","1996",NA
"che","1997",NA
"che","1998",NA
"che","1999",NA
"che","2000",NA
"che","2001",NA
"che","2002",NA
"che","2003",NA
"che","2004",NA
"che","2005",NA
"che","2006",NA
"che","2007",NA
"che","2008",531.39863
"che","2009",507.97318
"che","2010",511.52504
"che","2011",506.08196
"che","2012",512.2757
"che","2013",500.17748
"che","2014",501.18127
"che","2015",507.3911
"che","2016",495.71978
"che","2017",483.25678
"che","2018",478.48147
"che","2019",473.5124
"che","2020",465.50091
"che","2021",448.68687
"che","2022",NA
"che","2023",NA
"tur","1990",NA
"tur","1991",NA
"tur","1992",NA
"tur","1993",NA
"tur","1994",NA
"tur","1995",NA
"tur","1996",NA
"tur","1997",NA
"tur","1998",NA
"tur","1999",NA
"tur","2000",NA
"tur","2001",NA
"tur","2002",NA
"tur","2003",NA
"tur","2004",NA
"tur","2005",NA
"tur","2006",NA
"tur","2007",NA
"tur","2008",NA
"tur","2009",NA
"tur","2010",NA
"tur","2011",NA
"tur","2012",NA
"tur","2013",NA
"tur","2014",NA
"tur","2015",NA
"tur","2016",NA
"tur","2017",NA
"tur","2018",NA
"tur","2019",NA
"tur","2020",NA
"tur","2021",NA
"tur","2022",NA
"tur","2023",NA
