"country","year","ae_ton_info"
"grc","2014",43.09097
"grc","2015",36.34575
"grc","2016",41.06229
"grc","2017",36.12692
"grc","2018",32.09975
"grc","2019",37.33952
"grc","2020",37.91404
"grc","2021",41.8102
"grc","2022",41.63942
"grc","2023",NA
"hun","1990",NA
"hun","1991",NA
"hun","1992",NA
"hun","1993",NA
"hun","1994",NA
"hun","1995",NA
"hun","1996",NA
"hun","1997",NA
"hun","1998",NA
"hun","1999",NA
"hun","2000",NA
"hun","2001",NA
"hun","2002",NA
"hun","2003",NA
"hun","2004",NA
"hun","2005",NA
"hun","2006",NA
"hun","2007",NA
"hun","2008",432.58477
"hun","2009",452.86159
"hun","2010",451.60231
"hun","2011",452.99307
"hun","2012",376.14385
"hun","2013",385.99953
"hun","2014",362.38976
"hun","2015",375.27732
"hun","2016",349.23142
"hun","2017",327.13604
"hun","2018",312.03963
"hun","2019",289.63106
"hun","2020",280.05595
"hun","2021",303.92875
"hun","2022",271.45899
"hun","2023",NA
"isl","1990",NA
"isl","1991",NA
"isl","1992",NA
"isl","1993",NA
"isl","1994",NA
"isl","1995",NA
"isl","1996",NA
"isl","1997",NA
"isl","1998",NA
"isl","1999",NA
"isl","2000",NA
"isl","2001",NA
"isl","2002",NA
"isl","2003",NA
"isl","2004",NA
"isl","2005",NA
"isl","2006",NA
"isl","2007",NA
"isl","2008",3.39833
"isl","2009",3.30011
"isl","2010",3.1049
"isl","2011",2.92501
"isl","2012",2.95917
"isl","2013",3.3225
"isl","2014",3.13218
"isl","2015",2.91317
"isl","2016",2.95709
"isl","2017",3.10102
"isl","2018",3.3811
"isl","2019",3.13043
"isl","2020",2.50489
"isl","2021",2.7288
"isl","2022",2.98724
"isl","2023",NA
"irl","1990",NA
"irl","1991",NA
"irl","1992",NA
"irl","1993",NA
"irl","1994",NA
"irl","1995",NA
"irl","1996",NA
"irl","1997",NA
"irl","1998",NA
"irl","1999",NA
"irl","2000",NA
"irl","2001",NA
"irl","2002",NA
"irl","2003",NA
"irl","2004",NA
"irl","2005",NA
"irl","2006",NA
"irl","2007",NA
"irl","2008",121.16778
"irl","2009",107.79246
"irl","2010",84.60899
"irl","2011",81.63012
"irl","2012",99.53972
"irl","2013",116.88715
"irl","2014",109.25394
"irl","2015",148.01213
"irl","2016",132.88476
"irl","2017",123.28338
"irl","2018",119.55437
"irl","2019",150.83696
"irl","2020",165.9706
"irl","2021",165.67794
"irl","2022",165.30495
"irl","2023",NA
"ita","1990",NA
"ita","1991",NA
"ita","1992",NA
"ita","1993",NA
"ita","1994",NA
"ita","1995",NA
"ita","1996",NA
"ita","1997",NA
"ita","1998",NA
"ita","1999",NA
"ita","2000",NA
"ita","2001",NA
"ita","2002",NA
"ita","2003",NA
"ita","2004",NA
"ita","2005",NA
"ita","2006",NA
"ita","2007",NA
"ita","2008",479.41892
"ita","2009",471.00149
"ita","2010",434.15273
"ita","2011",385.57151
"ita","2012",365.48462
"ita","2013",353.70285
"ita","2014",318.0513
"ita","2015",331.60369
"ita","2016",327.38843
"ita","2017",329.4641
"ita","2018",356.32394
"ita","2019",350.47065
"ita","2020",307.00422
"ita","2021",361.92652
"ita","2022",344.33842
"ita","2023",NA
"lva","1990",NA
"lva","1991",NA
"lva","1992",NA
"lva","1993",NA
"lva","1994",NA
"lva","1995",NA
"lva","1996",NA
"lva","1997",NA
"lva","1998",NA
"lva","1999",NA
"lva","2000",NA
"lva","2001",NA
"lva","2002",NA
"lva","2003",NA
"lva","2004",NA
"lva","2005",NA
"lva","2006",NA
"lva","2007",NA
"lva","2008",27.19251
"lva","2009",21.27094
"lva","2010",27.98069
"lva","2011",17.68233
"lva","2012",13.71259
"lva","2013",15.40572
"lva","2014",8.79717
"lva","2015",12.1367
"lva","2016",12.75545
"lva","2017",10.62979
"lva","2018",10.50019
"lva","2019",14.26775
"lva","2020",9.78105
"lva","2021",10.08602
"lva","2022",9.90346
"lva","2023",NA
"ltu","1990",NA
"ltu","1991",NA
"ltu","1992",NA
"ltu","1993",NA
"ltu","1994",NA
"ltu","1995",NA
"ltu","1996",NA
"ltu","1997",NA
"ltu","1998",NA
"ltu","1999",NA
"ltu","2000",NA
"ltu","2001",NA
"ltu","2002",NA
"ltu","2003",NA
"ltu","2004",NA
"ltu","2005",NA
"ltu","2006",NA
"ltu","2007",NA
"ltu","2008",11.26414
"ltu","2009",11.63187
"ltu","2010",12.11611
"ltu","2011",14.73362
"ltu","2012",13.45755
"ltu","2013",12.13291
"ltu","2014",13.84627
"ltu","2015",13.33643
"ltu","2016",31.42791
"ltu","2017",33.46672
"ltu","2018",43.20597
"ltu","2019",51.24152
"ltu","2020",35.08665
"ltu","2021",20.37436
"ltu","2022",20.09839
"ltu","2023",NA
"lux","1990",NA
"lux","1991",NA
"lux","1992",NA
"lux","1993",NA
"lux","1994",NA
"lux","1995",NA
"lux","1996",NA
"lux","1997",NA
"lux","1998",NA
"lux","1999",NA
"lux","2000",NA
"lux","2001",NA
"lux","2002",NA
"lux","2003",NA
"lux","2004",NA
"lux","2005",NA
"lux","2006",NA
"lux","2007",NA
"lux","2008",45.26908
"lux","2009",54.5497
"lux","2010",77.8512
"lux","2011",66.87212
"lux","2012",42.62985
"lux","2013",43.54327
"lux","2014",36.52815
"lux","2015",44.10016
"lux","2016",41.69785
"lux","2017",39.20876
"lux","2018",37.19349
"lux","2019",46.76496
"lux","2020",39.86502
"lux","2021",17.47519
"lux","2022",14.86538
"lux","2023",NA
"mlt","1990",NA
"mlt","1991",NA
"mlt","1992",NA
"mlt","1993",NA
"mlt","1994",NA
"mlt","1995",NA
"mlt","1996",NA
"mlt","1997",NA
"mlt","1998",NA
"mlt","1999",NA
"mlt","2000",NA
"mlt","2001",NA
"mlt","2002",NA
"mlt","2003",NA
"mlt","2004",NA
"mlt","2005",NA
"mlt","2006",NA
"mlt","2007",NA
"mlt","2008",4.75235
"mlt","2009",4.50474
"mlt","2010",4.91392
"mlt","2011",4.75488
"mlt","2012",4.93399
"mlt","2013",5.04815
"mlt","2014",5.61872
"mlt","2015",5.94537
"mlt","2016",5.77015
"mlt","2017",5.99222
"mlt","2018",6.6041
"mlt","2019",8.23991
"mlt","2020",8.11196
"mlt","2021",8.80024
"mlt","2022",9.25159
"mlt","2023",NA
"nld","1990",NA
"nld","1991",NA
"nld","1992",NA
"nld","1993",NA
"nld","1994",NA
"nld","1995",NA
"nld","1996",NA
"nld","1997",NA
"nld","1998",NA
"nld","1999",NA
"nld","2000",NA
"nld","2001",NA
"nld","2002",NA
"nld","2003",NA
"nld","2004",NA
"nld","2005",NA
"nld","2006",NA
"nld","2007",NA
"nld","2008",306.04027
"nld","2009",294.25908
"nld","2010",376.46564
"nld","2011",328.31284
"nld","2012",336.31674
"nld","2013",298.50262
"nld","2014",279.44272
"nld","2015",295.85662
"nld","2016",282.72301
"nld","2017",220.7024
"nld","2018",210.92242
"nld","2019",199.64249
"nld","2020",166.82459
"nld","2021",166.17377
"nld","2022",161.34373
"nld","2023",NA
"nzl","1990",NA
"nzl","1991",NA
"nzl","1992",NA
"nzl","1993",NA
"nzl","1994",NA
"nzl","1995",NA
"nzl","1996",NA
"nzl","1997",NA
"nzl","1998",NA
"nzl","1999",NA
"nzl","2000",NA
"nzl","2001",NA
"nzl","2002",NA
"nzl","2003",NA
"nzl","2004",NA
"nzl","2005",NA
"nzl","2006",NA
"nzl","2007",NA
"nzl","2008",83.80932863
"nzl","2009",82.706507199
"nzl","2010",73.272062972
"nzl","2011",64.501863215
"nzl","2012",63.112335091
"nzl","2013",60.556961575
"nzl","2014",59.477000728
"nzl","2015",58.298272651
"nzl","2016",58.306489742
"nzl","2017",60.976975169
"nzl","2018",59.910555976
"nzl","2019",58.91196159
"nzl","2020",48.532665756
"nzl","2021",45.891661774
"nzl","2022",NA
"nzl","2023",NA
"nor","1990",NA
"nor","1991",NA
"nor","1992",NA
"nor","1993",NA
"nor","1994",NA
"nor","1995",NA
"nor","1996",NA
"nor","1997",NA
"nor","1998",NA
"nor","1999",NA
"nor","2000",NA
"nor","2001",NA
"nor","2002",NA
"nor","2003",NA
"nor","2004",NA
"nor","2005",NA
"nor","2006",NA
"nor","2007",NA
"nor","2008",28.48539
"nor","2009",27.83097
"nor","2010",37.7321
"nor","2011",31.98
"nor","2012",32.08654
"nor","2013",32.48503
"nor","2014",30.0106
"nor","2015",28.04086
"nor","2016",25.61742
"nor","2017",19.68201
"nor","2018",20.03865
"nor","2019",19.00743
"nor","2020",15.99292
"nor","2021",16.27569
"nor","2022",15.80334
"nor","2023",NA
"pol","1990",NA
"pol","1991",NA
"pol","1992",NA
"pol","1993",NA
"pol","1994",NA
"pol","1995",NA
"pol","1996",NA
"pol","1997",NA
"pol","1998",NA
"pol","1999",NA
"pol","2000",NA
"pol","2001",NA
"pol","2002",NA
"pol","2003",NA
"pol","2004",NA
"pol","2005",NA
"pol","2006",NA
"pol","2007",NA
"pol","2008",1252.41978
"pol","2009",1288.21356
"pol","2010",1407.17018
"pol","2011",1403.41824
"pol","2012",1374.69569
"pol","2013",1318.08831
"pol","2014",1373.33871
"pol","2015",1477.19214
"pol","2016",2836.40028
"pol","2017",3250.01757
"pol","2018",3153.91103
"pol","2019",2813.18875
"pol","2020",2110.75578
"pol","2021",2531.13264
"pol","2022",2386.26806
"pol","2023",NA
"prt","1990",NA
"prt","1991",NA
"prt","1992",NA
"prt","1993",NA
"prt","1994",NA
"prt","1995",NA
"prt","1996",NA
"prt","1997",NA
"prt","1998",NA
"prt","1999",NA
"prt","2000",NA
"prt","2001",NA
"prt","2002",NA
"prt","2003",NA
"prt","2004",NA
"prt","2005",NA
"prt","2006",NA
"prt","2007",NA
"prt","2008",91.2864
"prt","2009",87.916
"prt","2010",84.6875
"prt","2011",68.7918
"prt","2012",65.7052
"prt","2013",66.5197
"prt","2014",66.5057
"prt","2015",62.4012
"prt","2016",63.4706
"prt","2017",60.2102
"prt","2018",65.1373
"prt","2019",68.9114
"prt","2020",63.1795
"prt","2021",87.8072
"prt","2022",82.02044
"prt","2023",NA
"rou","1990",NA
"rou","1991",NA
"rou","1992",NA
"rou","1993",NA
"rou","1994",NA
"rou","1995",NA
"rou","1996",NA
"rou","1997",NA
"rou","1998",NA
"rou","1999",NA
"rou","2000",NA
"rou","2001",NA
"rou","2002",NA
"rou","2003",NA
"rou","2004",NA
"rou","2005",NA
"rou","2006",NA
"rou","2007",NA
"rou","2008",305.25126
"rou","2009",300.97255
"rou","2010",289.5912
"rou","2011",280.35844
"rou","2012",290.15509
"rou","2013",285.88191
"rou","2014",294.35898
"rou","2015",296.17722
"rou","2016",312.55331
"rou","2017",333.72124
"rou","2018",342.55674
"rou","2019",344.80833
"rou","2020",328.36637
"rou","2021",351.52695
"rou","2022",333.90992
"rou","2023",NA
"srb","1990",NA
"srb","1991",NA
"srb","1992",NA
"srb","1993",NA
"srb","1994",NA
"srb","1995",NA
"srb","1996",NA
"srb","1997",NA
"srb","1998",NA
"srb","1999",NA
"srb","2000",NA
"srb","2001",NA
"srb","2002",NA
"srb","2003",NA
"srb","2004",NA
"srb","2005",NA
"srb","2006",NA
"srb","2007",NA
"srb","2008",NA
"srb","2009",NA
"srb","2010",NA
"srb","2011",NA
"srb","2012",NA
"srb","2013",NA
"srb","2014",NA
"srb","2015",NA
"srb","2016",NA
"srb","2017",NA
"srb","2018",NA
"srb","2019",NA
"srb","2020",NA
"srb","2021",NA
"srb","2022",NA
"srb","2023",NA
"svk","1990",NA
"svk","1991",NA
