"country","year","ae_ton_house"
"ita","2019",0
"ita","2020",0
"ita","2021",0
"ita","2022",0
"ita","2023",NA
"lva","1990",NA
"lva","1991",NA
"lva","1992",NA
"lva","1993",NA
"lva","1994",NA
"lva","1995",NA
"lva","1996",NA
"lva","1997",NA
"lva","1998",NA
"lva","1999",NA
"lva","2000",NA
"lva","2001",NA
"lva","2002",NA
"lva","2003",NA
"lva","2004",NA
"lva","2005",NA
"lva","2006",NA
"lva","2007",NA
"lva","2008",0
"lva","2009",0
"lva","2010",0
"lva","2011",0
"lva","2012",0
"lva","2013",0
"lva","2014",0
"lva","2015",0
"lva","2016",0
"lva","2017",0
"lva","2018",0
"lva","2019",0
"lva","2020",0
"lva","2021",0
"lva","2022",0
"lva","2023",NA
"ltu","1990",NA
"ltu","1991",NA
"ltu","1992",NA
"ltu","1993",NA
"ltu","1994",NA
"ltu","1995",NA
"ltu","1996",NA
"ltu","1997",NA
"ltu","1998",NA
"ltu","1999",NA
"ltu","2000",NA
"ltu","2001",NA
"ltu","2002",NA
"ltu","2003",NA
"ltu","2004",NA
"ltu","2005",NA
"ltu","2006",NA
"ltu","2007",NA
"ltu","2008",1.37548
"ltu","2009",0.64878
"ltu","2010",0.75918
"ltu","2011",1.16446
"ltu","2012",1.24092
"ltu","2013",0.99599
"ltu","2014",0.87221
"ltu","2015",0.37915
"ltu","2016",0.50321
"ltu","2017",0.59206
"ltu","2018",0.70806
"ltu","2019",0.31846
"ltu","2020",0.26549
"ltu","2021",20.52722
"ltu","2022",20.80644
"ltu","2023",NA
"lux","1990",NA
"lux","1991",NA
"lux","1992",NA
"lux","1993",NA
"lux","1994",NA
"lux","1995",NA
"lux","1996",NA
"lux","1997",NA
"lux","1998",NA
"lux","1999",NA
"lux","2000",NA
"lux","2001",NA
"lux","2002",NA
"lux","2003",NA
"lux","2004",NA
"lux","2005",NA
"lux","2006",NA
"lux","2007",NA
"lux","2008",0
"lux","2009",0
"lux","2010",0
"lux","2011",0
"lux","2012",0
"lux","2013",0
"lux","2014",0
"lux","2015",0
"lux","2016",0
"lux","2017",0
"lux","2018",0
"lux","2019",0
"lux","2020",0
"lux","2021",0
"lux","2022",0
"lux","2023",NA
"mlt","1990",NA
"mlt","1991",NA
"mlt","1992",NA
"mlt","1993",NA
"mlt","1994",NA
"mlt","1995",NA
"mlt","1996",NA
"mlt","1997",NA
"mlt","1998",NA
"mlt","1999",NA
"mlt","2000",NA
"mlt","2001",NA
"mlt","2002",NA
"mlt","2003",NA
"mlt","2004",NA
"mlt","2005",NA
"mlt","2006",NA
"mlt","2007",NA
"mlt","2008",0
"mlt","2009",0
