country,year,ae_cap_health
lva,2015,25.7913
lva,2016,26.08159
lva,2017,25.57488
lva,2018,22.40703
lva,2019,35.9971
lva,2020,41.98502
lva,2021,38.70219
lva,2022,37.82573
lva,2023,NA
ltu,1990,NA
ltu,1991,NA
ltu,1992,NA
ltu,1993,NA
ltu,1994,NA
ltu,1995,NA
ltu,1996,NA
ltu,1997,NA
ltu,1998,NA
ltu,1999,NA
ltu,2000,NA
ltu,2001,NA
ltu,2002,NA
ltu,2003,NA
ltu,2004,NA
ltu,2005,NA
ltu,2006,NA
ltu,2007,NA
ltu,2008,12.89537
ltu,2009,16.03433
ltu,2010,15.89596
ltu,2011,17.34002
ltu,2012,14.19754
ltu,2013,15.2798
ltu,2014,17.70486
ltu,2015,15.75373
ltu,2016,19.07208
ltu,2017,20.54884
ltu,2018,23.70393
ltu,2019,22.01429
ltu,2020,14.35113
ltu,2021,3.45868
ltu,2022,3.27352
ltu,2023,NA
lux,1990,NA
lux,1991,NA
lux,1992,NA
lux,1993,NA
lux,1994,NA
lux,1995,NA
lux,1996,NA
lux,1997,NA
lux,1998,NA
lux,1999,NA
lux,2000,NA
lux,2001,NA
lux,2002,NA
lux,2003,NA
lux,2004,NA
lux,2005,NA
lux,2006,NA
lux,2007,NA
lux,2008,74.78191
lux,2009,77.84304
lux,2010,89.54173
lux,2011,72.00906
lux,2012,83.52366
lux,2013,89.91322
lux,2014,78.90948
lux,2015,97.38285
lux,2016,111.73675
lux,2017,98.16496
lux,2018,100.32629
lux,2019,119.77836
lux,2020,72.70094
lux,2021,100.48418
lux,2022,84.39613
lux,2023,NA
mlt,1990,NA
mlt,1991,NA
mlt,1992,NA
mlt,1993,NA
mlt,1994,NA
mlt,1995,NA
mlt,1996,NA
mlt,1997,NA
mlt,1998,NA
mlt,1999,NA
mlt,2000,NA
mlt,2001,NA
mlt,2002,NA
mlt,2003,NA
mlt,2004,NA
mlt,2005,NA
mlt,2006,NA
mlt,2007,NA
mlt,2008,53.78757
mlt,2009,47.71388
mlt,2010,60.65482
mlt,2011,46.91822
mlt,2012,69.78701
mlt,2013,68.87763
mlt,2014,71.91215
mlt,2015,79.87743
mlt,2016,90.16764
mlt,2017,75.89032
mlt,2018,56.1148
mlt,2019,47.82358
mlt,2020,45.37746
mlt,2021,43.53715
mlt,2022,43.26153
mlt,2023,NA
nld,1990,NA
nld,1991,NA
nld,1992,NA
nld,1993,NA
nld,1994,NA
nld,1995,NA
