"country","year","ae_ton_elec"
"grc","2015",36091.34344
"grc","2016",31924.20075
"grc","2017",35515.22706
"grc","2018",33844.83261
"grc","2019",27941.39956
"grc","2020",20361.55033
"grc","2021",20677.78494
"grc","2022",19717.45798
"grc","2023",NA
"hun","1990",NA
"hun","1991",NA
"hun","1992",NA
"hun","1993",NA
"hun","1994",NA
"hun","1995",NA
"hun","1996",NA
"hun","1997",NA
"hun","1998",NA
"hun","1999",NA
"hun","2000",NA
"hun","2001",NA
"hun","2002",NA
"hun","2003",NA
"hun","2004",NA
"hun","2005",NA
"hun","2006",NA
"hun","2007",NA
"hun","2008",20529.42916
"hun","2009",17417.80873
"hun","2010",18027.25147
"hun","2011",17188.67153
"hun","2012",16709.8141
"hun","2013",14141.10105
"hun","2014",13352.07293
"hun","2015",13699.31158
"hun","2016",13454.43161
"hun","2017",13696.29086
"hun","2018",12814.72997
"hun","2019",12353.00761
"hun","2020",12112.55085
"hun","2021",11335.69663
"hun","2022",10662.44661
"hun","2023",NA
"isl","1990",NA
"isl","1991",NA
"isl","1992",NA
"isl","1993",NA
"isl","1994",NA
"isl","1995",NA
"isl","1996",NA
"isl","1997",NA
"isl","1998",NA
"isl","1999",NA
"isl","2000",NA
"isl","2001",NA
"isl","2002",NA
"isl","2003",NA
"isl","2004",NA
"isl","2005",NA
"isl","2006",NA
"isl","2007",NA
"isl","2008",198.93744
"isl","2009",180.96645
"isl","2010",203.15164
"isl","2011",190.72694
"isl","2012",185.60864
"isl","2013",186.04314
"isl","2014",196.20035
"isl","2015",175.15616
"isl","2016",157.8085
"isl","2017",156.3965
"isl","2018",167.43439
"isl","2019",177.63586
"isl","2020",188.06192
"isl","2021",187.53463
"isl","2022",189.36895
"isl","2023",NA
"irl","1990",NA
"irl","1991",NA
"irl","1992",NA
"irl","1993",NA
"irl","1994",NA
"irl","1995",NA
"irl","1996",NA
"irl","1997",NA
"irl","1998",NA
"irl","1999",NA
"irl","2000",NA
"irl","2001",NA
"irl","2002",NA
"irl","2003",NA
"irl","2004",NA
"irl","2005",NA
"irl","2006",NA
"irl","2007",NA
"irl","2008",14583.64274
"irl","2009",12691.47296
"irl","2010",12971.85554
"irl","2011",11607.42171
"irl","2012",12339.99786
"irl","2013",10933.35801
"irl","2014",10773.67739
"irl","2015",11312.02303
"irl","2016",12068.69176
"irl","2017",11101.01968
"irl","2018",9591.09672
"irl","2019",8419.46686
"irl","2020",7750.88494
"irl","2021",9311.78812
"irl","2022",9137.2822
"irl","2023",NA
"ita","1990",NA
"ita","1991",NA
"ita","1992",NA
"ita","1993",NA
"ita","1994",NA
"ita","1995",NA
"ita","1996",NA
"ita","1997",NA
"ita","1998",NA
"ita","1999",NA
"ita","2000",NA
"ita","2001",NA
"ita","2002",NA
"ita","2003",NA
"ita","2004",NA
"ita","2005",NA
"ita","2006",NA
"ita","2007",NA
"ita","2008",138985.22729
"ita","2009",118459.28989
"ita","2010",121391.09643
"ita","2011",118660.31734
"ita","2012",115483.84399
"ita","2013",100323.80627
"ita","2014",92472.25711
"ita","2015",96275.79311
"ita","2016",95725.27952
"ita","2017",96319.71305
"ita","2018",87549.10114
"ita","2019",83057.55494
"ita","2020",74299.72735
"ita","2021",77645.27346
"ita","2022",82619.85542
"ita","2023",NA
"lva","1990",NA
"lva","1991",NA
"lva","1992",NA
"lva","1993",NA
"lva","1994",NA
"lva","1995",NA
"lva","1996",NA
"lva","1997",NA
"lva","1998",NA
"lva","1999",NA
"lva","2000",NA
"lva","2001",NA
"lva","2002",NA
"lva","2003",NA
"lva","2004",NA
"lva","2005",NA
"lva","2006",NA
