"country","year","ae_ton_food"
"hun","2008",189.7306
"hun","2009",208.91356
"hun","2010",208.4888
"hun","2011",202.49107
"hun","2012",171.90434
"hun","2013",168.49818
"hun","2014",188.6249
"hun","2015",204.48033
"hun","2016",190.45569
"hun","2017",196.87478
"hun","2018",206.00822
"hun","2019",199.57252
"hun","2020",136.26847
"hun","2021",168.6954
"hun","2022",153.48783
"hun","2023",NA
"isl","1990",NA
"isl","1991",NA
"isl","1992",NA
"isl","1993",NA
"isl","1994",NA
"isl","1995",NA
"isl","1996",NA
"isl","1997",NA
"isl","1998",NA
"isl","1999",NA
"isl","2000",NA
"isl","2001",NA
"isl","2002",NA
"isl","2003",NA
"isl","2004",NA
"isl","2005",NA
"isl","2006",NA
"isl","2007",NA
"isl","2008",2.65076
"isl","2009",2.87863
"isl","2010",2.97322
"isl","2011",2.86019
"isl","2012",3.28883
"isl","2013",3.48489
"isl","2014",3.81156
"isl","2015",4.20436
"isl","2016",4.61458
"isl","2017",5.18312
"isl","2018",5.3394
"isl","2019",5.55167
"isl","2020",4.76106
"isl","2021",4.90701
"isl","2022",5.23582
"isl","2023",NA
"irl","1990",NA
"irl","1991",NA
"irl","1992",NA
"irl","1993",NA
"irl","1994",NA
"irl","1995",NA
"irl","1996",NA
"irl","1997",NA
"irl","1998",NA
"irl","1999",NA
"irl","2000",NA
"irl","2001",NA
"irl","2002",NA
"irl","2003",NA
"irl","2004",NA
"irl","2005",NA
"irl","2006",NA
"irl","2007",NA
"irl","2008",334.2989
"irl","2009",290.94379
"irl","2010",257.84801
"irl","2011",250.82862
"irl","2012",251.52162
"irl","2013",265.12901
"irl","2014",251.00571
"irl","2015",273.5573
"irl","2016",241.27095
"irl","2017",231.20516
"irl","2018",211.82483
"irl","2019",229.99782
"irl","2020",227.98459
"irl","2021",209.03163
"irl","2022",214.52678
"irl","2023",NA
"ita","1990",NA
"ita","1991",NA
"ita","1992",NA
"ita","1993",NA
"ita","1994",NA
"ita","1995",NA
"ita","1996",NA
"ita","1997",NA
"ita","1998",NA
"ita","1999",NA
"ita","2000",NA
"ita","2001",NA
"ita","2002",NA
"ita","2003",NA
"ita","2004",NA
"ita","2005",NA
"ita","2006",NA
"ita","2007",NA
"ita","2008",3855.05279
"ita","2009",3931.77678
"ita","2010",3702.32515
"ita","2011",3133.45121
"ita","2012",2937.42488
"ita","2013",2961.39999
"ita","2014",2456.5068
"ita","2015",2822.02488
"ita","2016",2712.9934
"ita","2017",2739.97252
"ita","2018",3035.5203
"ita","2019",2887.35842
"ita","2020",2463.01779
"ita","2021",2838.203
"ita","2022",3088.01193
"ita","2023",NA
"lva","1990",NA
"lva","1991",NA
"lva","1992",NA
"lva","1993",NA
"lva","1994",NA
"lva","1995",NA
"lva","1996",NA
"lva","1997",NA
"lva","1998",NA
"lva","1999",NA
"lva","2000",NA
"lva","2001",NA
"lva","2002",NA
"lva","2003",NA
"lva","2004",NA
"lva","2005",NA
"lva","2006",NA
"lva","2007",NA
"lva","2008",36.88935
"lva","2009",18.81828
"lva","2010",22.99505
"lva","2011",16.75775
"lva","2012",12.96525
"lva","2013",18.46891
"lva","2014",20.46802
"lva","2015",23.68501
"lva","2016",18.66577
"lva","2017",19.42646
"lva","2018",14.74846
"lva","2019",15.79466
"lva","2020",14.13716
"lva","2021",17.55677
"lva","2022",17.45379
"lva","2023",NA
"ltu","1990",NA
"ltu","1991",NA
"ltu","1992",NA
