name,country,continent,eu,briics,nato,oecd,g7,sweden,is--country
Honduras,hnd,North America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Hongkong,hkg,Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Hungary,hun,Europe,European Union,Not BRIICS,NATO,OECD,Not G7,Other,TRUE
Iceland,isl,Europe,Not EU,Not BRIICS,NATO,OECD,Not G7,Other,TRUE
India,ind,Asia,Not EU,BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Indonesia,idn,Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Iran,irn,Asia,Not EU,BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Iraq,irq,Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Ireland,irl,Europe,European Union,Not BRIICS,Not NATO,OECD,Not G7,Other,TRUE
Israel,isr,Asia,Not EU,Not BRIICS,Not NATO,OECD,Not G7,Other,TRUE
Italy,ita,Europe,European Union,Not BRIICS,NATO,OECD,G7,Other,TRUE
Jamaica,jam,North America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Japan,jpn,Asia,Not EU,Not BRIICS,Not NATO,OECD,G7,Other,TRUE
Jordan,jor,Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Kazakhstan,kaz,Europe & Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Kenya,ken,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Kiribati,kir,Oceania,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Korea,,Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Kosovo,kos,Europe,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Kuwait,kwt,Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Kyrgyzstan,kgz,Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Laos,lao,Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Latvia,lva,Europe,European Union,Not BRIICS,NATO,OECD,Not G7,Other,TRUE
Lebanon,lbn,Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Lesotho,lso,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Liberia,lbr,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Libya,lby,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Liechtenstein,lie,Europe,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Lithuania,ltu,Europe,European Union,Not BRIICS,NATO,OECD,Not G7,Other,TRUE
Luxembourg,lux,Europe,European Union,Not BRIICS,NATO,OECD,Not G7,Other,TRUE
Macau,,Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Madagascar,mdg,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Malawi,mwi,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Malaysia,mys,Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Maldives,mdv,Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Mali,mli,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Malta,mlt,Europe,European Union,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Marshall Islands,mhl,Oceania,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Martinique,mtq,North America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Mauritania,mrt,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Mauritius,mus,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Mayotte,myt,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Melilla,,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Mexico,mex,North America,Not EU,Not BRIICS,Not NATO,OECD,Not G7,Other,TRUE
Micronesia,fsm,Oceania,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Moldova,mda,Europe,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Monaco,mco,Europe,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Mongolia,mng,Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Montenegro,mne,Europe,Not EU,Not BRIICS,NATO,Not OECD,Not G7,Other,TRUE
Montserrat,msr,North America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Morocco,mar,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Mozambique,moz,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Myanmar,mmr,Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Namibia,nam,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Nauru,nru,Oceania,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Nepal,npl,Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Netherlands,nld,Europe,European Union,Not BRIICS,NATO,OECD,Not G7,Other,TRUE
Netherlands Antilles,ant,North America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
New Caledonia,ncl,Oceania,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
New Zealand,nzl,Oceania,Not EU,Not BRIICS,Not NATO,OECD,Not G7,Other,TRUE
New Zealand Oceania,,Oceania,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Nicaragua,nic,North America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Niger,ner,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Nigeria,nga,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Niue,niu,Oceania,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Norfolk Island,nfk,Oceania,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
North Korea,prk,Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
North Macedonia,mkd,Europe,Not EU,Not BRIICS,NATO,Not OECD,Not G7,Other,TRUE
Northern Mariana Islands,mnp,Oceania,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Norway,nor,Europe,Not EU,Not BRIICS,NATO,OECD,Not G7,Other,TRUE
OECD - Europe,oecd,Europe,Not EU,Not BRIICS,Not NATO,OECD,Not G7,Other,TRUE
OECD - Total,oecd,Other,Not EU,Not BRIICS,Not NATO,OECD,Not G7,Other,TRUE
OECD America,oecd,North America & South America,Not EU,Not BRIICS,Not NATO,OECD,Not G7,Other,TRUE
OECD Asia Oceania,oecd,Asia & Oceania,Not EU,Not BRIICS,Not NATO,OECD,Not G7,Other,TRUE
Oman,omn,Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Pakistan,pak,Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Palau,plw,Oceania,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Palestine,pse,Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Panama,pan,North America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Papua New Guinea,png,Oceania,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Paraguay,pry,South America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Peru,per,South America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Philippines,phl,Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Pitcairn Islands,pcn,Oceania,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Poland,pol,Europe,European Union,Not BRIICS,NATO,OECD,Not G7,Other,TRUE
Polar Regions,,Other,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Portugal,prt,Europe,European Union,Not BRIICS,NATO,OECD,Not G7,Other,TRUE
Puerto Rico,pri,North America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Qatar,qat,Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Reunion,reu,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Romania,rou,Europe,European Union,Not BRIICS,NATO,Not OECD,Not G7,Other,TRUE
Russia,rus,Europe & Asia,Not EU,BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Rwanda,rwa,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Saint Kitts and Nevis,kna,North America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Saint Lucia,lca,North America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Saint Vincent and the Grenadines,vct,North America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Saint-Barthélemy,stbar,North America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Saint-Pierre-et-Miquelon,spm,North America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Samoa,wsm,Oceania,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
San Marino,smr,Europe,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Sankt Helena; Ascension and Tristan da Cunha,shn,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Sao Tome and Principe,stp,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Saudi Arabia,sau,Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Senegal,sen,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Serbia,srb,Europe,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Serbia and Montenegro,scg,Europe,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Seychelles,syc,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Sierra Leone,sle,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Singapore,sgp,Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Sint-Maarten,maf,North America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Slovakia,svk,Europe,European Union,Not BRIICS,NATO,OECD,Not G7,Other,TRUE
Slovenia,svn,Europe,European Union,Not BRIICS,NATO,OECD,Not G7,Other,TRUE
Solomon Islands,slb,Oceania,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Somalia,som,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
South Africa,zaf,Africa,Not EU,BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
South Georgia and the South Sandwich Islands,sgero_a_ssandw,South America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
South Korea,kor,Asia,Not EU,Not BRIICS,Not NATO,OECD,Not G7,Other,TRUE
South Sudan,ssd,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Spain,esp,Europe,European Union,Not BRIICS,NATO,OECD,Not G7,Other,TRUE
Sri Lanka,lka,Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Sudan,sdn,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Suriname,sur,South America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Sweden,swe,Europe,European Union,Not BRIICS,NATO,OECD,Not G7,Sweden,TRUE
Switzerland,che,Europe,Not EU,Not BRIICS,Not NATO,OECD,Not G7,Other,TRUE
Syrian Arab Republic,syr,Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Taiwan, province of China,twn,Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Tajikistan,tjk,Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Tanzania,tza,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Thailand,tha,Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
The High Seas,,Other,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Togo,tgo,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Tokelau,tkl,Oceania,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Tonga,ton,Oceania,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Trinidad and Tobago,tto,North America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Tunisia,tun,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Turkmenistan,tkm,Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Turks and Caicos Islands,tca,North America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Tuvalu,tuv,Oceania,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Türkiye,tur,Europe & Asia,Not EU,Not BRIICS,NATO,OECD,Not G7,Other,TRUE
Uganda,uga,Africa,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Ukraine,ukr,Europe,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
United Arab Emirates,are,Asia,Not EU,BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
United Kingdom,gbr,Europe,Not EU,Not BRIICS,NATO,OECD,G7,Other,TRUE
United States,usa,North America,Not EU,Not BRIICS,NATO,OECD,G7,Other,TRUE
United States Minor Outlying Islands,usa_minor_out_isl,North America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
United States Oceania,,Oceania,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
United States Virgin Islands,vir,North America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Unspecified countries and territories,,Other,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Unspecified countries and territories in trade with third country,,Other,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Unspecified countries and territories in trade within the EU,,Other,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Uruguay,ury,South America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Uzbekistan,uzb,Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Vanuatu,vut,Oceania,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Vatican City State,,Europe,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Venezuela,ven,South America,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
Viet Nam,vnm,Asia,Not EU,Not BRIICS,Not NATO,Not OECD,Not G7,Other,TRUE
