"country","year","ae_cap_info"
"svk","2003",NA
"svk","2004",NA
"svk","2005",NA
"svk","2006",NA
"svk","2007",NA
"svk","2008",7.78188
"svk","2009",8.76107
"svk","2010",10.10064
"svk","2011",9.75924
"svk","2012",11.18395
"svk","2013",10.50614
"svk","2014",8.56425
"svk","2015",7.58191
"svk","2016",8.65498
"svk","2017",9.07242
"svk","2018",9.48044
"svk","2019",11.5556
"svk","2020",10.0417
"svk","2021",11.28487
"svk","2022",10.61644
"svk","2023",NA
"svn","1990",NA
"svn","1991",NA
"svn","1992",NA
"svn","1993",NA
"svn","1994",NA
"svn","1995",NA
"svn","1996",NA
"svn","1997",NA
"svn","1998",NA
"svn","1999",NA
"svn","2000",NA
"svn","2001",NA
"svn","2002",NA
"svn","2003",NA
"svn","2004",NA
"svn","2005",NA
"svn","2006",NA
"svn","2007",NA
"svn","2008",22.27407
"svn","2009",21.33781
"svn","2010",22.32157
"svn","2011",20.67266
"svn","2012",18.14275
"svn","2013",18.60315
"svn","2014",19.19347
"svn","2015",20.75999
"svn","2016",22.53449
"svn","2017",23.304
"svn","2018",24.21205
"svn","2019",24.96608
"svn","2020",21.47459
"svn","2021",23.66511
"svn","2022",24.37189
"svn","2023",NA
"esp","1990",NA
"esp","1991",NA
"esp","1992",NA
"esp","1993",NA
"esp","1994",NA
"esp","1995",NA
"esp","1996",NA
"esp","1997",NA
"esp","1998",NA
"esp","1999",NA
"esp","2000",NA
"esp","2001",NA
"esp","2002",NA
"esp","2003",NA
"esp","2004",NA
"esp","2005",NA
"esp","2006",NA
"esp","2007",NA
"esp","2008",6.31543
"esp","2009",6.5445
"esp","2010",7.65053
"esp","2011",7.88517
"esp","2012",7.17753
"esp","2013",6.0285
"esp","2014",5.11969
"esp","2015",4.91987
"esp","2016",5.42496
"esp","2017",5.63812
"esp","2018",6.05754
"esp","2019",5.8307
"esp","2020",5.45763
"esp","2021",5.94989
"esp","2022",5.53956
"esp","2023",NA
"swe","1990",NA
"swe","1991",NA
"swe","1992",NA
"swe","1993",NA
"swe","1994",NA
"swe","1995",NA
"swe","1996",NA
"swe","1997",NA
"swe","1998",NA
"swe","1999",NA
"swe","2000",NA
"swe","2001",NA
"swe","2002",NA
"swe","2003",NA
