"country","year","ae_cap_def"
svk,2013,70.06753
svk,2014,57.88919
svk,2015,57.3269
svk,2016,56.30732
svk,2017,57.99144
svk,2018,47.1745
svk,2019,40.76842
svk,2020,30.36925
svk,2021,47.68481
svk,2022,45.842
svk,2023,NA
svn,1990,NA
svn,1991,NA
svn,1992,NA
svn,1993,NA
svn,1994,NA
svn,1995,NA
svn,1996,NA
svn,1997,NA
svn,1998,NA
svn,1999,NA
svn,2000,NA
svn,2001,NA
svn,2002,NA
svn,2003,NA
svn,2004,NA
svn,2005,NA
svn,2006,NA
svn,2007,NA
svn,2008,11.665
svn,2009,8.63564
svn,2010,9.14427
svn,2011,8.16019
svn,2012,7.57538
svn,2013,7.73539
svn,2014,27.80216
svn,2015,30.64353
svn,2016,34.94151
svn,2017,31.34327
svn,2018,28.79886
svn,2019,27.07606
svn,2020,37.99156
svn,2021,33.01956
svn,2022,33.90081
svn,2023,NA
esp,1990,NA
esp,1991,NA
esp,1992,NA
esp,1993,NA
esp,1994,NA
esp,1995,NA
esp,1996,NA
esp,1997,NA
esp,1998,NA
esp,1999,NA
esp,2000,NA
esp,2001,NA
esp,2002,NA
esp,2003,NA
esp,2004,NA
esp,2005,NA
esp,2006,NA
esp,2007,NA
esp,2008,106.23901
esp,2009,96.20348
esp,2010,101.62744
esp,2011,98.01517
esp,2012,88.33147
esp,2013,86.83627
esp,2014,83.66216
esp,2015,87.12173
esp,2016,85.85654
esp,2017,96.98146
esp,2018,98.79489
esp,2019,91.40667
esp,2020,81.12347
esp,2021,93.50904
esp,2022,92.94615
esp,2023,NA
swe,1990,NA
swe,1991,NA
swe,1992,NA
swe,1993,NA
swe,1994,NA
swe,1995,NA
swe,1996,NA
swe,1997,NA
swe,1998,NA
swe,1999,NA
swe,2000,NA
swe,2001,NA
swe,2002,NA
swe,2003,NA
swe,2004,NA
swe,2005,NA
swe,2006,NA
swe,2007,NA
swe,2008,23.85546
swe,2009,21.129
swe,2010,22.647
swe,2011,18.529
swe,2012,18.85535
swe,2013,14.76166
swe,2014,13.59039
swe,2015,13.44277
swe,2016,13.09319
swe,2017,12.40851
swe,2018,12.12182
swe,2019,13.7851
swe,2020,13.54354
swe,2021,13.67561
swe,2022,14.1332
swe,2023,NA
che,1990,NA
che,1991,NA
che,1992,NA
che,1993,NA
che,1994,NA
che,1995,NA
che,1996,NA
che,1997,NA
che,1998,NA
che,1999,NA
che,2000,NA
che,2001,NA
che,2002,NA
che,2003,NA
che,2004,NA
che,2005,NA
che,2006,NA
che,2007,NA
che,2008,197.13882
che,2009,194.12092
che,2010,203.99099
che,2011,180.37933
che,2012,188.59935
che,2013,196.88445
che,2014,170.95017
che,2015,172.18783
che,2016,167.34594
che,2017,158.93376
che,2018,141.03257
che,2019,141.73704
che,2020,129.11021
che,2021,148.123
che,2022,NA
che,2023,NA
tur,1990,NA
tur,1991,NA
tur,1992,NA
tur,1993,NA
tur,1994,NA
tur,1995,NA
tur,1996,NA
tur,1997,NA
tur,1998,NA
tur,1999,NA
tur,2000,NA
tur,2001,NA
tur,2002,NA
tur,2003,NA
tur,2004,NA
tur,2005,NA
tur,2006,NA
tur,2007,NA
tur,2008,NA
tur,2009,NA
tur,2010,NA
tur,2011,NA
tur,2012,NA
tur,2013,NA
tur,2014,NA
tur,2015,NA
tur,2016,NA
tur,2017,NA
tur,2018,NA
tur,2019,NA
tur,2020,NA
tur,2021,NA
tur,2022,NA
tur,2023,NA
