"country","year","exp_total"
"aus","2002",NA
"aus","2003",NA
"aus","2004",NA
"aus","2005",NA
"aus","2006",NA
"aus","2007",NA
"aus","2008",13593118
"aus","2009",12776731
"aus","2010",15078160
"aus","2011",16662397
"aus","2012",14823673
"aus","2013",12308742
"aus","2014",11097660
"aus","2015",11947681
"aus","2016",13048577
"aus","2017",15065678
"aus","2018",17407854
"aus","2019",17640779
"aus","2020",16140638
"aus","2021",14500995
"aus","2022",17602632
"aus","2023",1
NA,"1990",NA
NA,"1991",NA
NA,"1992",NA
NA,"1993",NA
NA,"1994",NA
NA,"1995",NA
NA,"1996",NA
NA,"1997",NA
NA,"1998",NA
NA,"1999",NA
NA,"2000",NA
NA,"2001",NA
NA,"2002",NA
NA,"2003",NA
NA,"2004",NA
NA,"2005",NA
NA,"2006",NA
NA,"2007",NA
NA,"2008",0
NA,"2009",0
NA,"2010",0
NA,"2011",0
NA,"2012",0
NA,"2013",0
NA,"2014",0
NA,"2015",0
NA,"2016",0
NA,"2017",0
NA,"2018",0
NA,"2019",0
NA,"2020",0
NA,"2021",0
NA,"2022",0
NA,"2023",0
"aze","1990",NA
"aze","1991",NA
"aze","1992",NA
"aze","1993",NA
"aze","1994",NA
"aze","1995",NA
"aze","1996",NA
"aze","1997",NA
"aze","1998",NA
"aze","1999",NA
"aze","2000",NA
"aze","2001",NA
"aze","2002",NA
"aze","2003",NA
"aze","2004",NA
"aze","2005",NA
"aze","2006",NA
"aze","2007",NA
"aze","2008",437221
"aze","2009",286554
"aze","2010",268118
"aze","2011",545601
"aze","2012",318104
"aze","2013",167585
"aze","2014",177017
"aze","2015",598408
"aze","2016",151413
"aze","2017",177222
"aze","2018",222225
"aze","2019",201836
"aze","2020",254683
"aze","2021",518654
"aze","2022",217488
"aze","2023",1
"bhs","1990",NA
"bhs","1991",NA
"bhs","1992",NA
"bhs","1993",NA
"bhs","1994",NA
"bhs","1995",NA
"bhs","1996",NA
"bhs","1997",NA
"bhs","1998",NA
"bhs","1999",NA
"bhs","2000",NA
"bhs","2001",NA
"bhs","2002",NA
"bhs","2003",NA
"bhs","2004",NA
"bhs","2005",NA
"bhs","2006",NA
"bhs","2007",NA
"bhs","2008",248077
"bhs","2009",35584
"bhs","2010",125637
"bhs","2011",90311
"bhs","2012",34591
"bhs","2013",103925
"bhs","2014",29040
"bhs","2015",80176
"bhs","2016",526641
"bhs","2017",683263
"bhs","2018",31757
"bhs","2019",824831
"bhs","2020",41035
"bhs","2021",326525
"bhs","2022",7135
"bhs","2023",1
"bhr","1990",NA
"bhr","1991",NA
"bhr","1992",NA
"bhr","1993",NA
"bhr","1994",NA
"bhr","1995",NA
"bhr","1996",NA
"bhr","1997",NA
"bhr","1998",NA
"bhr","1999",NA
"bhr","2000",NA
"bhr","2001",NA
"bhr","2002",NA
"bhr","2003",NA
"bhr","2004",NA
"bhr","2005",NA
"bhr","2006",NA
"bhr","2007",NA
"bhr","2008",333488
"bhr","2009",177219
"bhr","2010",250926
"bhr","2011",227095
"bhr","2012",305122
"bhr","2013",266836
"bhr","2014",497720
"bhr","2015",210570
"bhr","2016",151751
"bhr","2017",263400
"bhr","2018",317487
"bhr","2019",874904
"bhr","2020",762406
"bhr","2021",1726989
"bhr","2022",611210
"bhr","2023",1
"bgd","1990",NA
"bgd","1991",NA
"bgd","1992",NA
"bgd","1993",NA
"bgd","1994",NA
"bgd","1995",NA
"bgd","1996",NA
"bgd","1997",NA
"bgd","1998",NA
"bgd","1999",NA
"bgd","2000",NA
"bgd","2001",NA
"bgd","2002",NA
"bgd","2003",NA
"bgd","2004",NA
"bgd","2005",NA
"bgd","2006",NA
"bgd","2007",NA
"bgd","2008",844996
"bgd","2009",616844
"bgd","2010",685860
"bgd","2011",574607
"bgd","2012",438520
"bgd","2013",418776
"bgd","2014",608007
"bgd","2015",402364
"bgd","2016",470332
"bgd","2017",441664
"bgd","2018",430204
"bgd","2019",465091
"bgd","2020",438800
"bgd","2021",540856
"bgd","2022",516789
"bgd","2023",1
"brb","1990",NA
"brb","1991",NA
"brb","1992",NA
"brb","1993",NA
"brb","1994",NA
"brb","1995",NA
"brb","1996",NA
"brb","1997",NA
"brb","1998",NA
"brb","1999",NA
"brb","2000",NA
"brb","2001",NA
"brb","2002",NA
"brb","2003",NA
"brb","2004",NA
"brb","2005",NA
"brb","2006",NA
"brb","2007",NA
"brb","2008",129705
"brb","2009",85785
"brb","2010",90543
"brb","2011",179522
"brb","2012",82571
"brb","2013",90874
"brb","2014",79877
"brb","2015",114626
"brb","2016",108056
"brb","2017",90602
"brb","2018",91340
"brb","2019",77990
"brb","2020",102200
"brb","2021",133314
"brb","2022",131922
"brb","2023",1
"blr","1990",NA
"blr","1991",NA
"blr","1992",NA
"blr","1993",NA
"blr","1994",NA
"blr","1995",NA
"blr","1996",NA
"blr","1997",NA
"blr","1998",NA
"blr","1999",NA
"blr","2000",NA
"blr","2001",NA
"blr","2002",NA
"blr","2003",NA
"blr","2004",NA
"blr","2005",NA
"blr","2006",NA
"blr","2007",NA
"blr","2008",920305
"blr","2009",763717
"blr","2010",947249
"blr","2011",1047625
"blr","2012",997599
"blr","2013",982787
"blr","2014",630814
"blr","2015",476293
"blr","2016",344653
"blr","2017",550942
"blr","2018",684476
"blr","2019",595827
"blr","2020",450431
"blr","2021",2411532
"blr","2022",259711
"blr","2023",1
"bel","1990",NA
"bel","1991",NA
"bel","1992",NA
"bel","1993",NA
"bel","1994",NA
"bel","1995",NA
"bel","1996",NA
"bel","1997",NA
"bel","1998",NA
"bel","1999",NA
"bel","2000",NA
"bel","2001",NA
"bel","2002",NA
"bel","2003",NA
"bel","2004",NA
"bel","2005",NA
"bel","2006",NA
"bel","2007",NA
"bel","2008",51944547
"bel","2009",36373364
"bel","2010",46052205
"bel","2011",54363434
"bel","2012",54461510
"bel","2013",53683721
"bel","2014",51927393
