country,year,foradl_lop_utb
tur,2009,18105
tur,2010,22679.3
tur,2011,22725.6
tur,2012,26793
tur,2013,28169.4
tur,2014,29092.2
tur,2015,31779.7
tur,2016,34171
tur,2017,31160.5
tur,2018,27164.6
tur,2019,29892.9
tur,2020,25818.4
tur,2021,24336.1
tur,2022,24901.1
tur,2023,33111.3
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
