country,year,loner_lop_jur_veten
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,92.4
mlt,2009,109.2
mlt,2010,133.1
mlt,2011,154.2
mlt,2012,162.3
mlt,2013,188
mlt,2014,217.9
mlt,2015,253.1
mlt,2016,303.6
mlt,2017,357.1
mlt,2018,441.7
mlt,2019,507.6
mlt,2020,555
mlt,2021,598.8
mlt,2022,646.5
mlt,2023,723.3
mlt,2024,780.3
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,31668
nld,2009,32076
nld,2010,30930
nld,2011,31677
nld,2012,32265
nld,2013,32258
nld,2014,32947
nld,2015,32640
nld,2016,33943
nld,2017,35171
nld,2018,36899
nld,2019,39029
nld,2020,40592
nld,2021,42317
nld,2022,46147
nld,2023,50234
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,6913.8
aut,2009,7035.4
aut,2010,7188.1
aut,2011,7502.4
aut,2012,7920.5
aut,2013,8570.1
aut,2014,8686.6
aut,2015,9044.8
aut,2016,9479
aut,2017,10152.9
aut,2018,10698.1
aut,2019,11410.1
aut,2020,11628.9
aut,2021,12395.2
aut,2022,13915.8
aut,2023,15452.6
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,5337.3
pol,2009,4550.3
pol,2010,5627.7
pol,2011,5848.7
pol,2012,6076.9
pol,2013,6446.5
pol,2014,6831.7
pol,2015,7202.3
pol,2016,7423.2
pol,2017,8211.7
pol,2018,9262.7
pol,2019,10105.2
pol,2020,10492
pol,2021,11309.5
pol,2022,13120.1
pol,2023,15826.7
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,3547.8
prt,2009,3628.2
prt,2010,3684.4
prt,2011,3705.4
prt,2012,3555.4
prt,2013,3588.2
prt,2014,3781.2
prt,2015,3919.5
prt,2016,3953.5
prt,2017,4177.7
prt,2018,4641.9
prt,2019,5054.8
prt,2020,5250.3
prt,2021,5842.1
prt,2022,6782.4
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,1612.9
rou,2009,1335.2
rou,2010,1367.9
rou,2011,1663.4
rou,2012,1633.7
rou,2013,2212.2
rou,2014,2358.3
rou,2015,2546
rou,2016,2868
rou,2017,3142.1
rou,2018,3519.9
rou,2019,3984
rou,2020,3865.4
rou,2021,4156
rou,2022,4830.5
rou,2023,5643.3
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,1164.4
svn,2009,1205.3
svn,2010,1241.2
svn,2011,1306.3
svn,2012,1217
svn,2013,1197.6
svn,2014,1213.8
svn,2015,1265.2
svn,2016,1307.3
svn,2017,1395.9
svn,2018,1501.8
svn,2019,1640.9
svn,2020,1678.5
svn,2021,1833.7
svn,2022,2057.6
svn,2023,2273.6
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,1093.7
svk,2009,1310.7
svk,2010,1270.6
svk,2011,1307.8
svk,2012,1467.2
svk,2013,1638.1
svk,2014,1523.6
svk,2015,1641.7
svk,2016,1710.8
svk,2017,1862.1
svk,2018,1973.6
svk,2019,2063.3
svk,2020,2149.1
svk,2021,2212.9
svk,2022,2453.8
svk,2023,2713.6
svk,2024,2751.1
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,5019
fin,2009,5101
fin,2010,5446
fin,2011,5765
fin,2012,6024
fin,2013,6126
fin,2014,6227
fin,2015,6401
fin,2016,6536
fin,2017,6807
fin,2018,7256
fin,2019,7643
fin,2020,7683
fin,2021,8482
fin,2022,9161
fin,2023,9527
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,11662.2
swe,2009,11051.3
swe,2010,12876.1
swe,2011,14768.9
swe,2012,16470.6
swe,2013,17420.2
swe,2014,17148.9
swe,2015,17527
swe,2016,18371.3
swe,2017,19419.3
swe,2018,19859.1
swe,2019,20349.7
swe,2020,20956.1
swe,2021,22802.6
swe,2022,24392
swe,2023,24375.9
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,310.3
isl,2009,219.7
isl,2010,247.4
isl,2011,279.7
isl,2012,311
isl,2013,326.5
isl,2014,374.7
isl,2015,425.9
isl,2016,515.5
isl,2017,640.7
isl,2018,658
isl,2019,602.8
isl,2020,509.7
isl,2021,608
isl,2022,730
isl,2023,756.5
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,7685.8
nor,2009,7526.9
nor,2010,8482.2
nor,2011,9210.9
nor,2012,10489.8
nor,2013,10840.6
nor,2014,10621.3
nor,2015,10242.1
nor,2016,9769.6
nor,2017,9982.8
nor,2018,10450.5
nor,2019,10970
nor,2020,10161.5
nor,2021,11609.7
nor,2022,12990.9
nor,2023,12669.4
nor,2024,13228.5
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,
che,2009,
che,2010,
che,2011,24647.2
che,2012,25989.3
