country,year,loner_lop_sport
fin,2017,879
fin,2018,929
fin,2019,976
fin,2020,890
fin,2021,955
fin,2022,1052
fin,2023,1162
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,1349.4
swe,2009,1306.6
swe,2010,1506
swe,2011,1651.1
swe,2012,1833.6
swe,2013,1926.8
swe,2014,1913.2
swe,2015,1963.2
swe,2016,2003.5
swe,2017,2167
swe,2018,2110.8
swe,2019,2167.3
swe,2020,2050.5
swe,2021,2256.9
swe,2022,2424.4
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,47.4
isl,2009,40.5
isl,2010,46.9
isl,2011,51
isl,2012,55.8
isl,2013,60.6
isl,2014,59.5
isl,2015,69.4
isl,2016,83.1
isl,2017,98.7
isl,2018,107.2
isl,2019,107.6
isl,2020,94.2
isl,2021,119.9
isl,2022,142.2
isl,2023,149.5
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,523.7
nor,2009,528.9
nor,2010,556
nor,2011,602
nor,2012,670.8
nor,2013,665.6
nor,2014,650
nor,2015,633.3
nor,2016,764.3
nor,2017,803.4
nor,2018,841.2
nor,2019,873.8
nor,2020,733.5
nor,2021,863
nor,2022,1019.6
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,
che,2009,
che,2010,
che,2011,
che,2012,
che,2013,
che,2014,
che,2015,
che,2016,
che,2017,
che,2018,
che,2019,
che,2020,
che,2021,
che,2022,
che,2023,
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,6967.4
gbr,2009,6669.4
gbr,2010,7250.8
gbr,2011,7847.9
