country,year,loner_lop_bygg
mlt,2022,241.8
mlt,2023,270.9
mlt,2024,299.7
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,18996
nld,2009,18875
nld,2010,18577
nld,2011,18631
nld,2012,18485
nld,2013,17065
nld,2014,16475
nld,2015,16044
nld,2016,16367
nld,2017,16973
nld,2018,18008
nld,2019,19052
nld,2020,19923
nld,2021,20757
nld,2022,21716
nld,2023,23136
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,9552.8
aut,2009,9491.6
aut,2010,9590.3
aut,2011,9933.2
aut,2012,10323.7
aut,2013,10559.7
aut,2014,10990.5
aut,2015,11265.3
aut,2016,11690.7
aut,2017,12273.6
aut,2018,13067.1
aut,2019,13943.5
aut,2020,14331.1
aut,2021,15511.8
aut,2022,16530.4
aut,2023,17474
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,9482.6
pol,2009,8340
pol,2010,9841.5
pol,2011,10935.5
pol,2012,10403.4
pol,2013,10119.1
pol,2014,10424.7
pol,2015,10918.7
pol,2016,11000.6
pol,2017,11435.5
pol,2018,11562.6
pol,2019,12648.5
pol,2020,12584.3
pol,2021,12741.8
pol,2022,13730.4
pol,2023,16214
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,6689.8
prt,2009,6179.2
prt,2010,6218
prt,2011,5728.7
prt,2012,4629.4
prt,2013,4180.7
prt,2014,3916.7
prt,2015,4012.1
prt,2016,4138.4
prt,2017,4393.2
prt,2018,4769.6
prt,2019,5299.4
prt,2020,5504.7
prt,2021,6105.5
prt,2022,6740.2
prt,2023,7736.2
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,3447.9
rou,2009,3354.2
rou,2010,3048.4
rou,2011,3045.7
rou,2012,2915.1
rou,2013,2912.2
rou,2014,2647
rou,2015,2963
rou,2016,3147.4
rou,2017,3456.3
rou,2018,3942.3
rou,2019,4908.8
rou,2020,5246.6
rou,2021,5728.6
rou,2022,7176.8
rou,2023,8983.1
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,1436.6
svn,2009,1359.9
svn,2010,1276.7
svn,2011,1107.7
svn,2012,998.6
svn,2013,932
svn,2014,967.4
svn,2015,992.8
svn,2016,1009.2
svn,2017,1078.9
svn,2018,1230.7
svn,2019,1424.7
svn,2020,1516.8
svn,2021,1709.5
svn,2022,1970.7
svn,2023,2220
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,1398.5
svk,2009,1398.1
svk,2010,1445.4
svk,2011,1425.6
svk,2012,1389.5
svk,2013,1378
svk,2014,1336.3
svk,2015,1383.9
svk,2016,1434.3
svk,2017,1506.3
svk,2018,1616.9
svk,2019,1744.9
svk,2020,1717
svk,2021,1774.8
svk,2022,1918.4
svk,2023,2101.3
svk,2024,2214.1
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,7299
fin,2009,6804
fin,2010,7206
fin,2011,7651
fin,2012,7734
fin,2013,7800
fin,2014,7695
fin,2015,7946
fin,2016,8431
fin,2017,8885
fin,2018,9439
fin,2019,9542
fin,2020,9351
fin,2021,9677
fin,2022,10192
fin,2023,10106
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,11843.6
swe,2009,10583.8
swe,2010,12297.2
swe,2011,14091.5
swe,2012,15354.4
swe,2013,15905.8
swe,2014,15870
swe,2015,16345.1
swe,2016,17316.3
swe,2017,18044.4
swe,2018,18396.6
swe,2019,18563.4
swe,2020,19176.6
swe,2021,20988.7
swe,2022,21755.8
swe,2023,21287.9
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,525.1
isl,2009,251.4
isl,2010,243.3
isl,2011,245.9
isl,2012,262.6
isl,2013,294.3
isl,2014,358.8
isl,2015,433.2
isl,2016,640.9
isl,2017,838.2
isl,2018,922.9
isl,2019,881.8
isl,2020,737.5
isl,2021,863.1
isl,2022,1076.4
isl,2023,1226.8
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,9735.9
nor,2009,9055.8
nor,2010,9983.9
nor,2011,11128.4
nor,2012,12815.1
nor,2013,13173.3
nor,2014,12978.9
nor,2015,12770.5
nor,2016,12989.6
nor,2017,13923.9
nor,2018,14490.1
nor,2019,15103.8
nor,2020,14137.7
nor,2021,15720.4
nor,2022,17265.7
nor,2023,16401.8
nor,2024,16430.7
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,
che,2009,
che,2010,
che,2011,
che,2012,
che,2013,
che,2014,
che,2015,
che,2016,
che,2017,
che,2018,
che,2019,
che,2020,
che,2021,
che,2022,
che,2023,
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,57462.2
gbr,2009,46245.5
gbr,2010,47035.6
gbr,2011,47556.1
gbr,2012,50632
gbr,2013,51051.5
gbr,2014,54212.8
gbr,2015,64618.9
gbr,2016,59210.7
gbr,2017,58510
gbr,2018,61207.6
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,382.2
bih,2009,352.9
bih,2010,327.1
bih,2011,321.5
bih,2012,295.4
bih,2013,284.3
bih,2014,294.4
bih,2015,289.8
bih,2016,288.8
bih,2017,301.8
bih,2018,328
bih,2019,355.2
bih,2020,372
bih,2021,402.9
bih,2022,456.2
bih,2023,509.3
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
