country,year,foradl_lop_arki
mlt,2009,49.6
mlt,2010,
mlt,2011,50.4
mlt,2012,50.8
mlt,2013,53
mlt,2014,
mlt,2015,
mlt,2016,
mlt,2017,108.6
mlt,2018,129.9
mlt,2019,162.7
mlt,2020,164.9
mlt,2021,188.3
mlt,2022,210.6
mlt,2023,250.3
mlt,2024,280.3
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,9501
nld,2009,9312
nld,2010,8995
nld,2011,8857
nld,2012,8354
nld,2013,8286
nld,2014,8411
nld,2015,8683
nld,2016,8943
nld,2017,9525
nld,2018,10159
nld,2019,10564
nld,2020,11319
nld,2021,12105
nld,2022,12413
nld,2023,13418
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,3812.4
aut,2009,3520.9
aut,2010,3553.4
aut,2011,3553.3
aut,2012,3763.2
aut,2013,4079.2
aut,2014,4173.2
aut,2015,4332.6
aut,2016,4395.6
aut,2017,4495.3
aut,2018,4851.1
aut,2019,5273.8
aut,2020,5343.2
aut,2021,5444.7
aut,2022,6096.1
aut,2023,6361.9
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,3360.7
pol,2009,3207.3
pol,2010,3471.6
pol,2011,3450.5
pol,2012,3658.6
pol,2013,3685.3
pol,2014,4024.8
pol,2015,4521.2
pol,2016,3924.2
pol,2017,4074.2
pol,2018,4743.2
pol,2019,5281.6
pol,2020,5498.1
pol,2021,5026.7
pol,2022,5234.8
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,1428.1
prt,2009,1413.4
prt,2010,1385.1
prt,2011,1303.4
prt,2012,1127.1
prt,2013,1101
prt,2014,1140.1
prt,2015,1161.5
prt,2016,1182.2
prt,2017,1302.8
prt,2018,1458.4
prt,2019,1596.7
prt,2020,1570.3
prt,2021,1831.7
prt,2022,2167.8
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,1090.6
rou,2009,1159.8
rou,2010,1310.7
rou,2011,1470.9
rou,2012,1305.1
rou,2013,1613.1
rou,2014,1670.9
rou,2015,1718
rou,2016,1610.9
rou,2017,1985.9
rou,2018,2158.9
rou,2019,2576.3
rou,2020,2476.7
rou,2021,2649.8
rou,2022,3473.1
rou,2023,4522
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,694.8
svn,2009,652
svn,2010,640.9
svn,2011,540.3
svn,2012,492.7
svn,2013,492
svn,2014,533.3
svn,2015,600
svn,2016,551.7
svn,2017,608
svn,2018,675.4
svn,2019,754.8
svn,2020,722.6
svn,2021,799.1
svn,2022,910.2
svn,2023,1054.8
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,1009.2
svk,2009,755.9
svk,2010,964.7
svk,2011,992.6
svk,2012,968.2
svk,2013,1201.2
svk,2014,986.3
svk,2015,1154.4
svk,2016,1229.2
svk,2017,1289.6
svk,2018,1338.5
svk,2019,1113.9
svk,2020,1014
svk,2021,1176.4
svk,2022,1295
svk,2023,1462.4
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,3001
fin,2009,2801
fin,2010,2757
fin,2011,2937
fin,2012,3016
fin,2013,3064
fin,2014,3071
fin,2015,3239
fin,2016,3348
fin,2017,3554
fin,2018,3749
fin,2019,3871
fin,2020,3833
fin,2021,4034
fin,2022,4211
fin,2023,4373
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,
swe,2009,
swe,2010,
swe,2011,
swe,2012,
swe,2013,
swe,2014,
swe,2015,
swe,2016,
swe,2017,
swe,2018,
swe,2019,
swe,2020,
swe,2021,
swe,2022,
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,170.1
isl,2009,99
