country,year,foradl_fast_transp_lagr
prt,2016,8313.8
prt,2017,8914.4
prt,2018,9205.2
prt,2019,9625.9
prt,2020,6989.4
prt,2021,7967.2
prt,2022,9460.4
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,10210.7
rou,2009,10539.8
rou,2010,8041.2
rou,2011,6623.7
rou,2012,9253.6
rou,2013,9724.3
rou,2014,10490.6
rou,2015,11566.4
rou,2016,13623.9
rou,2017,14889.5
rou,2018,16044.6
rou,2019,16221.5
rou,2020,13809.1
rou,2021,13759.5
rou,2022,15453.3
rou,2023,15810.4
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,1945.8
svn,2009,1778.6
svn,2010,1945.9
svn,2011,1968.7
svn,2012,1894.7
svn,2013,1858.2
svn,2014,1936.8
svn,2015,2080
svn,2016,2232
svn,2017,2507.6
svn,2018,2618.9
svn,2019,2713.7
svn,2020,2439.8
svn,2021,2764.4
svn,2022,2909.9
svn,2023,2896.6
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,4637.2
svk,2009,4147.2
svk,2010,3994.1
svk,2011,4261.7
svk,2012,4407.4
svk,2013,4441
svk,2014,5694
svk,2015,6091.3
svk,2016,5301
svk,2017,5639.7
svk,2018,5749.5
svk,2019,5958.1
svk,2020,5507.2
svk,2021,5331.2
svk,2022,6238
svk,2023,6316.6
svk,2024,6405.7
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,10674.1
fin,2009,9265.5
fin,2010,9935.8
fin,2011,10572.1
fin,2012,10789.3
fin,2013,10759.7
fin,2014,10340.6
fin,2015,9854.6
fin,2016,9883.2
fin,2017,10119
fin,2018,10082.8
fin,2019,10201.3
fin,2020,7835
fin,2021,8082.9
fin,2022,8246.4
fin,2023,7973.2
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,20667.6
swe,2009,18703
swe,2010,19725.2
swe,2011,21504.2
swe,2012,21091.8
swe,2013,21689.4
swe,2014,22005.2
swe,2015,21680.1
swe,2016,21924
swe,2017,22548.2
swe,2018,23501.5
swe,2019,24170.3
swe,2020,20121.5
swe,2021,20804.3
swe,2022,23125.9
swe,2023,22014.2
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,721.2
isl,2009,668.8
isl,2010,669.7
isl,2011,706.5
isl,2012,745.2
isl,2013,831.6
isl,2014,826.7
isl,2015,913.6
isl,2016,1051.5
isl,2017,1166.9
isl,2018,1181.8
isl,2019,1105.9
isl,2020,645.9
isl,2021,702.7
isl,2022,974.5
isl,2023,1057.5
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,15613.3
nor,2009,14961
nor,2010,15323
nor,2011,15974.6
nor,2012,16156.8
nor,2013,16811
nor,2014,16581.9
nor,2015,16572.7
nor,2016,16160.2
nor,2017,16142.6
nor,2018,16471.5
nor,2019,16234.1
nor,2020,10399.4
nor,2021,11648.4
nor,2022,15304.3
nor,2023,15155
nor,2024,15381.5
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,25795.2
che,2009,23984
che,2010,25330.1
che,2011,25910.6
che,2012,26676.2
che,2013,25580.1
che,2014,26194.6
che,2015,25485.7
che,2016,25079.6
che,2017,25393.5
che,2018,26369.8
che,2019,27283.7
che,2020,21580.6
che,2021,22061.7
che,2022,24563.7
che,2023,26089.1
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,
gbr,2009,
gbr,2010,
gbr,2011,
gbr,2012,
gbr,2013,
gbr,2014,
gbr,2015,
gbr,2016,
gbr,2017,
gbr,2018,
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,
bih,2009,
bih,2010,
bih,2011,
bih,2012,
bih,2013,
bih,2014,
bih,2015,
bih,2016,
bih,2017,
bih,2018,
bih,2019,
bih,2020,
bih,2021,
bih,2022,
bih,2023,
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,122.9
mne,2009,140.3
mne,2010,141.5
mne,2011,137.9
mne,2012,132.3
mne,2013,138.5
mne,2014,140.7
mne,2015,147.5
mne,2016,154.6
mne,2017,165.2
mne,2018,175.2
mne,2019,182.9
mne,2020,147.8
mne,2021,181.6
mne,2022,216
mne,2023,232.2
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,421.4
mkd,2009,461.7
mkd,2010,432.6
mkd,2011,438.6
mkd,2012,371.9
mkd,2013,384
mkd,2014,371.1
mkd,2015,394.2
mkd,2016,406.9
mkd,2017,378.5
mkd,2018,425.3
mkd,2019,430.4
mkd,2020,352.7
mkd,2021,
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,311.1
alb,2009,344.4
alb,2010,397.9
alb,2011,451.7
alb,2012,483
alb,2013,300.5
alb,2014,292.3
alb,2015,305.3
alb,2016,329
alb,2017,357.7
alb,2018,375
alb,2019,397.9
alb,2020,340.1
alb,2021,402.9
alb,2022,426.3
alb,2023,457.6
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,1505.9
srb,2009,1459.9
srb,2010,1531.3
srb,2011,1519.1
srb,2012,1457.8
srb,2013,1324.5
srb,2014,1352.6
srb,2015,1477.4
srb,2016,1551.4
srb,2017,1634.3
srb,2018,1776.6
srb,2019,1917.6
srb,2020,1714.8
srb,2021,2005.7
srb,2022,2130
srb,2023,2275.9
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,37634.3
tur,2009,33251.2
tur,2010,33624.2
tur,2011,35971
tur,2012,41084.6
tur,2013,42670.4
tur,2014,44488.1
tur,2015,47069.7
tur,2016,47125.3
tur,2017,52021.2
tur,2018,53873.3
tur,2019,54326.2
tur,2020,49540.4
tur,2021,57511.1
tur,2022,64247.5
tur,2023,66225.7
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
