country,year,loner_lop_met_ej_maskin
svk,2017,936.5
svk,2018,1053.9
svk,2019,1094.2
svk,2020,1028.2
svk,2021,1085.4
svk,2022,1205.1
svk,2023,1284.1
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,1954
fin,2009,1683
fin,2010,1591
fin,2011,1704
fin,2012,1807
fin,2013,1754
fin,2014,1761
fin,2015,1776
fin,2016,1795
fin,2017,1855
fin,2018,1932
fin,2019,1979
fin,2020,1898
fin,2021,2004
fin,2022,2160
fin,2023,2217
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,3311.3
swe,2009,2639.1
swe,2010,2844.8
swe,2011,3256.8
swe,2012,3496.5
swe,2013,3522.4
swe,2014,3394.8
swe,2015,3335
swe,2016,3343.9
swe,2017,3419.8
swe,2018,3392.3
swe,2019,3382.9
swe,2020,3207.5
swe,2021,3581.1
swe,2022,3461.7
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,56.2
isl,2009,37
isl,2010,44
isl,2011,48
isl,2012,51.8
isl,2013,54.9
isl,2014,63.9
isl,2015,76.5
isl,2016,96.8
isl,2017,116.5
isl,2018,122.5
isl,2019,122.2
isl,2020,103.3
isl,2021,116.7
isl,2022,135
isl,2023,143.5
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,1492.8
nor,2009,1388.1
nor,2010,1452.7
nor,2011,1590.1
nor,2012,1823.5
nor,2013,1847.6
nor,2014,1782.4
nor,2015,1621.2
nor,2016,1478.9
nor,2017,1441.3
nor,2018,1471.6
nor,2019,1580.6
nor,2020,1438.5
nor,2021,1585
nor,2022,1742
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,
che,2009,
che,2010,
che,2011,5557
che,2012,5717.5
che,2013,5585
che,2014,5699.7
che,2015,6391.9
che,2016,6134.6
che,2017,5998.5
che,2018,5967.3
che,2019,6345.9
che,2020,6243.6
che,2021,6442.4
che,2022,7307.6
che,2023,
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,13242.8
gbr,2009,10375.6
gbr,2010,11237.5
gbr,2011,12076.6
gbr,2012,13423.9
gbr,2013,13876.8
gbr,2014,14505.3
gbr,2015,15891.9
gbr,2016,13936.9
gbr,2017,13341.4
gbr,2018,13407.8
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,132.4
bih,2009,109.9
bih,2010,110.8
bih,2011,121.5
bih,2012,130.9
bih,2013,134
bih,2014,129.3
bih,2015,133.2
bih,2016,145.9
bih,2017,172.8
bih,2018,198.4
bih,2019,220.1
bih,2020,219.5
bih,2021,237.8
bih,2022,303.1
bih,2023,342.7
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,26.2
mkd,2009,30.4
mkd,2010,30.4
mkd,2011,32.1
mkd,2012,31.7
mkd,2013,25.9
mkd,2014,28
mkd,2015,31.1
mkd,2016,34.1
mkd,2017,36.9
mkd,2018,40.2
mkd,2019,42.8
mkd,2020,46.8
mkd,2021,51.9
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,263.9
srb,2009,245.4
srb,2010,221.8
srb,2011,240.7
srb,2012,254.2
srb,2013,270.2
srb,2014,256.2
srb,2015,258.3
srb,2016,297.6
srb,2017,333.1
srb,2018,387.2
srb,2019,438.7
srb,2020,467.1
srb,2021,524.2
srb,2022,567.4
srb,2023,678.7
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,2860.6
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
