country,year,loner_lop_info_komm
nor,2017,8187.2
nor,2018,8405.1
nor,2019,8832.9
nor,2020,8219.3
nor,2021,9585.6
nor,2022,10772.2
nor,2023,10564.4
nor,2024,10933.1
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,
che,2009,
che,2010,
che,2011,
che,2012,
che,2013,
che,2014,
che,2015,
che,2016,
che,2017,
che,2018,
che,2019,
che,2020,
che,2021,
che,2022,
che,2023,
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,68818.8
gbr,2009,58321.5
gbr,2010,61026.5
gbr,2011,65637
gbr,2012,71837.7
gbr,2013,70541.4
gbr,2014,77127.5
gbr,2015,89687.8
gbr,2016,84543.9
gbr,2017,82954.8
gbr,2018,85873.3
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,233.5
bih,2009,244
bih,2010,247.5
bih,2011,258.9
bih,2012,268.8
bih,2013,274.1
bih,2014,283.6
bih,2015,300.3
bih,2016,304.8
bih,2017,313.3
bih,2018,336.3
bih,2019,370.8
bih,2020,397
bih,2021,452.6
bih,2022,558.5
bih,2023,664.6
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,104.9
mkd,2009,105.9
mkd,2010,102.2
mkd,2011,101.1
mkd,2012,96.7
mkd,2013,101.5
mkd,2014,109
mkd,2015,118.4
mkd,2016,145.6
mkd,2017,166.5
mkd,2018,182.6
mkd,2019,205.4
mkd,2020,237.3
mkd,2021,287.8
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,99.3
alb,2014,97.1
alb,2015,111.3
alb,2016,132.6
alb,2017,125
alb,2018,106.7
alb,2019,130.2
alb,2020,153.9
alb,2021,177.9
alb,2022,223.6
alb,2023,284
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,368.5
srb,2009,340.2
srb,2010,309
srb,2011,374.8
srb,2012,411.4
srb,2013,451.6
srb,2014,526
srb,2015,591
srb,2016,644.9
srb,2017,686.7
srb,2018,811.9
srb,2019,876.7
srb,2020,1250.4
srb,2021,1748.5
srb,2022,2386.8
srb,2023,3114.6
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,3494.5
tur,2009,3035
tur,2010,3758
tur,2011,3772.9
tur,2012,4467.6
tur,2013,4611.7
tur,2014,4657.3
tur,2015,5148.1
tur,2016,5646.5
tur,2017,5208.6
tur,2018,4389.4
tur,2019,4752.9
tur,2020,4240.6
tur,2021,4837.9
tur,2022,5605.1
tur,2023,8405.6
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
