country,year,foradl_fast_fastighet
bih,2020,
bih,2021,
bih,2022,
bih,2023,
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,207.9
mne,2009,212.8
mne,2010,211.2
mne,2011,224.1
mne,2012,226.1
mne,2013,229.3
mne,2014,234.3
mne,2015,239.7
mne,2016,243.3
mne,2017,246.7
mne,2018,249.8
mne,2019,272
mne,2020,265.5
mne,2021,269
mne,2022,273.3
mne,2023,275.5
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,1085.2
mkd,2009,1122.3
mkd,2010,1121
mkd,2011,1131.6
mkd,2012,1159.1
mkd,2013,1143.5
mkd,2014,1143.5
mkd,2015,1174.3
mkd,2016,1136.7
mkd,2017,1118.5
mkd,2018,1119.6
mkd,2019,1121.9
mkd,2020,1134
mkd,2021,
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,619.7
alb,2009,626.9
alb,2010,628.6
alb,2011,631.8
alb,2012,642.3
alb,2013,706.1
alb,2014,678.6
alb,2015,682.9
alb,2016,708.4
alb,2017,748.2
alb,2018,741.6
alb,2019,754.1
alb,2020,775.3
alb,2021,804.1
alb,2022,857.9
alb,2023,849.2
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,3500.5
srb,2009,3585.3
srb,2010,3554.8
srb,2011,3528.1
srb,2012,3506.1
srb,2013,3318
srb,2014,3331.2
srb,2015,3415.3
srb,2016,3407.5
srb,2017,3467.1
srb,2018,3541.3
srb,2019,3615.5
srb,2020,3671.2
srb,2021,3839.4
srb,2022,3938.5
srb,2023,3941.4
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,27911.4
tur,2009,27866.8
tur,2010,29222.1
tur,2011,30663.7
tur,2012,31999.1
tur,2013,32754.6
tur,2014,33592.3
tur,2015,34402.8
tur,2016,35637.1
tur,2017,36411
tur,2018,37478.5
tur,2019,38186.7
tur,2020,39252.4
tur,2021,40665.2
tur,2022,43222.6
tur,2023,44923.2
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
