country,year,loner_lop_utb
bih,2005,
bih,2006,
bih,2007,
bih,2008,523.5
bih,2009,552.7
bih,2010,562.1
bih,2011,596.1
bih,2012,602.5
bih,2013,596
bih,2014,615.6
bih,2015,619.5
bih,2016,616.2
bih,2017,624.4
bih,2018,652.2
bih,2019,705.3
bih,2020,731.1
bih,2021,768.4
bih,2022,887.9
bih,2023,1005.3
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,176.9
mkd,2009,197.1
mkd,2010,212.7
mkd,2011,221.2
mkd,2012,223.1
mkd,2013,223.7
mkd,2014,227.1
mkd,2015,236.9
mkd,2016,244.3
mkd,2017,247.4
mkd,2018,255
mkd,2019,270.5
mkd,2020,302.1
mkd,2021,315.7
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,315.5
alb,2014,287.1
alb,2015,318.8
alb,2016,292.7
alb,2017,354.1
alb,2018,337.7
alb,2019,369.5
alb,2020,360.3
alb,2021,407
alb,2022,450.4
alb,2023,511
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,1260
srb,2009,1094.6
srb,2010,1067.9
srb,2011,1175.8
srb,2012,1165
srb,2013,1203.9
srb,2014,1198.9
srb,2015,1187.6
srb,2016,1201.4
srb,2017,1292.1
srb,2018,1444.5
srb,2019,1570
srb,2020,1583.6
srb,2021,1689.7
srb,2022,1901.7
srb,2023,2160.3
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,12957
tur,2010,16555.5
tur,2011,16678.8
tur,2012,19714.1
tur,2013,20515.1
tur,2014,21214.2
tur,2015,23542.7
tur,2016,25780.8
tur,2017,23045.3
tur,2018,20154.5
tur,2019,22075.6
tur,2020,18609.7
tur,2021,17447.7
tur,2022,17814.7
tur,2023,25081.1
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
