country,year,foradl_lop_mobel_smyck
aut,2019,5077.8
aut,2020,4809.2
aut,2021,5145.4
aut,2022,5498
aut,2023,5913.7
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,6743.8
pol,2009,5314
pol,2010,6062.3
pol,2011,6405.4
pol,2012,7708.8
pol,2013,6935.8
pol,2014,8267.3
pol,2015,9449.1
pol,2016,9173.5
pol,2017,9429.6
pol,2018,10059.4
pol,2019,10575.9
pol,2020,10518.3
pol,2021,11340.6
pol,2022,12975.4
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,1618.5
prt,2009,1678.1
prt,2010,1687.7
prt,2011,1659.3
prt,2012,1595.9
prt,2013,1582.6
prt,2014,1642.1
prt,2015,1724.9
prt,2016,1760.3
prt,2017,1948.7
prt,2018,2132.5
prt,2019,2289
prt,2020,2187.2
prt,2021,2446.5
prt,2022,2604.4
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,1564.8
rou,2009,1359.2
rou,2010,2170
rou,2011,2222.2
rou,2012,2167
rou,2013,2314.8
rou,2014,2268.2
rou,2015,2479.3
rou,2016,2558.1
rou,2017,2950.2
rou,2018,2873.4
rou,2019,3034.3
rou,2020,2826.4
rou,2021,2831.4
rou,2022,3306.1
rou,2023,3827.5
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,519.2
svn,2009,426.4
svn,2010,428
svn,2011,474.3
svn,2012,499.9
svn,2013,529.7
svn,2014,567.5
svn,2015,603.6
svn,2016,693.6
svn,2017,745.6
svn,2018,782.9
svn,2019,828
svn,2020,690.5
svn,2021,797.6
svn,2022,883.7
svn,2023,959.6
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,818.2
svk,2009,739
svk,2010,837.1
svk,2011,949.2
svk,2012,848
svk,2013,922.7
svk,2014,905.2
svk,2015,911.6
svk,2016,946.7
svk,2017,1013.4
svk,2018,1093.6
svk,2019,1109.1
svk,2020,1069.9
svk,2021,1068.3
svk,2022,1174.8
svk,2023,1281.9
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,2268
fin,2009,2018
fin,2010,1959
fin,2011,2004
fin,2012,2013
fin,2013,1905
fin,2014,1883
fin,2015,1937
fin,2016,1981
fin,2017,2082
fin,2018,2178
fin,2019,2250
fin,2020,2187
fin,2021,2301
fin,2022,2508
fin,2023,2562
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,3694.7
swe,2009,3129
swe,2010,3474.7
swe,2011,3767
swe,2012,3745.7
swe,2013,3440.7
swe,2014,3415.2
swe,2015,3274.1
swe,2016,3670
swe,2017,3216.4
swe,2018,3047.7
swe,2019,3137
swe,2020,3403.1
swe,2021,3773
swe,2022,3452
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,110.7
isl,2009,83
isl,2010,104.2
isl,2011,134.1
isl,2012,136.1
isl,2013,151.1
isl,2014,172.5
isl,2015,197.4
isl,2016,229.1
isl,2017,228.3
isl,2018,243.8
isl,2019,250.4
isl,2020,221.5
isl,2021,294.4
isl,2022,346.1
isl,2023,332.6
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,254.1
lie,2017,239.1
lie,2018,244.8
lie,2019,269.8
lie,2020,170.7
lie,2021,257
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,2237.2
nor,2009,2063.6
nor,2010,2366.1
nor,2011,2433.7
nor,2012,2851.7
nor,2013,3032.8
nor,2014,2846.6
nor,2015,2601.6
nor,2016,2552.9
nor,2017,2567.6
nor,2018,2503.7
nor,2019,2609.8
nor,2020,2438.2
nor,2021,2712.7
nor,2022,2984.3
nor,2023,2899.8
nor,2024,3321
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,4118.3
che,2009,3784.6
che,2010,4059.1
che,2011,4563.8
che,2012,4733.9
che,2013,4827.1
che,2014,5072.1
che,2015,5691.8
che,2016,5749.1
che,2017,5651
che,2018,5726.5
che,2019,6406.8
che,2020,6351.5
che,2021,6902.2
che,2022,7374
che,2023,7386.2
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,16260.6
gbr,2009,14808
gbr,2010,16758.4
gbr,2011,15968.8
gbr,2012,18333.4
gbr,2013,18312.4
gbr,2014,20229
gbr,2015,22317.6
gbr,2016,19760.1
gbr,2017,19923.1
gbr,2018,20570.6
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,95.8
bih,2009,97.2
bih,2010,100.2
bih,2011,95.9
bih,2012,98.9
bih,2013,102.4
bih,2014,111.7
bih,2015,122.1
bih,2016,136.2
bih,2017,164.3
bih,2018,183.2
bih,2019,200.2
bih,2020,203.4
bih,2021,247.3
bih,2022,283
bih,2023,309.9
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,32
mkd,2009,27.2
mkd,2010,39.5
mkd,2011,33.5
mkd,2012,32.1
mkd,2013,37.3
mkd,2014,38.3
mkd,2015,42.7
mkd,2016,41
mkd,2017,46.5
mkd,2018,52.3
mkd,2019,58.5
mkd,2020,61
mkd,2021,58.5
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,596.7
srb,2009,453.5
srb,2010,439.5
srb,2011,378.7
srb,2012,361.9
srb,2013,385.3
srb,2014,320.3
srb,2015,316.3
srb,2016,327.5
srb,2017,351.4
srb,2018,405.2
srb,2019,448.2
srb,2020,476.8
srb,2021,449.3
srb,2022,468.1
srb,2023,481.6
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
