country,year,foradl_fast_papper
mlt,2014,
mlt,2015,
mlt,2016,
mlt,2017,
mlt,2018,7.1
mlt,2019,7.6
mlt,2020,
mlt,2021,6.6
mlt,2022,7
mlt,2023,6.6
mlt,2024,7.3
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,1716.1
nld,2009,1595.2
nld,2010,1700.9
nld,2011,1645.1
nld,2012,1573.7
nld,2013,1693.3
nld,2014,1850.8
nld,2015,1918.5
nld,2016,2051
nld,2017,2162.9
nld,2018,2167.6
nld,2019,2375.9
nld,2020,2345
nld,2021,1856
nld,2022,1809.1
nld,2023,1601.2
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1680.7
aut,2009,1517.7
aut,2010,1738.5
aut,2011,1865
aut,2012,1903.4
aut,2013,1967.8
aut,2014,2109.9
aut,2015,2017.1
aut,2016,2091
aut,2017,2169.8
aut,2018,2340.6
aut,2019,2285.9
aut,2020,2077.7
aut,2021,2116.9
aut,2022,1912.9
aut,2023,1587.4
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,1490.2
pol,2009,1732.2
pol,2010,1808.7
pol,2011,1981.3
pol,2012,2208.9
pol,2013,1923.5
pol,2014,2298.2
pol,2015,2352
pol,2016,2373.2
pol,2017,2407.2
pol,2018,2512.9
pol,2019,2706.7
pol,2020,2879.8
pol,2021,3152.1
pol,2022,3169.7
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,881.8
prt,2009,792.2
prt,2010,850.9
prt,2011,861.8
prt,2012,815.9
prt,2013,827.4
prt,2014,827.2
prt,2015,865.3
prt,2016,895.6
prt,2017,846.2
prt,2018,918.4
prt,2019,905.7
prt,2020,877.7
prt,2021,922.1
prt,2022,986.3
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,585.9
rou,2009,533.2
rou,2010,378.8
rou,2011,230.7
rou,2012,221.6
rou,2013,216
rou,2014,191.2
rou,2015,236.9
rou,2016,272
rou,2017,322
rou,2018,286.4
rou,2019,323.5
rou,2020,351.1
rou,2021,426.3
rou,2022,310.1
rou,2023,303.4
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,226.9
svn,2009,233.6
svn,2010,226.4
svn,2011,225.5
svn,2012,224.9
svn,2013,209.9
svn,2014,230.3
svn,2015,209.3
svn,2016,185
svn,2017,194
svn,2018,192.6
svn,2019,218.8
svn,2020,227.6
svn,2021,221.1
svn,2022,100.9
svn,2023,111.8
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,553.1
svk,2009,609.1
svk,2010,450.9
svk,2011,438.4
svk,2012,584.2
svk,2013,498.8
svk,2014,512.6
svk,2015,530.8
svk,2016,529.8
svk,2017,456.3
svk,2018,326.4
svk,2019,328.1
svk,2020,294
svk,2021,234.1
svk,2022,248.4
svk,2023,269.5
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,3464.1
fin,2009,1969.6
fin,2010,2897
fin,2011,2732.2
fin,2012,2752.4
fin,2013,2875.1
fin,2014,2955.7
fin,2015,2744.5
fin,2016,2785.7
fin,2017,3092.5
fin,2018,2720.8
fin,2019,2700.7
fin,2020,2613
fin,2021,2961
fin,2022,1860.9
fin,2023,1773.3
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,3844.8
swe,2009,3494.8
swe,2010,4101
swe,2011,3949
swe,2012,4014.6
swe,2013,3959.3
swe,2014,3789.4
swe,2015,3542.7
swe,2016,3693.6
swe,2017,3925.1
swe,2018,3941.7
swe,2019,3773.3
swe,2020,3818.2
swe,2021,4632.5
swe,2022,4677
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,6.9
isl,2009,4.1
isl,2010,4.1
isl,2011,4.6
isl,2012,4.3
isl,2013,5
isl,2014,5.3
isl,2015,5.6
isl,2016,6.2
isl,2017,5.4
isl,2018,2.6
isl,2019,1.6
isl,2020,1.2
isl,2021,1
isl,2022,1.9
isl,2023,2.6
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,752.7
nor,2009,632.1
nor,2010,690.4
nor,2011,367.3
nor,2012,558.1
nor,2013,524.4
nor,2014,448.5
nor,2015,423.6
nor,2016,447.8
nor,2017,412.3
nor,2018,385.9
nor,2019,413.9
nor,2020,353
nor,2021,373.1
nor,2022,404.3
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,1059.9
che,2009,1001.2
che,2010,1042.8
che,2011,1000.1
che,2012,978.1
che,2013,967.5
che,2014,946.4
che,2015,891
che,2016,845.8
che,2017,819.1
che,2018,788.2
che,2019,782.1
che,2020,782.1
che,2021,789
che,2022,708.4
che,2023,466.4
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,
gbr,2009,
gbr,2010,
gbr,2011,
gbr,2012,
gbr,2013,
gbr,2014,
gbr,2015,
gbr,2016,
gbr,2017,
gbr,2018,
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,
bih,2009,
bih,2010,
bih,2011,
bih,2012,
bih,2013,
bih,2014,
bih,2015,
bih,2016,
bih,2017,
bih,2018,
bih,2019,
bih,2020,
bih,2021,
bih,2022,
bih,2023,
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
