country,year,foradl_lop_industri
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,79939.4
pol,2009,70567.3
pol,2010,80199.5
pol,2011,84285.1
pol,2012,88456.5
pol,2013,84595.6
pol,2014,92115.8
pol,2015,100191.4
pol,2016,100941.3
pol,2017,103703.3
pol,2018,108268
pol,2019,115705.3
pol,2020,114065.5
pol,2021,130515.2
pol,2022,154450
pol,2023,177325.6
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,25983.6
prt,2009,25064.8
prt,2010,26607.6
prt,2011,25601.4
prt,2012,24994.7
prt,2013,25455.8
prt,2014,26575.2
prt,2015,28751.8
prt,2016,29723.9
prt,2017,30714
prt,2018,32191.6
prt,2019,32357
prt,2020,30637.1
prt,2021,33115.4
prt,2022,34847.8
prt,2023,37413.4
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,37263.3
rou,2009,32229.1
rou,2010,38910.1
rou,2011,46578.4
rou,2012,37443.4
rou,2013,36022.6
rou,2014,39429.8
rou,2015,39895.2
rou,2016,40352.2
rou,2017,44160.9
rou,2018,47339.4
rou,2019,47894.5
rou,2020,44251.2
rou,2021,47663.4
rou,2022,57880.5
rou,2023,61943.2
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,8508.5
svn,2009,7377.2
svn,2010,7524
svn,2011,7909.7
svn,2012,7948.1
svn,2013,8167.7
svn,2014,8544.1
svn,2015,8878.5
svn,2016,9283.7
svn,2017,10002.6
svn,2018,10534.3
svn,2019,11275.8
svn,2020,11076.9
svn,2021,11887.5
svn,2022,12560.9
svn,2023,15036.1
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,16055.9
svk,2009,12968.3
svk,2010,14911.9
svk,2011,15905.5
svk,2012,16253.4
svk,2013,15723.2
svk,2014,17450.6
svk,2015,18189.2
svk,2016,17541
svk,2017,17431
svk,2018,19151.3
svk,2019,21324.3
svk,2020,20321.5
svk,2021,19989.6
svk,2022,20786
svk,2023,26403.9
svk,2024,27065.4
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,45607
fin,2009,35904
fin,2010,38543
fin,2011,38423
fin,2012,35400
fin,2013,36084
fin,2014,36389
fin,2015,37511
fin,2016,38109
fin,2017,41350
fin,2018,41368
fin,2019,42628
fin,2020,41902
fin,2021,45358
fin,2022,51804
fin,2023,49130
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,68505.4
swe,2009,54327.7
swe,2010,70767.5
swe,2011,76767.3
swe,2012,76809.7
swe,2013,74380
swe,2014,71459.4
swe,2015,76174.7
swe,2016,76248.2
swe,2017,78183.2
swe,2018,76550.9
swe,2019,78512.8
swe,2020,76135.2
swe,2021,92927.4
swe,2022,99941.6
swe,2023,93435.4
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
