country,year,foradl_lop_parti_ej_motor
rou,2006,
rou,2007,
rou,2008,8661.8
rou,2009,6609
rou,2010,1701.2
rou,2011,1610.8
rou,2012,5717.5
rou,2013,3717.7
rou,2014,3708.7
rou,2015,5654.8
rou,2016,5464.7
rou,2017,6214
rou,2018,6914.3
rou,2019,7146.5
rou,2020,9026.4
rou,2021,11064.7
rou,2022,11260
rou,2023,11710
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,2070.5
svn,2009,1891.3
svn,2010,1698.9
svn,2011,1754.7
svn,2012,1647.9
svn,2013,1654.5
svn,2014,1691.6
svn,2015,1760.1
svn,2016,1858.2
svn,2017,1999.3
svn,2018,2183.8
svn,2019,2279.9
svn,2020,2317.1
svn,2021,2603.3
svn,2022,2686.1
svn,2023,3080.3
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,4702.5
svk,2009,4435.3
svk,2010,4810.6
svk,2011,5049.9
svk,2012,3393.9
svk,2013,3973.7
svk,2014,4113.1
svk,2015,3917.3
svk,2016,3358.6
svk,2017,3607.7
svk,2018,3279.3
svk,2019,3953.9
svk,2020,4470.8
svk,2021,4418.9
svk,2022,4870.7
svk,2023,5720.3
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,7955
fin,2009,6948
fin,2010,6911
fin,2011,7654
fin,2012,8445
fin,2013,8268
fin,2014,7935
fin,2015,7871
fin,2016,7644
fin,2017,8104
fin,2018,8208
fin,2019,8240
fin,2020,8466
fin,2021,8689
fin,2022,8994
fin,2023,9258
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,18599.9
swe,2009,17130.5
swe,2010,19709.7
swe,2011,21717.9
swe,2012,22234.1
swe,2013,22627.6
swe,2014,23261.6
swe,2015,23306.4
swe,2016,23857.3
swe,2017,24917.3
swe,2018,23075.2
swe,2019,24210.7
swe,2020,25012.3
swe,2021,29964.1
swe,2022,29559.3
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,427.3
isl,2009,390
isl,2010,360.1
isl,2011,481.1
isl,2012,424.4
isl,2013,430.3
isl,2014,487.9
isl,2015,582.4
isl,2016,713
isl,2017,776.7
isl,2018,747.5
isl,2019,762.2
isl,2020,692.7
isl,2021,781.3
isl,2022,895.4
isl,2023,947.2
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
