country,year,foradl_fast_uthyr
mlt,2012,72.9
mlt,2013,101.8
mlt,2014,122.1
mlt,2015,149.5
mlt,2016,175.4
mlt,2017,281.4
mlt,2018,301.4
mlt,2019,363.9
mlt,2020,346.6
mlt,2021,439.5
mlt,2022,502
mlt,2023,617.6
mlt,2024,644
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,9345.3
nld,2009,9302.2
nld,2010,8909.3
nld,2011,8699.1
nld,2012,9128.5
nld,2013,9361.9
nld,2014,9427.2
nld,2015,10269.9
nld,2016,12281.5
nld,2017,12479.5
nld,2018,12932.7
nld,2019,16008.7
nld,2020,13477
nld,2021,14419
nld,2022,13942.5
nld,2023,13971
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,4376.5
aut,2009,4014.1
aut,2010,4048.5
aut,2011,4051.6
aut,2012,3890.3
aut,2013,3895.4
aut,2014,3981.8
aut,2015,3988.8
aut,2016,4079.8
aut,2017,4378.4
aut,2018,4483.7
aut,2019,4623.1
aut,2020,4575.2
aut,2021,4625.3
aut,2022,4736.7
aut,2023,4928.7
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,1020.3
pol,2009,1036.5
pol,2010,1382.4
pol,2011,1546
pol,2012,1742.7
pol,2013,1920.8
pol,2014,1700
pol,2015,1880.9
pol,2016,2095.2
pol,2017,2192
pol,2018,2860.7
pol,2019,3204.1
pol,2020,3021.4
pol,2021,3279.3
pol,2022,3399.3
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,766.3
prt,2009,780.7
prt,2010,846.7
prt,2011,826.1
prt,2012,777.2
prt,2013,740.3
prt,2014,748.6
prt,2015,740.9
prt,2016,827
prt,2017,955.7
prt,2018,1045.9
prt,2019,1105.4
prt,2020,884.6
prt,2021,923.1
prt,2022,1041.5
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,334
rou,2009,802.9
rou,2010,349
rou,2011,329.4
rou,2012,389.1
rou,2013,360
rou,2014,424.9
rou,2015,510.9
rou,2016,502.5
rou,2017,610.5
rou,2018,642
rou,2019,751.8
rou,2020,643.7
rou,2021,699.6
rou,2022,767.5
rou,2023,764.8
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,44.7
svn,2009,38.5
svn,2010,51.4
svn,2011,50.9
svn,2012,64.4
svn,2013,54.3
svn,2014,58.8
svn,2015,57.9
svn,2016,63.4
svn,2017,76
svn,2018,104.3
svn,2019,78.1
svn,2020,61
svn,2021,74.3
svn,2022,74.3
svn,2023,79.4
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,429.9
svk,2009,556.3
svk,2010,573.5
svk,2011,444.5
svk,2012,515.4
svk,2013,757.4
svk,2014,404.4
svk,2015,449.2
svk,2016,509.2
svk,2017,448.6
svk,2018,454.7
svk,2019,400.4
svk,2020,399.3
svk,2021,391.8
svk,2022,492.6
svk,2023,583.5
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,653.8
fin,2009,674.7
fin,2010,692.7
fin,2011,713.7
fin,2012,731.7
fin,2013,727.9
fin,2014,676.6
fin,2015,717.5
fin,2016,726
fin,2017,954.1
fin,2018,1000.6
fin,2019,1368.4
fin,2020,1051
fin,2021,1092.8
fin,2022,1214.4
fin,2023,1292.4
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,1865.3
swe,2009,1875.8
swe,2010,2031.8
swe,2011,2120.3
swe,2012,2048.3
swe,2013,2013.9
swe,2014,2107.1
swe,2015,2294.8
swe,2016,2587.7
swe,2017,2758
swe,2018,2939.8
swe,2019,2738.4
swe,2020,2923.9
swe,2021,2835.7
swe,2022,3230.9
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,155.9
isl,2009,147.8
isl,2010,140.6
isl,2011,166.4
isl,2012,135.6
isl,2013,145.6
isl,2014,148
isl,2015,195.8
isl,2016,186.1
isl,2017,209.4
isl,2018,235.7
isl,2019,248.8
isl,2020,143.9
isl,2021,165.8
isl,2022,236.8
isl,2023,261.3
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,1329.3
nor,2009,1304.6
nor,2010,1424.1
nor,2011,1494.8
nor,2012,1692.7
nor,2013,1789.8
nor,2014,1782.7
nor,2015,1634.7
nor,2016,1795.5
nor,2017,1986
nor,2018,2183.4
nor,2019,2113.5
nor,2020,2269.6
nor,2021,1992.4
nor,2022,2341.4
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,1858.6
che,2009,1839
che,2010,1872.6
che,2011,2100.2
che,2012,2117.8
che,2013,2150.5
che,2014,2161
che,2015,2803.4
che,2016,1928.8
che,2017,1946.4
che,2018,2150.3
che,2019,2383.6
che,2020,2582
che,2021,2993.3
che,2022,3351
che,2023,3564
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,
gbr,2009,
gbr,2010,
gbr,2011,
gbr,2012,
gbr,2013,
gbr,2014,
gbr,2015,
gbr,2016,
gbr,2017,
gbr,2018,
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,
bih,2009,
bih,2010,
bih,2011,
bih,2012,
bih,2013,
bih,2014,
bih,2015,
bih,2016,
bih,2017,
bih,2018,
bih,2019,
bih,2020,
bih,2021,
bih,2022,
bih,2023,
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,2
mkd,2009,2.4
mkd,2010,2.3
mkd,2011,4.3
mkd,2012,4.4
mkd,2013,4.3
mkd,2014,5.2
mkd,2015,7.2
mkd,2016,17.9
mkd,2017,21.3
mkd,2018,21.9
mkd,2019,21.8
mkd,2020,11.4
mkd,2021,
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,81.6
srb,2009,85.1
srb,2010,88.7
srb,2011,90.8
srb,2012,98
srb,2013,87.3
srb,2014,90.6
srb,2015,96.5
srb,2016,105.4
srb,2017,118.3
srb,2018,129.1
srb,2019,144.8
srb,2020,143.6
srb,2021,159.1
srb,2022,174.1
srb,2023,183.3
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
