country,year,foradl_fast_gruv
rou,2022,1685.4
rou,2023,1760.6
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,141.2
svn,2009,135.8
svn,2010,138.8
svn,2011,138.8
svn,2012,134.2
svn,2013,125.8
svn,2014,128.8
svn,2015,126.9
svn,2016,128.7
svn,2017,140.1
svn,2018,144.1
svn,2019,138.9
svn,2020,130
svn,2021,121.6
svn,2022,156.1
svn,2023,108.2
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,263.4
svk,2009,293.1
svk,2010,214.6
svk,2011,232.8
svk,2012,236.4
svk,2013,244.5
svk,2014,215.7
svk,2015,243.5
svk,2016,260.8
svk,2017,243.3
svk,2018,230.8
svk,2019,177.5
svk,2020,161.8
svk,2021,155.1
svk,2022,156
svk,2023,164.3
svk,2024,127.4
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,732.7
fin,2009,761.6
fin,2010,863.5
fin,2011,849.6
fin,2012,916.2
fin,2013,737.8
fin,2014,590.7
fin,2015,756.6
fin,2016,887.3
fin,2017,1176.4
fin,2018,1212.9
fin,2019,971.5
fin,2020,964
fin,2021,981.6
fin,2022,800.6
fin,2023,759.1
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,2963.3
swe,2009,2592
swe,2010,3091
swe,2011,2972.4
swe,2012,2828.2
swe,2013,2548.7
swe,2014,2354
swe,2015,2468
swe,2016,2564.3
swe,2017,2866.8
swe,2018,2935.5
swe,2019,2934.4
swe,2020,2956.2
swe,2021,3158.6
swe,2022,2610.9
swe,2023,2359.7
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,49.1
isl,2009,25.6
isl,2010,18.5
isl,2011,17.8
isl,2012,17.3
isl,2013,18.4
isl,2014,19.4
isl,2015,20.7
isl,2016,22.7
isl,2017,25.9
isl,2018,28.4
isl,2019,26.7
isl,2020,25.4
isl,2021,26
isl,2022,29.4
isl,2023,37.1
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,38541.6
nor,2009,37679.5
nor,2010,36107.6
nor,2011,35036.6
nor,2012,34683
nor,2013,33779.7
nor,2014,33986.1
nor,2015,35076.8
nor,2016,35697.6
nor,2017,37673.5
nor,2018,35885.2
nor,2019,35063.6
nor,2020,38228.4
nor,2021,38489.1
nor,2022,38266.8
nor,2023,38009.6
nor,2024,39876.1
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,831.1
che,2009,773.1
che,2010,829.6
che,2011,826.5
che,2012,858.9
che,2013,884.9
che,2014,824.5
che,2015,704.4
che,2016,725.8
che,2017,764.1
che,2018,869.6
che,2019,855.2
che,2020,849.5
che,2021,931.4
che,2022,846.9
che,2023,817
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,
gbr,2009,
gbr,2010,
gbr,2011,
gbr,2012,
gbr,2013,
gbr,2014,
gbr,2015,
gbr,2016,
gbr,2017,
gbr,2018,
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,
bih,2009,
bih,2010,
bih,2011,
bih,2012,
bih,2013,
bih,2014,
bih,2015,
bih,2016,
bih,2017,
bih,2018,
bih,2019,
bih,2020,
bih,2021,
bih,2022,
bih,2023,
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,92.7
mne,2009,34.6
mne,2010,56.2
mne,2011,58.3
mne,2012,53.8
mne,2013,50.1
mne,2014,50.1
mne,2015,51.8
mne,2016,45
mne,2017,63.1
mne,2018,55.1
mne,2019,62.6
mne,2020,66.1
mne,2021,56.6
mne,2022,61.6
mne,2023,64.1
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,84.2
mkd,2009,148.3
mkd,2010,227.9
mkd,2011,368.6
mkd,2012,311.8
mkd,2013,251.4
mkd,2014,231.7
mkd,2015,230
mkd,2016,177.2
mkd,2017,173.8
mkd,2018,172
mkd,2019,182.7
mkd,2020,135.7
mkd,2021,
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,110.7
alb,2009,111.6
alb,2010,151.4
alb,2011,184.7
alb,2012,216.8
alb,2013,247.8
alb,2014,290.8
alb,2015,224.7
alb,2016,218
alb,2017,229.3
alb,2018,244
alb,2019,289.9
alb,2020,204.7
alb,2021,209.1
alb,2022,197
alb,2023,134
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,869.6
srb,2009,839.9
srb,2010,865.9
srb,2011,957.5
srb,2012,961.3
srb,2013,1009.7
srb,2014,860.4
srb,2015,926.1
srb,2016,944.7
srb,2017,981.6
srb,2018,933.5
srb,2019,960.1
srb,2020,973.9
srb,2021,1239.6
srb,2022,1659.4
srb,2023,1695.6
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,5305.2
tur,2009,4808.5
tur,2010,5000.9
tur,2011,5494
tur,2012,5604.5
tur,2013,5956.8
tur,2014,5493.9
tur,2015,5395.9
tur,2016,5731.1
tur,2017,6444.1
tur,2018,6874.6
tur,2019,7350.3
tur,2020,7354
tur,2021,8475.2
tur,2022,8012.6
tur,2023,6831.5
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
