country,year,loner_lop_transp_lagr
nld,2020,20423
nld,2021,21090
nld,2022,22625
nld,2023,24617
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,8315.8
aut,2009,8227.9
aut,2010,8236.4
aut,2011,8313
aut,2012,8571.4
aut,2013,8661
aut,2014,8857.5
aut,2015,9068.6
aut,2016,9422.2
aut,2017,9718.1
aut,2018,10240.8
aut,2019,10328.2
aut,2020,10067.5
aut,2021,10376.3
aut,2022,11247
aut,2023,12261.5
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,7830.1
pol,2009,6768.2
pol,2010,7721.7
pol,2011,7460.8
pol,2012,8243.8
pol,2013,8218.5
pol,2014,8889.7
pol,2015,9284
pol,2016,9477.4
pol,2017,10891
pol,2018,12385.1
pol,2019,13498.2
pol,2020,13961.5
pol,2021,14080.4
pol,2022,16796.5
pol,2023,20432.6
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,4000.6
prt,2009,3961.4
prt,2010,4213.1
prt,2011,3969.5
prt,2012,3750.5
prt,2013,3839.1
prt,2014,3913
prt,2015,4076.4
prt,2016,4206.7
prt,2017,4494.2
prt,2018,4890.2
prt,2019,5269.5
prt,2020,5011.5
prt,2021,5224.7
prt,2022,5726.5
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,4137.6
rou,2009,3057.7
rou,2010,3250.2
rou,2011,3182.6
rou,2012,3015.6
rou,2013,3227
rou,2014,3265.8
rou,2015,3393
rou,2016,3966.2
rou,2017,4381.4
rou,2018,4883.3
rou,2019,5219.7
rou,2020,5258.6
rou,2021,5437.8
rou,2022,6538
rou,2023,7625.2
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,1077.3
svn,2009,1060.1
svn,2010,1065.3
svn,2011,1019.2
svn,2012,1008.6
svn,2013,1001.7
svn,2014,1037.3
svn,2015,1097.2
svn,2016,1171.5
svn,2017,1264.5
svn,2018,1383.8
svn,2019,1508.3
svn,2020,1483.6
svn,2021,1563.6
svn,2022,1741.4
svn,2023,1916.5
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,1610.5
svk,2009,1625.2
svk,2010,1660.6
svk,2011,1703
svk,2012,1690.7
svk,2013,1747.8
svk,2014,1797.4
svk,2015,1936.1
svk,2016,1992.5
svk,2017,2162.9
svk,2018,2402.6
svk,2019,2543.7
svk,2020,2531.5
svk,2021,2577.9
svk,2022,2790.6
svk,2023,3062.4
svk,2024,3219.3
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,5335
fin,2009,5315
fin,2010,5483
fin,2011,5710
fin,2012,5790
fin,2013,5789
fin,2014,5769
fin,2015,5718
fin,2016,5766
fin,2017,5781
fin,2018,6024
fin,2019,6183
fin,2020,5543
fin,2021,5718
fin,2022,6264
fin,2023,6454
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
