country,year,foradl_fast_arb_form
svn,2019,757.5
svn,2020,580.4
svn,2021,638.6
svn,2022,742.3
svn,2023,779.5
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,280.8
svk,2009,208.1
svk,2010,286.1
svk,2011,345
svk,2012,352
svk,2013,332.4
svk,2014,336.9
svk,2015,401.2
svk,2016,382.2
svk,2017,372.2
svk,2018,341.5
svk,2019,322.4
svk,2020,274.3
svk,2021,260.8
svk,2022,254.3
svk,2023,277.9
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,1719.5
fin,2009,1444.8
fin,2010,1522.4
fin,2011,1734.2
fin,2012,1793.9
fin,2013,1683.8
fin,2014,1772.9
fin,2015,1872.6
fin,2016,2090.6
fin,2017,2394.7
fin,2018,2606.5
fin,2019,2744.9
fin,2020,2488
fin,2021,2636.9
fin,2022,2925.2
fin,2023,2831.9
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,2862.6
swe,2009,2272.4
swe,2010,2770
swe,2011,3476.1
swe,2012,3388.6
swe,2013,3347.7
swe,2014,3598.1
swe,2015,4217.6
swe,2016,4426.9
swe,2017,4595.5
swe,2018,4871.9
swe,2019,4715.7
swe,2020,4026.2
swe,2021,4759.1
swe,2022,5668.2
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,1.6
isl,2009,1
isl,2010,1.2
isl,2011,1.7
isl,2012,1.9
isl,2013,2.7
isl,2014,6.1
isl,2015,8.3
isl,2016,23.9
isl,2017,46.2
isl,2018,47.9
isl,2019,35.7
isl,2020,19.2
isl,2021,19.2
isl,2022,29.9
isl,2023,35.6
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,2860.8
nor,2009,2458.6
nor,2010,2228.2
nor,2011,2742.3
nor,2012,2994.3
nor,2013,2979.3
nor,2014,2966.4
