country,year,foradl_fast_plast
aut,2007,
aut,2008,2642.8
aut,2009,2025.7
aut,2010,2298.6
aut,2011,2511.6
aut,2012,2410.1
aut,2013,2533.3
aut,2014,2698.4
aut,2015,2546.7
aut,2016,2695.4
aut,2017,2767.3
aut,2018,2761.7
aut,2019,2773
aut,2020,2541
aut,2021,2857.7
aut,2022,3281.1
aut,2023,3082
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,3852.1
pol,2009,3817.5
pol,2010,4682.6
pol,2011,4830.5
pol,2012,4901.2
pol,2013,4802.6
pol,2014,5337.8
pol,2015,5680.2
pol,2016,6127.4
pol,2017,6151.5
pol,2018,6771.1
pol,2019,7309.7
pol,2020,7618.7
pol,2021,7790.2
pol,2022,9266.7
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,1127.5
prt,2009,1021.5
prt,2010,1052.7
prt,2011,1128.8
prt,2012,1113.2
prt,2013,1119.7
prt,2014,1197.4
prt,2015,1258.5
prt,2016,1277.5
prt,2017,1424.7
prt,2018,1477.9
prt,2019,1487.2
prt,2020,1416.8
prt,2021,1524.7
prt,2022,1543.4
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,800.9
rou,2009,831.7
rou,2010,660.2
rou,2011,647.7
rou,2012,959.3
rou,2013,1404.5
rou,2014,1186.9
rou,2015,1425
rou,2016,1468.9
rou,2017,1694.3
rou,2018,1801.2
rou,2019,2001.8
rou,2020,1477.4
rou,2021,2470.6
rou,2022,2359.3
rou,2023,2318.8
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,761
svn,2009,634
svn,2010,714.7
svn,2011,661.5
svn,2012,570.1
svn,2013,600.2
svn,2014,656.8
svn,2015,654.2
svn,2016,692.3
svn,2017,805.5
svn,2018,756.2
svn,2019,774.2
svn,2020,711.5
svn,2021,897.2
svn,2022,872.8
svn,2023,795
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,459.9
svk,2009,452.8
svk,2010,488.1
svk,2011,548.7
svk,2012,658.9
svk,2013,736.6
svk,2014,929.9
svk,2015,1096.6
svk,2016,1281.1
svk,2017,1430
svk,2018,1470
svk,2019,1689.3
svk,2020,1302.9
svk,2021,1160.8
svk,2022,1228.1
svk,2023,1129
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,1255.1
fin,2009,980.2
fin,2010,1065.1
fin,2011,1188.4
fin,2012,1160.1
fin,2013,993.4
fin,2014,1017.6
fin,2015,1033.8
fin,2016,1021.7
fin,2017,1071.2
fin,2018,1087.3
fin,2019,1084.3
fin,2020,1054
fin,2021,1061.1
fin,2022,897.4
fin,2023,833.7
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,1945.7
swe,2009,1410.9
swe,2010,1755
swe,2011,1822.5
swe,2012,1615.4
swe,2013,1519.2
swe,2014,1576.1
swe,2015,1612.2
swe,2016,1529.9
swe,2017,1691.2
swe,2018,1697.3
swe,2019,1697.1
swe,2020,1703.6
swe,2021,1740.8
swe,2022,1548.9
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,33.3
isl,2009,23.9
isl,2010,22.8
isl,2011,23.8
isl,2012,27.4
isl,2013,25.4
isl,2014,26.4
isl,2015,28.7
isl,2016,26.1
isl,2017,26.8
isl,2018,25.6
isl,2019,24.2
isl,2020,19.4
isl,2021,24.5
isl,2022,25.6
isl,2023,26.8
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,451.3
nor,2009,281.4
nor,2010,292.3
nor,2011,311.4
nor,2012,313.3
nor,2013,322.4
nor,2014,335.6
nor,2015,354.2
nor,2016,388.1
nor,2017,393.3
nor,2018,420.9
nor,2019,468.3
nor,2020,444.2
nor,2021,402.3
nor,2022,389.6
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,3397.5
che,2009,2773.5
che,2010,2835.9
che,2011,2892.9
che,2012,2764.4
che,2013,2735.6
che,2014,2707.4
che,2015,2797.5
che,2016,2811.1
che,2017,2807.4
che,2018,2735.3
che,2019,2769.5
che,2020,2832.7
che,2021,2886.2
che,2022,2663.7
che,2023,2557
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
