country,year,foradl_lop_vetenskap
isl,2008,56.6
isl,2009,48.5
isl,2010,65.4
isl,2011,57.3
isl,2012,63.6
isl,2013,80
isl,2014,92.6
isl,2015,140.3
isl,2016,164.2
isl,2017,166.1
isl,2018,176.4
isl,2019,146.4
isl,2020,153.1
isl,2021,205.2
isl,2022,212.3
isl,2023,213.9
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,1003.1
nor,2009,1031.6
nor,2010,1188.4
nor,2011,1186.3
nor,2012,1373.2
nor,2013,1376.3
nor,2014,1326.6
nor,2015,1374.5
nor,2016,1345.1
nor,2017,1518.1
nor,2018,1538.9
nor,2019,1642.7
nor,2020,1822.6
nor,2021,1906.9
nor,2022,2302
nor,2023,2236.3
nor,2024,2318
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,2524.1
che,2009,3020.8
che,2010,3273.9
che,2011,3532.7
che,2012,3859.1
che,2013,3904.4
che,2014,4258
che,2015,4754.5
che,2016,5298
che,2017,5313.1
che,2018,5490.6
che,2019,6209.4
che,2020,5766.2
che,2021,6783.2
che,2022,7327.3
che,2023,6993.8
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,14972.1
gbr,2009,12826.9
gbr,2010,15514.5
gbr,2011,14270.4
gbr,2012,14544.9
gbr,2013,11462.9
gbr,2014,13325.6
gbr,2015,16130.3
gbr,2016,14792.3
gbr,2017,14325.8
gbr,2018,14988
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,13.6
bih,2009,14.3
bih,2010,14
bih,2011,13.7
bih,2012,13.9
bih,2013,13.8
bih,2014,14.1
bih,2015,15.9
bih,2016,16.1
bih,2017,16.4
bih,2018,16.1
bih,2019,19.6
bih,2020,19.6
bih,2021,17.3
bih,2022,19.1
bih,2023,24.3
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,9.5
mkd,2009,11.7
mkd,2010,9.7
mkd,2011,9.8
mkd,2012,9.5
mkd,2013,9.1
mkd,2014,9.2
mkd,2015,9.7
mkd,2016,9.8
mkd,2017,10.8
mkd,2018,13.6
mkd,2019,13.8
mkd,2020,12.7
mkd,2021,13.8
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,202.4
srb,2009,192.1
srb,2010,175.8
srb,2011,196.3
srb,2012,188.4
srb,2013,194.5
srb,2014,203.1
srb,2015,215.5
srb,2016,219.1
srb,2017,236.7
srb,2018,269.9
