country,year,foradl_lop_offent_halso
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,560.9
lie,2017,502.3
lie,2018,483.4
lie,2019,507.8
lie,2020,547.6
lie,2021,565.3
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,50291.5
nor,2009,50862.9
nor,2010,58740.9
nor,2011,64242.1
nor,2012,71341
nor,2013,72018.1
nor,2014,71130.3
nor,2015,69932.2
nor,2016,70220.5
nor,2017,73074.6
nor,2018,74453.9
nor,2019,76255.2
nor,2020,71661.4
nor,2021,80450.6
nor,2022,86057.9
nor,2023,80888
nor,2024,84285.1
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,62053.3
che,2009,68460.3
che,2010,76511.3
che,2011,88899.5
che,2012,93509.1
che,2013,94102.6
che,2014,97746.6
che,2015,113336.5
che,2016,113945.6
che,2017,113534
che,2018,110657.5
che,2019,118777.7
che,2020,125225.5
che,2021,128435.8
che,2022,143459.3
che,2023,154598.2
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,330808.3
gbr,2009,309199.3
gbr,2010,330678.2
gbr,2011,332949.3
gbr,2012,364602.2
gbr,2013,350492.2
gbr,2014,379073.8
gbr,2015,432500.3
gbr,2016,396206.1
gbr,2017,382230.5
gbr,2018,391225.4
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,2242
bih,2009,2353.7
bih,2010,2350.7
bih,2011,2475.8
bih,2012,2491.9
bih,2013,2496.7
bih,2014,2574.4
bih,2015,2614.4
bih,2016,2608.4
bih,2017,2636.6
bih,2018,2757.1
bih,2019,2933.2
bih,2020,3056.1
bih,2021,3222.3
bih,2022,3617.9
bih,2023,4088.3
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,494.4
mne,2009,498.4
mne,2010,524.5
mne,2011,532.3
mne,2012,531
mne,2013,532.5
mne,2014,533.4
mne,2015,569.1
mne,2016,612.7
mne,2017,639.2
mne,2018,658.5
mne,2019,680.1
mne,2020,700.8
mne,2021,768.9
mne,2022,814.5
mne,2023,969.7
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,960.7
mkd,2009,1033.7
mkd,2010,1055.5
mkd,2011,1080.7
mkd,2012,1126.5
mkd,2013,1043.7
mkd,2014,1058.9
mkd,2015,1125.8
mkd,2016,1196.1
mkd,2017,1216.9
mkd,2018,1250.9
mkd,2019,1336.8
mkd,2020,1441.9
mkd,2021,1512.6
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,768.4
alb,2009,827.5
alb,2010,867
alb,2011,922
alb,2012,979.8
alb,2013,1018.8
alb,2014,1037.5
alb,2015,1073.9
alb,2016,1127.4
alb,2017,1285.7
alb,2018,1406.2
alb,2019,1538.9
alb,2020,1592.6
alb,2021,1812
alb,2022,1972.7
alb,2023,2523.8
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,5576.4
srb,2009,4850.5
srb,2010,4748.5
srb,2011,5277.2
srb,2012,5054.1
srb,2013,5306.3
srb,2014,5125.8
srb,2015,4549.6
srb,2016,4493.8
srb,2017,4798.1
srb,2018,5389.8
srb,2019,5950.3
srb,2020,6457.1
srb,2021,7087.1
srb,2022,7902.1
srb,2023,8973.7
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,55613.4
tur,2009,54889.5
tur,2010,67107.2
tur,2011,65770.1
tur,2012,76645.8
tur,2013,78710.8
tur,2014,78772.4
tur,2015,84232
tur,2016,90207.8
tur,2017,81828.4
tur,2018,74902
tur,2019,83503.5
tur,2020,76489.2
tur,2021,73418.1
tur,2022,78127.2
tur,2023,106160.6
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
