country,year,loner_lop_parti_repara
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,30.2
mlt,2009,28.9
mlt,2010,24.2
mlt,2011,26
mlt,2012,24.8
mlt,2013,23.7
mlt,2014,24.2
mlt,2015,28.1
mlt,2016,34.5
mlt,2017,38.6
mlt,2018,36.9
mlt,2019,49
mlt,2020,44.6
mlt,2021,44.4
mlt,2022,47.3
mlt,2023,52.9
mlt,2024,58.2
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,4591
nld,2009,4560
nld,2010,4550
nld,2011,4795
nld,2012,4883
nld,2013,4735
nld,2014,4669
nld,2015,4562
nld,2016,4726
nld,2017,4897
nld,2018,5143
nld,2019,5361
nld,2020,5456
nld,2021,5519
nld,2022,5754
nld,2023,6113
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,2394.9
aut,2009,2415.8
aut,2010,2485.5
aut,2011,2613.3
aut,2012,2701.9
aut,2013,2778.1
aut,2014,2848.3
aut,2015,2855.2
aut,2016,2984.5
aut,2017,3083.2
aut,2018,3225.8
aut,2019,3332.4
aut,2020,3218.4
aut,2021,3345.4
aut,2022,3527.9
aut,2023,3768.5
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,2084.2
pol,2009,1752.7
pol,2010,1847.9
pol,2011,1960.2
pol,2012,1980.1
pol,2013,1736
pol,2014,1759.4
pol,2015,1947.4
pol,2016,1974
pol,2017,2242.2
pol,2018,2627.7
pol,2019,2861.1
pol,2020,2752.9
pol,2021,3199
pol,2022,3400.3
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,1498.3
prt,2009,1471.8
prt,2010,1492.1
prt,2011,1481.1
prt,2012,1315.5
prt,2013,1261.5
prt,2014,1300.3
prt,2015,1442
prt,2016,1469.5
prt,2017,1575.4
prt,2018,1694.6
prt,2019,1812.9
prt,2020,1746.5
prt,2021,1840.7
prt,2022,1982.7
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,55.2
rou,2009,259.8
rou,2010,519.5
rou,2011,577.9
rou,2012,565.2
rou,2013,571.6
rou,2014,707.1
rou,2015,806.7
rou,2016,1009.6
rou,2017,1174.5
rou,2018,1338
rou,2019,1490.9
rou,2020,1380.8
rou,2021,1537.2
rou,2022,1994.7
rou,2023,2256.6
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,301.7
svn,2009,300.6
svn,2010,311.6
svn,2011,307.9
svn,2012,297
svn,2013,288.6
svn,2014,294.3
svn,2015,307.6
svn,2016,330.5
svn,2017,352.3
svn,2018,377.4
svn,2019,401.9
svn,2020,393.3
svn,2021,424.7
svn,2022,471.4
svn,2023,532.7
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,385.4
svk,2009,266
svk,2010,313.2
svk,2011,340.2
svk,2012,325
svk,2013,331
svk,2014,357.3
svk,2015,387.4
svk,2016,404
svk,2017,444.4
svk,2018,483
svk,2019,524.3
svk,2020,503.5
svk,2021,553.2
svk,2022,598.4
svk,2023,674.5
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,1471
fin,2009,1363
fin,2010,1352
fin,2011,1508
fin,2012,1592
fin,2013,1627
fin,2014,1627
fin,2015,1639
fin,2016,1726
fin,2017,1755
fin,2018,1838
fin,2019,1914
fin,2020,1859
fin,2021,2017
fin,2022,2123
fin,2023,2190
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,2431
swe,2009,2176.7
swe,2010,2585.6
swe,2011,2966.7
swe,2012,3253.1
swe,2013,3335
swe,2014,3334.7
swe,2015,3436
swe,2016,3552.8
swe,2017,3689.3
swe,2018,3686.3
swe,2019,3704.6
swe,2020,3813.9
swe,2021,4108.5
swe,2022,4259.4
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,94.8
isl,2009,64.6
isl,2010,72.5
isl,2011,79
isl,2012,87.6
isl,2013,97.1
isl,2014,111
isl,2015,137.2
isl,2016,178.3
isl,2017,223.3
isl,2018,237.7
isl,2019,218.2
isl,2020,179.7
isl,2021,206.1
isl,2022,247.5
isl,2023,278.7
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,2241.9
nor,2009,2107.6
nor,2010,2434.2
nor,2011,2645.7
nor,2012,2924.1
nor,2013,2924.5
nor,2014,2814.8
nor,2015,2744.6
nor,2016,2763.1
nor,2017,2922.1
nor,2018,2980
nor,2019,3050.6
nor,2020,2829.3
nor,2021,3248.8
nor,2022,3507.5
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,
che,2009,
che,2010,
che,2011,4398.2
che,2012,4625.6
che,2013,4619.1
che,2014,4709.9
che,2015,5454.8
che,2016,5439.9
che,2017,5362.8
che,2018,5243.9
