country,year,foradl_fast_dator
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,4657.9
nld,2009,4138.8
nld,2010,4003.6
nld,2011,4374.3
nld,2012,4648.2
nld,2013,5131.7
nld,2014,5579.6
nld,2015,5229
nld,2016,5085
nld,2017,5263.7
nld,2018,5539
nld,2019,5483.6
nld,2020,5219
nld,2021,5824
nld,2022,6865.2
nld,2023,6433.2
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,2588.4
aut,2009,2402
aut,2010,2501.7
aut,2011,2993.7
aut,2012,3058.7
aut,2013,3249.9
aut,2014,3214.2
aut,2015,3105.1
aut,2016,3445.2
aut,2017,3667.8
aut,2018,4086.7
aut,2019,4267.7
aut,2020,3952
aut,2021,4615.3
aut,2022,5128
aut,2023,4974.3
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,1126.5
pol,2009,1253.7
pol,2010,1998.4
pol,2011,1772.5
pol,2012,1780.6
pol,2013,1615.1
pol,2014,1741.8
pol,2015,1394.6
pol,2016,1585.4
pol,2017,1579.6
pol,2018,2047
pol,2019,2342.3
pol,2020,2226.4
pol,2021,1957.9
pol,2022,2399.3
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,410.3
prt,2009,322.5
prt,2010,447.1
prt,2011,383.8
prt,2012,347.6
prt,2013,369.3
prt,2014,357.9
prt,2015,371.5
prt,2016,445.1
prt,2017,459.5
prt,2018,517.8
prt,2019,485.2
prt,2020,459.9
prt,2021,470.5
prt,2022,517.1
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,2662.8
rou,2009,2567.5
rou,2010,3162.4
rou,2011,2939.9
rou,2012,1164.8
rou,2013,1216.4
rou,2014,1048.4
rou,2015,922.6
rou,2016,968.3
rou,2017,947.5
rou,2018,1010.5
rou,2019,948.5
rou,2020,1029.8
rou,2021,1184.6
rou,2022,1090.2
rou,2023,1175.2
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,195.7
svn,2009,150.2
svn,2010,171.6
svn,2011,170.1
svn,2012,184
svn,2013,184.8
svn,2014,193.8
svn,2015,191.2
svn,2016,212.8
svn,2017,254.9
svn,2018,267.5
svn,2019,318.9
svn,2020,331.2
svn,2021,386.8
svn,2022,473.5
svn,2023,486.9
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,244.2
svk,2009,277
svk,2010,585.5
svk,2011,972.3
svk,2012,719.4
svk,2013,590
svk,2014,967.1
svk,2015,815
svk,2016,837.9
svk,2017,651.5
svk,2018,618.8
svk,2019,650.8
svk,2020,509.6
svk,2021,385.2
svk,2022,408.6
svk,2023,461.1
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,10254
fin,2009,7187.7
fin,2010,7341.8
fin,2011,5798.2
fin,2012,2839.9
fin,2013,4185.4
fin,2014,4427.5
fin,2015,4079.6
fin,2016,4473.6
fin,2017,4712.5
fin,2018,3531.5
fin,2019,4167.6
fin,2020,4985
fin,2021,4993.4
fin,2022,4814.2
fin,2023,3886.8
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,3399.9
swe,2009,2876.6
swe,2010,2576.1
swe,2011,2137.5
swe,2012,2718.7
swe,2013,2632.7
swe,2014,2372.2
swe,2015,2214.6
swe,2016,2100.9
swe,2017,2211.1
swe,2018,2027.5
swe,2019,2336.2
swe,2020,2413.7
swe,2021,2995.3
swe,2022,3193.8
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,28.2
isl,2009,29
isl,2010,26.8
isl,2011,51.6
isl,2012,42.6
isl,2013,27.9
isl,2014,26.5
isl,2015,25.7
isl,2016,23.3
isl,2017,22.3
isl,2018,18.1
isl,2019,16.1
isl,2020,15.2
isl,2021,21.4
isl,2022,34.3
isl,2023,37.3
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
