country,year,foradl_fast_bygg
prt,2016,7253.9
prt,2017,7693.7
prt,2018,7999.4
prt,2019,8352.4
prt,2020,8352.2
prt,2021,8897.6
prt,2022,9129
prt,2023,9482.3
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,21206.5
rou,2009,19078.4
rou,2010,15416.2
rou,2011,11321.8
rou,2012,11095.6
rou,2013,11877.6
rou,2014,12593.4
rou,2015,13252.3
rou,2016,14307.1
rou,2017,13984
rou,2018,13221.8
rou,2019,14010.6
rou,2020,14305.8
rou,2021,14674.6
rou,2022,14579.1
rou,2023,16328.7
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,3435
svn,2009,2966.7
svn,2010,2452.5
svn,2011,2226.5
svn,2012,2042.6
svn,2013,1862.1
svn,2014,2050.9
svn,2015,1980.6
svn,2016,1909.4
svn,2017,2079.8
svn,2018,2270.3
svn,2019,2455.5
svn,2020,2451.5
svn,2021,2635.1
svn,2022,2854.3
svn,2023,3253.2
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,7688.4
svk,2009,7555.1
svk,2010,7165
svk,2011,6959.3
svk,2012,7474.4
svk,2013,6414.3
svk,2014,6685.6
svk,2015,6991.6
svk,2016,6937
svk,2017,7420.9
svk,2018,7420
svk,2019,6569.9
svk,2020,6595.4
svk,2021,7793.1
svk,2022,7238.8
svk,2023,7167.6
svk,2024,7153.7
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,15923
fin,2009,14681.5
fin,2010,16365.9
fin,2011,16526.1
fin,2012,15497
fin,2013,15124.4
fin,2014,14552.5
fin,2015,14944.6
fin,2016,15495.7
fin,2017,16135.3
fin,2018,16373.7
fin,2019,15567.3
fin,2020,15368
fin,2021,15352.4
fin,2022,15305.5
fin,2023,13605.4
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,23748.3
swe,2009,24138.7
swe,2010,23866.5
swe,2011,24680.7
swe,2012,24590.7
swe,2013,23603.4
swe,2014,24330.1
swe,2015,25959.6
swe,2016,25428
swe,2017,26549.9
swe,2018,27644.3
swe,2019,28518.7
swe,2020,28320.2
swe,2021,28588.9
swe,2022,29724.4
swe,2023,31195.6
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,1498.2
isl,2009,875.6
isl,2010,773.3
isl,2011,742.6
isl,2012,742.2
isl,2013,807
isl,2014,880.5
isl,2015,989.4
isl,2016,1251.5
isl,2017,1394.1
isl,2018,1503.2
isl,2019,1431.2
isl,2020,1340.7
isl,2021,1390.9
isl,2022,1537.1
isl,2023,1701.2
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,17453
nor,2009,16190.4
nor,2010,15826.1
nor,2011,16230.5
nor,2012,17375.6
nor,2013,17689.6
nor,2014,18023.1
nor,2015,18372.7
nor,2016,19085.8
nor,2017,19714.6
nor,2018,19981.2
nor,2019,20787
nor,2020,20113.3
nor,2021,20605.2
nor,2022,21264.2
nor,2023,20869.7
nor,2024,20060.5
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,27616.7
che,2009,28052.4
che,2010,29973.3
che,2011,30203.8
che,2012,30562.2
che,2013,31191
che,2014,31700.2
che,2015,31320.6
che,2016,31660.3
che,2017,31897.1
che,2018,32975.2
che,2019,33184.1
che,2020,32542.8
che,2021,33417.3
che,2022,32099.1
che,2023,31784
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,
gbr,2009,
gbr,2010,
gbr,2011,
gbr,2012,
gbr,2013,
gbr,2014,
gbr,2015,
gbr,2016,
gbr,2017,
gbr,2018,
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,
bih,2009,
bih,2010,
bih,2011,
bih,2012,
bih,2013,
bih,2014,
bih,2015,
bih,2016,
bih,2017,
bih,2018,
bih,2019,
bih,2020,
bih,2021,
bih,2022,
bih,2023,
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,173.3
mne,2009,147.7
mne,2010,136.5
mne,2011,158.2
mne,2012,139.4
mne,2013,141
mne,2014,144.2
mne,2015,151
mne,2016,199.4
mne,2017,248.2
mne,2018,275.3
mne,2019,310
mne,2020,254.3
mne,2021,242.1
mne,2022,204.8
mne,2023,198.1
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,302.6
mkd,2009,338.5
mkd,2010,375.6
mkd,2011,519.4
mkd,2012,505.1
mkd,2013,569.6
mkd,2014,598.6
mkd,2015,646.6
mkd,2016,628.5
mkd,2017,638.7
mkd,2018,568.4
mkd,2019,599.8
mkd,2020,575.8
mkd,2021,
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,1932.8
alb,2009,1906.7
alb,2010,1759.4
alb,2011,1809.1
alb,2012,1649.8
alb,2013,1551.3
alb,2014,1387.9
alb,2015,1448.2
alb,2016,1425.2
alb,2017,1572.5
alb,2018,1628.3
alb,2019,1598.8
alb,2020,1629.6
alb,2021,1784.2
alb,2022,2020
alb,2023,2191.3
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,1582.1
srb,2009,1385.9
srb,2010,1282.6
srb,2011,1473.3
srb,2012,1492.1
srb,2013,1231.5
srb,2014,1249.1
srb,2015,1463.2
srb,2016,1549.9
srb,2017,1629.9
srb,2018,1826.3
srb,2019,2435.9
srb,2020,2320.2
srb,2021,2750.9
srb,2022,2476.5
srb,2023,2736.5
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,20243.7
tur,2009,17023.6
tur,2010,19873
tur,2011,24817.2
tur,2012,26845.8
tur,2013,30689.4
tur,2014,32162.6
tur,2015,33754.2
tur,2016,35472.2
tur,2017,38796.9
tur,2018,38075.2
tur,2019,34798.7
tur,2020,32870.2
tur,2021,32667.9
tur,2022,30347.2
tur,2023,32524.1
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
