country,year,loner_lop_motor_transp
pol,2008,3079.9
pol,2009,2184.1
pol,2010,2578.9
pol,2011,2876
pol,2012,3011.2
pol,2013,3212.9
pol,2014,3507.4
pol,2015,3701.4
pol,2016,3998.9
pol,2017,4510.5
pol,2018,4817.3
pol,2019,5395.6
pol,2020,5182.1
pol,2021,5324
pol,2022,5902.1
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,912.8
prt,2009,777
prt,2010,837.4
prt,2011,833
prt,2012,815.4
prt,2013,835.4
prt,2014,850.1
prt,2015,891.7
prt,2016,926.6
prt,2017,1054.5
prt,2018,1226.5
prt,2019,1286.6
prt,2020,1214.5
prt,2021,1304.2
prt,2022,1411.5
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,1244.8
rou,2009,1291.3
rou,2010,1314.9
rou,2011,1484.4
rou,2012,1512.2
rou,2013,1664.1
rou,2014,1936.9
rou,2015,2127.9
rou,2016,2412.9
rou,2017,3030.9
rou,2018,2935
rou,2019,3091.7
rou,2020,2788.7
rou,2021,2922.7
rou,2022,3430.2
rou,2023,4032.2
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,320
svn,2009,284.7
svn,2010,304.4
svn,2011,312.1
svn,2012,330.4
svn,2013,316.4
svn,2014,363.1
svn,2015,342.5
svn,2016,331.8
svn,2017,395.7
svn,2018,435.6
svn,2019,480.6
svn,2020,476.9
svn,2021,503.4
svn,2022,526
svn,2023,585.5
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,821.2
svk,2009,741.4
svk,2010,818.2
svk,2011,970.5
svk,2012,1118
svk,2013,1164.1
svk,2014,1242.1
svk,2015,1357.3
svk,2016,1499.2
svk,2017,1802.6
svk,2018,2074
svk,2019,2199.5
svk,2020,2115.1
svk,2021,2187
svk,2022,2286.9
svk,2023,2620.3
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,838
fin,2009,709
fin,2010,641
fin,2011,631
fin,2012,686
fin,2013,691
fin,2014,673
fin,2015,673
fin,2016,704
fin,2017,782
fin,2018,810
fin,2019,861
fin,2020,804
fin,2021,853
fin,2022,912
fin,2023,932
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,4441.7
swe,2009,3464
swe,2010,3913.8
swe,2011,4411.7
swe,2012,4576.9
swe,2013,4798.4
swe,2014,4782.7
swe,2015,4864.9
swe,2016,5107.7
swe,2017,5478
swe,2018,5439.2
swe,2019,5384.7
swe,2020,5360.8
swe,2021,6129.3
swe,2022,5682.6
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,5.1
isl,2009,4.1
isl,2010,4.3
isl,2011,4.3
isl,2012,4.3
isl,2013,4.9
isl,2014,6.3
isl,2015,7.3
isl,2016,7.2
isl,2017,6.7
isl,2018,6.4
isl,2019,6.2
isl,2020,5.7
isl,2021,6.6
isl,2022,7.6
isl,2023,8.3
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,2477.1
nor,2009,2077.2
nor,2010,2130.1
nor,2011,2274
nor,2012,2623.1
nor,2013,2693.3
nor,2014,2646.7
nor,2015,2126.5
nor,2016,1792.8
nor,2017,1627.3
nor,2018,1648.6
nor,2019,1698.8
nor,2020,1470.9
nor,2021,1509.9
nor,2022,1559.1
