country,year,loner_lop_sakerhet
svk,2012,502.6
svk,2013,481.3
svk,2014,515.9
svk,2015,559.7
svk,2016,645.6
svk,2017,683.7
svk,2018,796.5
svk,2019,821.6
svk,2020,895.1
svk,2021,918.5
svk,2022,1025.1
svk,2023,1158
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,1964
fin,2009,2070
fin,2010,2217
fin,2011,2332
fin,2012,2509
fin,2013,2600
fin,2014,2686
fin,2015,2484
fin,2016,2637
fin,2017,2686
fin,2018,2912
fin,2019,3068
fin,2020,3037
fin,2021,3256
fin,2022,3540
fin,2023,3918
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,4067.9
swe,2009,3866.1
swe,2010,4408
swe,2011,4984.1
swe,2012,5393.7
swe,2013,5559.4
swe,2014,5488
swe,2015,5514.2
swe,2016,5760.4
swe,2017,5869
swe,2018,5781.2
swe,2019,5899.5
swe,2020,5995.1
swe,2021,6515.5
swe,2022,6534.1
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,82
isl,2009,62.3
isl,2010,71.4
isl,2011,78.7
isl,2012,83.1
isl,2013,88.7
isl,2014,99.9
isl,2015,116
isl,2016,144
isl,2017,179.2
isl,2018,191.3
isl,2019,191.6
isl,2020,167.7
isl,2021,201.8
isl,2022,250.3
isl,2023,282.6
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,2223.8
nor,2009,2149.3
nor,2010,2399.2
nor,2011,2675.1
nor,2012,2940.7
nor,2013,2896.2
nor,2014,2800.6
nor,2015,2746.9
nor,2016,2763.2
nor,2017,2856.8
nor,2018,2901.7
nor,2019,2960.7
nor,2020,2668.9
nor,2021,3011.4
nor,2022,3278
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,
che,2009,
che,2010,
che,2011,
che,2012,
che,2013,
che,2014,
che,2015,
che,2016,
che,2017,
che,2018,
che,2019,
che,2020,
che,2021,
che,2022,
che,2023,
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,17623.2
gbr,2009,15534.2
gbr,2010,16300.2
gbr,2011,17328.4
gbr,2012,19710.9
gbr,2013,21296.2
gbr,2014,23002.8
gbr,2015,26690.5
gbr,2016,25527.2
gbr,2017,24868
gbr,2018,26042.4
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,40.8
bih,2009,42.2
bih,2010,41.6
bih,2011,44.2
bih,2012,45.4
bih,2013,48.7
bih,2014,52.9
bih,2015,53.6
bih,2016,57.1
bih,2017,59.3
bih,2018,64.9
bih,2019,73.2
bih,2020,83.6
bih,2021,105.1
bih,2022,132.5
bih,2023,154.6
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,17.4
mkd,2009,19
mkd,2010,29.5
mkd,2011,27.6
mkd,2012,35.4
mkd,2013,37.9
mkd,2014,41.9
mkd,2015,48.9
mkd,2016,54.9
mkd,2017,59.4
mkd,2018,58.8
mkd,2019,69.4
mkd,2020,78.5
mkd,2021,89.9
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,128.9
srb,2009,140
srb,2010,130.8
srb,2011,139
srb,2012,152.1
srb,2013,191
srb,2014,185.6
srb,2015,223.2
srb,2016,244.9
srb,2017,268.3
srb,2018,326.5
srb,2019,391.3
srb,2020,454.7
srb,2021,568.9
srb,2022,666.9
srb,2023,781
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,6599.2
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
