country,year,foradl_lop_med_verk
rou,2016,825.3
rou,2017,878.7
rou,2018,1046.2
rou,2019,1112.9
rou,2020,1196.5
rou,2021,1178.8
rou,2022,1261.1
rou,2023,1612.5
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,119.1
svn,2009,121.9
svn,2010,118.8
svn,2011,120.7
svn,2012,122.1
svn,2013,116.7
svn,2014,111.6
svn,2015,111.1
svn,2016,119.6
svn,2017,128.2
svn,2018,136
svn,2019,156.6
svn,2020,164.3
svn,2021,183
svn,2022,204.8
svn,2023,223.6
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,101.3
svk,2009,106.6
svk,2010,112.8
svk,2011,96.4
svk,2012,113.8
svk,2013,108.2
svk,2014,125.7
svk,2015,165.8
svk,2016,208.6
svk,2017,224.5
svk,2018,259.9
svk,2019,257.2
svk,2020,247.5
svk,2021,295.4
svk,2022,342.1
svk,2023,348.4
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,1594
fin,2009,1638
fin,2010,1755
fin,2011,1795
fin,2012,1854
fin,2013,1879
fin,2014,1900
fin,2015,1909
fin,2016,1889
fin,2017,1918
fin,2018,1902
fin,2019,1979
fin,2020,1943
fin,2021,1996
fin,2022,1989
fin,2023,2008
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,2624.2
swe,2009,2313.2
swe,2010,2694.3
swe,2011,2926.3
swe,2012,3099.1
swe,2013,3280.5
swe,2014,3237.3
swe,2015,3452.6
swe,2016,3409.2
swe,2017,3417
swe,2018,3348
swe,2019,3207.9
swe,2020,3280.8
swe,2021,3624.7
swe,2022,3579.7
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,85.9
isl,2009,76.5
isl,2010,83.3
isl,2011,88.3
isl,2012,91
isl,2013,96
isl,2014,105.6
isl,2015,130.8
isl,2016,147.3
isl,2017,167.2
isl,2018,195.7
