country,year,foradl_lop_annan_serv
pol,2012,3619.4
pol,2013,3844
pol,2014,4099.4
pol,2015,4191.8
pol,2016,3804.1
pol,2017,4408.7
pol,2018,4686.1
pol,2019,4677
pol,2020,4798.3
pol,2021,4528.4
pol,2022,5495
pol,2023,6391.2
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,1870.3
prt,2009,1903
prt,2010,2003.3
prt,2011,2015.3
prt,2012,2103.7
prt,2013,2103.8
prt,2014,2130.3
prt,2015,2187.4
prt,2016,2200.4
prt,2017,2290.3
prt,2018,2358.3
prt,2019,2459.7
prt,2020,2158.5
prt,2021,2188.8
prt,2022,2520.3
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,2248.7
rou,2009,1577.1
rou,2010,1545
rou,2011,1975.7
rou,2012,2076.6
rou,2013,1450.8
rou,2014,1798.7
rou,2015,2495.2
rou,2016,2117.6
rou,2017,2720.9
rou,2018,2980.7
rou,2019,2894.1
rou,2020,2716
rou,2021,2810.9
rou,2022,3316.3
rou,2023,4197.8
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,353.2
svn,2009,356.2
svn,2010,338.7
svn,2011,362.1
svn,2012,348.6
svn,2013,349.1
svn,2014,348.1
svn,2015,352
svn,2016,373.1
svn,2017,393.5
svn,2018,415.6
svn,2019,461.7
svn,2020,410.7
svn,2021,453.3
svn,2022,519.5
svn,2023,557.8
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,486.3
svk,2009,528.3
svk,2010,733.4
svk,2011,691.6
svk,2012,713.1
svk,2013,741.9
svk,2014,738
svk,2015,797.3
svk,2016,865.4
svk,2017,865.1
svk,2018,902.9
svk,2019,876.9
svk,2020,747.9
svk,2021,940.2
svk,2022,1009.7
svk,2023,1080.3
svk,2024,1177.5
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,2557
fin,2009,2753
fin,2010,2854
fin,2011,2897
fin,2012,2963
fin,2013,2987
fin,2014,3007
fin,2015,3031
fin,2016,3030
