country,year,foradl_fast_maskin_rep
mlt,2017,89.7
mlt,2018,
mlt,2019,79.8
mlt,2020,80
mlt,2021,79.2
mlt,2022,89.6
mlt,2023,81.8
mlt,2024,120.2
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,4113.5
nld,2009,3877.3
nld,2010,3930.2
nld,2011,4148.6
nld,2012,4276.9
nld,2013,3984.3
nld,2014,3870.7
nld,2015,3638.4
nld,2016,3554.6
nld,2017,3806.3
nld,2018,4281
nld,2019,3926.7
nld,2020,3578
nld,2021,3547
nld,2022,3897.9
nld,2023,4234.6
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1761.8
aut,2009,1551.6
aut,2010,2046.8
aut,2011,2069.8
aut,2012,2264.6
aut,2013,2164
aut,2014,2105.9
aut,2015,2065.2
aut,2016,2225
aut,2017,2233
aut,2018,2257
aut,2019,2329.8
aut,2020,2231.1
aut,2021,2326.6
aut,2022,2560.8
aut,2023,2545.4
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,3279.1
pol,2009,2368
pol,2010,2626.4
pol,2011,2803.1
pol,2012,3533.9
pol,2013,3321.6
pol,2014,3684.4
pol,2015,4335.1
pol,2016,3975.5
pol,2017,4244.9
pol,2018,4570.1
pol,2019,4824
pol,2020,4917.2
pol,2021,3134.8
pol,2022,3663.1
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,708.6
prt,2009,701.9
prt,2010,706.2
prt,2011,738.3
prt,2012,733.4
prt,2013,716.5
prt,2014,722.7
prt,2015,739.1
prt,2016,772.8
prt,2017,874.3
prt,2018,952.6
prt,2019,981.2
prt,2020,927.5
prt,2021,994.7
prt,2022,1012.5
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,851
rou,2009,1404.1
rou,2010,1872.8
rou,2011,2047.4
rou,2012,2023.2
rou,2013,2008.1
rou,2014,1672.9
rou,2015,1795.7
rou,2016,1770.3
rou,2017,1999.6
rou,2018,1790.3
rou,2019,1634
rou,2020,1276.7
rou,2021,1030.7
rou,2022,1238.6
rou,2023,1130.2
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,194.5
svn,2009,161.2
svn,2010,169.1
svn,2011,223.4
svn,2012,263.4
svn,2013,286.3
svn,2014,308.6
svn,2015,321.3
svn,2016,357.9
svn,2017,379.3
svn,2018,408.6
svn,2019,428.3
svn,2020,349.8
svn,2021,393.6
svn,2022,422.1
svn,2023,477.5
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,964.8
svk,2009,753.9
svk,2010,787
svk,2011,958.4
svk,2012,767.5
svk,2013,803.6
svk,2014,754.7
svk,2015,734.4
svk,2016,755.3
svk,2017,804.9
svk,2018,785.7
svk,2019,707.1
svk,2020,556.1
svk,2021,480.2
svk,2022,528.9
svk,2023,554.9
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,1902.2
fin,2009,1697.6
fin,2010,1651.3
fin,2011,1657.8
fin,2012,1569.5
fin,2013,1393
fin,2014,1358.5
fin,2015,1443.6
fin,2016,1449
fin,2017,1539.4
fin,2018,1560.9
fin,2019,1626.6
fin,2020,1534
fin,2021,1618
fin,2022,1729.9
fin,2023,1721.3
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,1938.8
swe,2009,1612.9
swe,2010,1673.9
swe,2011,1540.6
swe,2012,1453.2
swe,2013,1356.1
swe,2014,1334
swe,2015,1280.1
swe,2016,1419.1
swe,2017,1303.1
swe,2018,1383.4
swe,2019,1340
swe,2020,1217
swe,2021,1526.7
swe,2022,1553.5
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,60.6
isl,2009,50.9
isl,2010,49.8
isl,2011,65.4
isl,2012,64.6
isl,2013,67.7
isl,2014,76.3
isl,2015,76.7
isl,2016,84.9
isl,2017,87.8
isl,2018,86.4
isl,2019,86.2
