country,year,loner_lop_med_verk
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,707.8
pol,2009,654.4
pol,2010,721.7
pol,2011,718.1
pol,2012,760.9
pol,2013,791.2
pol,2014,823.8
pol,2015,934.5
pol,2016,825.8
pol,2017,879.5
pol,2018,1011.1
pol,2019,1041.3
pol,2020,1121.8
pol,2021,1084.1
pol,2022,1173.5
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,618.4
prt,2009,639.2
prt,2010,692.2
prt,2011,674.8
prt,2012,691.3
prt,2013,712.1
prt,2014,718.2
prt,2015,738.6
prt,2016,745.5
prt,2017,750.1
prt,2018,771.4
prt,2019,769.8
prt,2020,767.7
prt,2021,777.7
prt,2022,831.6
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,682.2
rou,2009,689.7
rou,2010,765.9
rou,2011,977.8
rou,2012,1167.9
rou,2013,544.4
rou,2014,739.5
rou,2015,782
rou,2016,692.9
rou,2017,768.8
rou,2018,888.2
rou,2019,986.4
rou,2020,1083
rou,2021,1040.2
rou,2022,1101.1
rou,2023,1395.3
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,105.4
svn,2009,109.8
svn,2010,112.6
svn,2011,109.4
svn,2012,106.5
svn,2013,104.5
svn,2014,106
svn,2015,104.8
svn,2016,110.4
svn,2017,116.2
svn,2018,123.4
svn,2019,144.3
svn,2020,151.1
svn,2021,168.7
svn,2022,188.1
svn,2023,204.1
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,81.4
svk,2009,86.5
svk,2010,87
svk,2011,89.9
svk,2012,93.4
svk,2013,92
svk,2014,115.1
svk,2015,121.8
svk,2016,165.7
svk,2017,215.5
svk,2018,238.3
svk,2019,225.2
svk,2020,209.3
svk,2021,258.5
