country,year,foradl_lop_arb_form
rou,2014,415.1
rou,2015,487.5
rou,2016,527.9
rou,2017,646.6
rou,2018,690.9
rou,2019,711
rou,2020,627.3
rou,2021,740.9
rou,2022,805.1
rou,2023,935.2
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,446.4
svn,2009,391.8
svn,2010,438.2
svn,2011,446.6
svn,2012,425.9
svn,2013,406.6
svn,2014,516.4
svn,2015,571.3
svn,2016,606.4
svn,2017,687.7
svn,2018,710.3
svn,2019,697.5
svn,2020,580.4
svn,2021,655.6
svn,2022,756.9
svn,2023,818.3
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,187.1
svk,2009,146.6
svk,2010,208.6
svk,2011,247.4
svk,2012,259.4
svk,2013,267.4
svk,2014,282.1
svk,2015,326.1
svk,2016,323.1
svk,2017,332.2
svk,2018,311.6
svk,2019,299.7
svk,2020,274.3
svk,2021,314.9
svk,2022,316.7
svk,2023,389.8
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,1408
fin,2009,1221
fin,2010,1331
fin,2011,1553
fin,2012,1636
fin,2013,1569
fin,2014,1681
fin,2015,1786
fin,2016,2006
fin,2017,2291
fin,2018,2534
fin,2019,2699
fin,2020,2488
fin,2021,2723
fin,2022,3095
fin,2023,3092
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,2414.7
swe,2009,1722.4
swe,2010,2392.1
swe,2011,3208.2
swe,2012,3302.8
swe,2013,3339
swe,2014,3469.1
swe,2015,4078.6
swe,2016,4432.4
swe,2017,4800.3
swe,2018,4844.6
swe,2019,4607.4
swe,2020,4026.2
swe,2021,5058.1
swe,2022,5806.5
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,0.7
isl,2009,0.7
isl,2010,1.2
isl,2011,1.6
isl,2012,1.7
isl,2013,2
isl,2014,5.3
isl,2015,8.2
isl,2016,26
isl,2017,60.5
isl,2018,61.1
isl,2019,40
isl,2020,19.2
isl,2021,22.3
isl,2022,39
isl,2023,49.3
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
