country,year,loner_lop_finans
fin,2009,2579
fin,2010,2629
fin,2011,2769
fin,2012,2813
fin,2013,2889
fin,2014,2829
fin,2015,2909
fin,2016,2980
fin,2017,2884
fin,2018,2932
fin,2019,3002
fin,2020,2991
fin,2021,3141
fin,2022,3445
fin,2023,3653
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,5444.1
swe,2009,4959.4
swe,2010,5700
swe,2011,6193.8
swe,2012,6511.1
swe,2013,6781.8
swe,2014,6370.9
swe,2015,6957.2
swe,2016,7230.9
swe,2017,7260.1
swe,2018,7289.2
swe,2019,7268.1
swe,2020,7694.3
swe,2021,9300
swe,2022,8847.4
swe,2023,8974.9
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,371
isl,2009,259.9
isl,2010,310.7
isl,2011,347.3
isl,2012,356.8
isl,2013,388.8
isl,2014,383.3
isl,2015,431.2
isl,2016,496.7
isl,2017,562.8
isl,2018,556.7
isl,2019,522.9
isl,2020,475
isl,2021,524.6
isl,2022,589.1
isl,2023,590.6
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,4539.8
nor,2009,4485.4
nor,2010,4940.6
nor,2011,5182.3
nor,2012,5644.7
nor,2013,5557
nor,2014,5427.9
nor,2015,5175.7
nor,2016,5107.7
nor,2017,5092.4
nor,2018,5120.3
nor,2019,5134.5
nor,2020,4913.6
nor,2021,5540.4
nor,2022,5964.6
nor,2023,5783.3
nor,2024,6021.5
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,
che,2009,
che,2010,
che,2011,
che,2012,
che,2013,
che,2014,
che,2015,
che,2016,
che,2017,
che,2018,
che,2019,
che,2020,
che,2021,
che,2022,
che,2023,
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,73405.1
gbr,2009,68764.5
gbr,2010,73964.8
gbr,2011,70086.9
gbr,2012,72445.6
gbr,2013,73429.8
gbr,2014,79144.5
gbr,2015,90521.3
gbr,2016,83531
gbr,2017,79425.6
gbr,2018,80424.1
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,268.8
bih,2009,279.7
bih,2010,276.8
bih,2011,283.6
bih,2012,287.5
bih,2013,290.5
bih,2014,293.4
bih,2015,295.9
bih,2016,292
bih,2017,302.5
bih,2018,316.9
bih,2019,326.1
bih,2020,322.7
bih,2021,337
bih,2022,357
bih,2023,391.4
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,90.5
mkd,2009,99.4
mkd,2010,101.4
mkd,2011,101.2
mkd,2012,102.1
mkd,2013,108.6
mkd,2014,111.4
mkd,2015,118.2
mkd,2016,122.8
mkd,2017,128.3
mkd,2018,131.7
mkd,2019,138.4
mkd,2020,140.7
mkd,2021,151.5
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,95.6
alb,2014,98.9
alb,2015,103.8
alb,2016,110.6
alb,2017,115.7
alb,2018,126.8
alb,2019,131.7
alb,2020,130.5
alb,2021,142.6
alb,2022,160.9
alb,2023,179.4
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,694.1
srb,2009,666.8
srb,2010,640.2
srb,2011,666.2
srb,2012,630.9
srb,2013,624.6
srb,2014,591.4
srb,2015,606
srb,2016,610.6
srb,2017,622.5
srb,2018,679.3
srb,2019,684.1
srb,2020,710.9
srb,2021,756.7
srb,2022,803.9
srb,2023,920.2
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,6642.4
tur,2009,6533.7
tur,2010,7921.4
tur,2011,7567.6
tur,2012,8559.2
tur,2013,9085.4
tur,2014,8849
tur,2015,9704.4
tur,2016,9787.4
tur,2017,8721.4
tur,2018,7192.6
tur,2019,7885.5
tur,2020,7231.2
tur,2021,6813.3
tur,2022,7577.2
tur,2023,11301.3
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
