country,year,brutto_fast
jpn,2003,4907723.94
jpn,2004,5026116.01
jpn,2005,5109644.64
jpn,2006,5371453.96
jpn,2007,5456215.18
jpn,2008,5278626.07
jpn,2009,5069879.87
jpn,2010,5223800.71
jpn,2011,5173501.25
jpn,2012,5224737
jpn,2013,5318894.74
jpn,2014,5316477.23
jpn,2015,5441905.52
jpn,2016,5485028.46
jpn,2017,5577432.44
jpn,2018,5608515.05
jpn,2019,5594635.81
jpn,2020,5358320.69
jpn,2021,5492782.94
jpn,2022,
jpn,2023,
jpn,2024,
korea,2000,1156881.13
korea,2001,1211945.67
korea,2002,1301003.86
korea,2003,1348656.36
korea,2004,1418730.84
korea,2005,1471769.55
korea,2006,1555531.97
korea,2007,1641824.99
korea,2008,1693508.16
korea,2009,1702483.8
korea,2010,1821411.27
korea,2011,1887586
korea,2012,1933938.86
korea,2013,1993708.22
korea,2014,2055661.9
korea,2015,2112736.11
korea,2016,2174784.21
korea,2017,2245577.61
korea,2018,2310290.48
korea,2019,2360329.89
korea,2020,2344755.44
korea,2021,2444983.06
korea,2022,2509101.03
korea,2023,
korea,2024,
lva,2000,35077.42
lva,2001,37295.54
lva,2002,39939.1
lva,2003,43303.11
lva,2004,46890.41
lva,2005,51917.23
lva,2006,58132.68
lva,2007,63912.18
lva,2008,61835.6
lva,2009,53017.75
lva,2010,50655.51
lva,2011,51959.24
lva,2012,55618.34
lva,2013,56735.13
lva,2014,57814.33
lva,2015,60060.57
lva,2016,61483.18
lva,2017,63519.79
lva,2018,66054.56
lva,2019,66442.63
lva,2020,64107.97
lva,2021,68423.55
lva,2022,70445.28
lva,2023,70246.25
lva,2024,
ltu,2000,53655.17
ltu,2001,57156.77
ltu,2002,61015.66
ltu,2003,67462.55
ltu,2004,71894.5
ltu,2005,77453.64
ltu,2006,83196.15
ltu,2007,92437.15
ltu,2008,94853.84
ltu,2009,80778.85
ltu,2010,82112.7
ltu,2011,87071.5
ltu,2012,90418.41
ltu,2013,93628.33
ltu,2014,96939.97
ltu,2015,98902.6
ltu,2016,101393.79
ltu,2017,105736.08
ltu,2018,109958.45
ltu,2019,115088.75
ltu,2020,115060.43
ltu,2021,122291.64
ltu,2022,125275.77
ltu,2023,124854.74
ltu,2024,
lux,2000,47122.1
lux,2001,48570.8
lux,2002,50137.41
lux,2003,51450.7
lux,2004,53628.03
lux,2005,54959.55
lux,2006,58266.31
lux,2007,62985.1
lux,2008,62796.04
lux,2009,60762.1
lux,2010,63047.01
lux,2011,63705.41
lux,2012,64756.49
lux,2013,66810.42
lux,2014,68562.92
lux,2015,70119.15
lux,2016,73609.82
lux,2017,74579.39
lux,2018,75488.76
lux,2019,77689.9
lux,2020,76983.05
lux,2021,82501.5
lux,2022,83640.18
lux,2023,82723.71
lux,2024,
mex,2000,1983241.4
mex,2001,1974300.07
mex,2002,1969629.12
mex,2003,1992979.93
mex,2004,2064038.5
mex,2005,2107656.76
mex,2006,2208929.9
mex,2007,2254828.46
mex,2008,2276099.02
mex,2009,2132812.87
mex,2010,2238842.13
mex,2011,2315948.85
mex,2012,2398239.39
mex,2013,2418674.82
mex,2014,2479232.74
mex,2015,2546229.62
mex,2016,2591361.36
mex,2017,2639864.62
mex,2018,2691924.9
mex,2019,2685159.13
mex,2020,2453576.08
mex,2021,2594391.94
mex,2022,2696844.46
mex,2023,
mex,2024,
nld,2000,849751.4
nld,2001,869524.73
nld,2002,871413.98
nld,2003,872770.31
nld,2004,890094.32
nld,2005,908349.04
nld,2006,939786.91
nld,2007,975243.59
nld,2008,996409.54
nld,2009,959872.35
nld,2010,972760.95
nld,2011,987850.31
nld,2012,977671.96
nld,2013,976399.26
nld,2014,990297.29
nld,2015,1009698.89
nld,2016,1031828.6
nld,2017,1061864.13
nld,2018,1086933.84
nld,2019,1108189.79
nld,2020,1065124.6
nld,2021,1131075.59
nld,2022,1180038.93
nld,2023,1181407.89
nld,2024,
nzl,2000,136095.67
nzl,2001,140737.36
nzl,2002,147373.67
nzl,2003,154338.51
nzl,2004,160649.45
nzl,2005,166039.53
nzl,2006,170651.63
nzl,2007,175858.31
nzl,2008,173677.56
nzl,2009,173587.33
nzl,2010,176094.14
nzl,2011,180042.75
nzl,2012,184163.89
nzl,2013,189246.33
nzl,2014,196352.09
nzl,2015,203684.74
nzl,2016,211317.88
nzl,2017,218498.5
nzl,2018,226144.07
nzl,2019,231485.5
nzl,2020,230500.5
nzl,2021,240981.1
nzl,2022,247060.14
nzl,2023,
nzl,2024,
nor,2000,271605.09
nor,2001,277219.52
nor,2002,281038.38
nor,2003,283693.94
nor,2004,295083.08
nor,2005,303006.43
nor,2006,310464.84
nor,2007,319511.91
nor,2008,321051.71
nor,2009,314822.13
nor,2010,317299.94
nor,2011,320808.19
nor,2012,329527.63
nor,2013,332876.26
nor,2014,339694
nor,2015,346003.27
nor,2016,350033.25
nor,2017,358657.19
nor,2018,361630.1
nor,2019,365694.02
nor,2020,361019.82
nor,2021,375130.95
nor,2022,386406.02
nor,2023,388421.41
nor,2024,
pol,2000,690736.36
pol,2001,699429.76
pol,2002,713669.19
pol,2003,738636.13
pol,2004,775441.23
pol,2005,802634.66
pol,2006,851845.28
pol,2007,911998.64
pol,2008,950302.41
pol,2009,977216.73
pol,2010,1005894.5
pol,2011,1056613.6
pol,2012,1072940.61
pol,2013,1082130.97
pol,2014,1123651.87
pol,2015,1172904.89
pol,2016,1207546.74
pol,2017,1269614.85
pol,2018,1345096.12
pol,2019,1404952.72
pol,2020,1376571.68
pol,2021,1472036.66
pol,2022,1555023.71
pol,2023,1557520.87
pol,2024,
prt,2000,350371.92
prt,2001,357182.01
prt,2002,359935.61
prt,2003,356586.33
prt,2004,362964.72
prt,2005,365802.55
prt,2006,371746.97
prt,2007,381065.1
prt,2008,382281.64
prt,2009,370346.5
prt,2010,376781.74
prt,2011,370390.9
prt,2012,355363.05
prt,2013,352084.32
prt,2014,354873.49
prt,2015,361232.99
prt,2016,368528.04
prt,2017,381449.91
prt,2018,392318.66
prt,2019,402843.62
prt,2020,369405.52
prt,2021,390599.93
prt,2022,417268.19
prt,2023,426691.85
prt,2024,
svk,2000,95435.12
svk,2001,98540.37
svk,2002,102983.99
svk,2003,108647.17
svk,2004,114382.52
svk,2005,121958.6
svk,2006,132316.76
svk,2007,146649.35
svk,2008,154824.89
svk,2009,146378.36
svk,2010,156210.06
svk,2011,160383.14
svk,2012,162498.28
svk,2013,163526.47
svk,2014,167937.09
svk,2015,176614.7
svk,2016,180048
svk,2017,185337.94
svk,2018,192807.78
svk,2019,197649.68
svk,2020,191068.49
svk,2021,200184.79
svk,2022,203928.32
svk,2023,207183.94
svk,2024,
svn,2000,59135.44
svn,2001,61037.57
svn,2002,63177.3
svn,2003,65047.51
svn,2004,67883.06
svn,2005,70461.23
svn,2006,74510.22
svn,2007,79711.15
svn,2008,82508.89
svn,2009,76280.75
svn,2010,77305.77
svn,2011,77971.63
svn,2012,75913.62
svn,2013,75132.25
svn,2014,77212.03
svn,2015,78918.48
svn,2016,81437.44
svn,2017,85358.96
svn,2018,89161.17
svn,2019,92302.03
svn,2020,88387.61
svn,2021,95660.58
svn,2022,98014.58
svn,2023,99569.97
svn,2024,
esp,2000,1524051.42
esp,2001,1583992.39
esp,2002,1627250.43
esp,2003,1675773.99
esp,2004,1728103.96
esp,2005,1791215.76
esp,2006,1864703.7
esp,2007,1931921.41
esp,2008,1949058.85
esp,2009,1875713.67
esp,2010,1878769.57
esp,2011,1863469.17
esp,2012,1808330.56
esp,2013,1782953.49
esp,2014,1807839.53
esp,2015,1877233.79
esp,2016,1934259.9
esp,2017,1991818.84
esp,2018,2037321.37
esp,2019,2077741.13
esp,2020,1845713.58
esp,2021,1963897.83
esp,2022,2077227.45
esp,2023,2129226.56
esp,2024,
swe,2000,409790.91
swe,2001,415300.27
swe,2002,424107.38
swe,2003,433274.56
swe,2004,451697.64
swe,2005,464250.81
swe,2006,485951.94
swe,2007,502185.13
swe,2008,499311.34
swe,2009,477642.3
swe,2010,505657.87
swe,2011,521665.96
swe,2012,518863.63
swe,2013,524588.65
swe,2014,538064.85
swe,2015,561492.93
swe,2016,572406.46
swe,2017,586580.51
swe,2018,596741.52
swe,2019,609344.01
swe,2020,597293.43
swe,2021,633054.26
swe,2022,651353.25
swe,2023,647794.72
swe,2024,
che,2000,456975.26
che,2001,464175.64
che,2002,463835.79
che,2003,463685.51
che,2004,476212.94
che,2005,489307.37
che,2006,509239.93
che,2007,529183.68
che,2008,544043.06
che,2009,531544.38
che,2010,548784.49
che,2011,558734.55
che,2012,565323.43
che,2013,575454.82
che,2014,588977.32
che,2015,598663.82
che,2016,611048.32
che,2017,619375.68
che,2018,637092.61
che,2019,644368.08
che,2020,630567.39
che,2021,665624.54
che,2022,685886.56
che,2023,686516.1
che,2024,
tur,2000,974460.37
tur,2001,918428.82
tur,2002,977646.55
tur,2003,1033990.3
tur,2004,1135279.3
tur,2005,1237367.04
tur,2006,1323339.24
tur,2007,1390081.92
tur,2008,1401411.44
tur,2009,1333819.21
tur,2010,1446221.59
tur,2011,1608199.97
tur,2012,1685208.6
tur,2013,1828212.24
tur,2014,1918520.68
tur,2015,2035252.88
tur,2016,2102886.05
tur,2017,2260644.49
tur,2018,2328761.59
tur,2019,2347822.83
tur,2020,2391489.35
tur,2021,2665061.26
tur,2022,2812530.52
tur,2023,2939569.28
tur,2024,
gbr,2000,2607839.49
gbr,2001,2675088.91
gbr,2002,2723026.12
gbr,2003,2808708.1
gbr,2004,2876861.29
gbr,2005,2955654
gbr,2006,3026184.02
gbr,2007,3105480.1
gbr,2008,3098470.17
gbr,2009,2955477.09
gbr,2010,3021641.04
gbr,2011,3056241.88
gbr,2012,3102480.9
gbr,2013,3158087.35
gbr,2014,3259012.94
gbr,2015,3331371.47
gbr,2016,3395369.24
gbr,2017,3485518.64
gbr,2018,3534448.07
gbr,2019,3592469.96
gbr,2020,3220293.64
gbr,2021,3499651.03
gbr,2022,3651718.89
gbr,2023,3655517.3
gbr,2024,
usa,2000,14854596.64
usa,2001,14996538.03
usa,2002,15251546.3
usa,2003,15677919.32
usa,2004,16281169.92
usa,2005,16848332.55
usa,2006,17317481.08
usa,2007,17664499.06
usa,2008,17684563.49
usa,2009,17228920.53
usa,2010,17693273.34
usa,2011,17970068.08
usa,2012,18381423.24
usa,2013,18770710.54
usa,2014,19244449.47
usa,2015,19811304.53
usa,2016,20171761.66
usa,2017,20667507.27
usa,2018,21280609.89
usa,2019,21805610.64
usa,2020,21322950
usa,2021,22559725.13
usa,2022,22996367.69
usa,2023,23581096.31
usa,2024,
