country,year,foradl_lop_tillv
nor,2022,27712.2
nor,2023,27004.4
nor,2024,27663.2
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,74887.4
che,2009,71482.7
che,2010,80975.6
che,2011,93841.8
che,2012,94687.8
che,2013,94650.7
che,2014,96173.9
che,2015,107082.8
che,2016,107765.7
che,2017,107705.5
che,2018,108527.6
che,2019,115507
che,2020,115749.6
che,2021,132579.4
che,2022,142414.8
che,2023,147506
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,190478.2
gbr,2009,159405.8
gbr,2010,178357.3
gbr,2011,179753
gbr,2012,197016.8
gbr,2013,200058.9
gbr,2014,217019.8
gbr,2015,247354.8
gbr,2016,222090.8
gbr,2017,214998.8
gbr,2018,217189.8
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,1436.9
bih,2009,1328.5
bih,2010,1411.6
bih,2011,1464
bih,2012,1413.8
bih,2013,1497.5
bih,2014,1530.3
bih,2015,1644.4
bih,2016,1828.1
bih,2017,2043
bih,2018,2209.5
bih,2019,2283.4
bih,2020,2248.2
bih,2021,2799.3
bih,2022,3352
bih,2023,3388.7
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,159.3
mne,2009,135.7
mne,2010,141.6
mne,2011,162.3
mne,2012,129.7
mne,2013,135.9
mne,2014,134.2
mne,2015,149.4
mne,2016,147.7
mne,2017,165.4
mne,2018,185.8
mne,2019,184.1
mne,2020,172
mne,2021,190.9
mne,2022,231.5
mne,2023,221.2
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,661.8
mkd,2009,597.3
mkd,2010,701.3
mkd,2011,860.8
mkd,2012,776.6
mkd,2013,808
mkd,2014,937.7
mkd,2015,1066.9
mkd,2016,1186.7
mkd,2017,1265.1
mkd,2018,1434
mkd,2019,1508.5
mkd,2020,1443
mkd,2021,1595.7
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,491.2
alb,2009,501.9
alb,2010,543.4
alb,2011,577.6
alb,2012,512.6
alb,2013,554.1
alb,2014,591.9
alb,2015,648.9
alb,2016,683
alb,2017,767
alb,2018,873.2
alb,2019,969.7
alb,2020,945.9
alb,2021,1054.6
alb,2022,1355.9
alb,2023,1498.1
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,7051.7
srb,2009,5488.2
srb,2010,5550.1
srb,2011,6248.9
srb,2012,6101
srb,2013,7285.4
srb,2014,6744.2
srb,2015,6628.2
srb,2016,6775.1
srb,2017,7225.2
srb,2018,7559.9
