country,year,loner_lop_hotell
prt,2009,3875.5
prt,2010,3982.8
prt,2011,3952.1
prt,2012,3721.1
prt,2013,3537.5
prt,2014,3601.4
prt,2015,3811.9
prt,2016,4230.2
prt,2017,4721.2
prt,2018,5289.5
prt,2019,5613.9
prt,2020,4646.1
prt,2021,4949.1
prt,2022,6292.6
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,707.8
rou,2009,676.6
rou,2010,613.9
rou,2011,601.6
rou,2012,563.3
rou,2013,581.7
rou,2014,640.4
rou,2015,758.7
rou,2016,1022.9
rou,2017,1251.4
rou,2018,1376.6
rou,2019,1642.2
rou,2020,1228.3
rou,2021,1283.5
rou,2022,1642.3
rou,2023,1914.6
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,470.4
svn,2009,479.3
svn,2010,484.8
svn,2011,487.1
svn,2012,469.4
svn,2013,463.6
svn,2014,469.9
svn,2015,486.9
svn,2016,530.9
svn,2017,583.2
svn,2018,642.3
svn,2019,706.4
svn,2020,620.5
svn,2021,692.6
svn,2022,849.6
svn,2023,953.2
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,365.5
svk,2009,395.3
svk,2010,431.7
svk,2011,486.2
svk,2012,519.1
svk,2013,536.6
svk,2014,551.5
svk,2015,601.5
svk,2016,628.2
svk,2017,678
svk,2018,756.1
svk,2019,841.4
svk,2020,774
svk,2021,825.3
svk,2022,962.3
svk,2023,1073.8
svk,2024,1169.5
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,1834
fin,2009,1841
fin,2010,1832
fin,2011,1919
fin,2012,1995
fin,2013,2028
fin,2014,2066
fin,2015,2094
fin,2016,2172
fin,2017,2257
fin,2018,2417
fin,2019,2531
fin,2020,2078
fin,2021,2131
fin,2022,2635
fin,2023,2956
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,3162.9
swe,2009,2897.3
swe,2010,3471.8
swe,2011,4012.6
swe,2012,4535.3
swe,2013,4921.5
swe,2014,4978.2
swe,2015,5168.4
swe,2016,5476.2
swe,2017,5700.9
swe,2018,5579.1
swe,2019,5606.7
swe,2020,4920.5
swe,2021,5308.3
swe,2022,6094.7
swe,2023,6061
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,139
isl,2009,108.5
isl,2010,135.1
isl,2011,153
isl,2012,180.1
isl,2013,210.9
isl,2014,264
isl,2015,355.3
isl,2016,487.9
isl,2017,634.8
isl,2018,646.7
isl,2019,600.2
isl,2020,332.1
isl,2021,436
isl,2022,726
isl,2023,865.5
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,2469.6
nor,2009,2344
nor,2010,2677.8
nor,2011,2924.1
nor,2012,3183.4
nor,2013,3257.2
nor,2014,3240.9
nor,2015,3196.7
nor,2016,3213.6
nor,2017,3366
nor,2018,3488.1
nor,2019,3657.1
nor,2020,2704.4
nor,2021,3039.3
nor,2022,4068.2
nor,2023,3942.5
nor,2024,4125.7
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,
che,2009,
che,2010,
che,2011,7864.1
che,2012,8264.2
che,2013,8254.2
che,2014,8482.6
che,2015,9780.9
che,2016,9735.7
che,2017,9640.6
che,2018,9476
che,2019,10265.1
che,2020,8370.4
che,2021,8299.6
che,2022,11803.8
che,2023,
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,30964
gbr,2009,26259.9
gbr,2010,29032.2
gbr,2011,31013.5
gbr,2012,34816.9
gbr,2013,35572.1
gbr,2014,39246
gbr,2015,45380.5
gbr,2016,42923.6
gbr,2017,42960.3
gbr,2018,45221.6
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,146.1
bih,2009,143.9
bih,2010,151.5
bih,2011,148.7
bih,2012,149.6
bih,2013,149.5
bih,2014,150
bih,2015,155.8
bih,2016,163.9
bih,2017,178.5
bih,2018,185.9
bih,2019,198.3
