country,year,foradl_lop_avlopp
prt,2012,999.8
prt,2013,982.6
prt,2014,958.3
prt,2015,942.2
prt,2016,926.8
prt,2017,901.8
prt,2018,939.6
prt,2019,961.1
prt,2020,1039.4
prt,2021,1150.1
prt,2022,1129.7
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,557
rou,2009,562.8
rou,2010,1507
rou,2011,1722.1
rou,2012,805.4
rou,2013,866.9
rou,2014,780.4
rou,2015,866.1
rou,2016,895.2
rou,2017,878.1
rou,2018,1090.1
rou,2019,1246.3
rou,2020,1354.7
rou,2021,1687.1
rou,2022,1725.5
rou,2023,2211.9
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,176.6
svn,2009,157.8
svn,2010,178.5
svn,2011,191.5
svn,2012,185.8
svn,2013,191.8
svn,2014,190.4
svn,2015,194
svn,2016,190.4
svn,2017,192.2
svn,2018,199.2
svn,2019,207.3
svn,2020,234.1
svn,2021,284.1
svn,2022,281.7
svn,2023,283.2
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,393.3
svk,2009,342.9
svk,2010,347.3
svk,2011,332.4
svk,2012,369.5
svk,2013,496.7
svk,2014,362.8
svk,2015,406.6
svk,2016,368.3
svk,2017,390
svk,2018,439.5
svk,2019,462.5
svk,2020,467.8
svk,2021,521.8
svk,2022,562.4
svk,2023,576.6
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,920
fin,2009,960
fin,2010,1126
fin,2011,1135
fin,2012,1159
fin,2013,1235
fin,2014,1285
fin,2015,1312
fin,2016,1316
fin,2017,1317
fin,2018,1340
fin,2019,1315
fin,2020,1340
fin,2021,1527
fin,2022,1554
fin,2023,1467
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,1584
swe,2009,1340.2
swe,2010,1520
swe,2011,1641.8
swe,2012,1846.9
swe,2013,1962
swe,2014,1798.3
swe,2015,2098.8
swe,2016,1980.9
swe,2017,1990.6
swe,2018,1994.3
swe,2019,1983.5
swe,2020,2096.7
swe,2021,2469.7
swe,2022,2740.1
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,62.3
isl,2009,52.5
isl,2010,59.2
isl,2011,66.8
isl,2012,72.9
isl,2013,85.2
isl,2014,82.3
isl,2015,86.5
isl,2016,106.6
isl,2017,117
isl,2018,122.2
isl,2019,112.4
isl,2020,109.6
isl,2021,128.8
isl,2022,151.4
isl,2023,171.3
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,1190.9
nor,2009,1105
nor,2010,1356
nor,2011,1478
nor,2012,1636.1
nor,2013,1555.6
nor,2014,1529.3
nor,2015,1554
nor,2016,1512.7
nor,2017,1716.3
nor,2018,1688.1
nor,2019,1737.9
nor,2020,1700.1
nor,2021,2054.5
nor,2022,2281.6
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,1570.6
che,2009,1387.4
che,2010,1578.1
che,2011,1793.4
che,2012,1513.3
che,2013,1532.5
che,2014,1663.3
che,2015,1831.8
che,2016,1839.2
che,2017,1825.1
