country,year,foradl_lop_offent_forsvar
aut,2008,13925.4
aut,2009,14496.7
aut,2010,14685.3
aut,2011,14837.5
aut,2012,15196.3
aut,2013,15274
aut,2014,15538.2
aut,2015,16010.6
aut,2016,16437.4
aut,2017,16847.2
aut,2018,17377.5
aut,2019,17875.3
aut,2020,18402.3
aut,2021,19053.8
aut,2022,19822.7
aut,2023,21316.4
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,19418.3
pol,2009,17267.5
pol,2010,19481.8
pol,2011,19386
pol,2012,19769.6
pol,2013,20349.7
pol,2014,20779.8
pol,2015,21338.9
pol,2016,21288
pol,2017,22897.8
pol,2018,23855.4
pol,2019,25819.5
pol,2020,26901.6
pol,2021,27940.9
pol,2022,30834.8
pol,2023,36817.5
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,13060.2
prt,2009,13703.4
prt,2010,13145.7
prt,2011,12474.1
prt,2012,11145.1
prt,2013,12003.2
prt,2014,11392.8
prt,2015,11608.5
prt,2016,11758.4
prt,2017,11987.4
prt,2018,12278.5
prt,2019,12762.6
prt,2020,12907.9
prt,2021,13462.9
prt,2022,14102.6
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,5684
rou,2009,4439.6
rou,2010,5068.7
rou,2011,5185.5
rou,2012,5593.3
rou,2013,6201.2
rou,2014,5666.4
rou,2015,6374.5
rou,2016,8065.7
rou,2017,9487.3
rou,2018,11097
rou,2019,12016
rou,2020,12548.2
rou,2021,13038.9
rou,2022,14046.2
rou,2023,16081.8
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,1928.2
svn,2009,2024.2
svn,2010,2083.5
svn,2011,2083.3
svn,2012,2041.2
svn,2013,1954.8
svn,2014,1934.4
svn,2015,1950.3
svn,2016,2087.9
svn,2017,2184.4
svn,2018,2286
svn,2019,2456.2
svn,2020,2620.6
svn,2021,2858.7
svn,2022,3026.8
svn,2023,3266.9
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,3967.8
svk,2009,4649.2
svk,2010,4840.4
svk,2011,4541.3
svk,2012,4703.5
svk,2013,4851.1
svk,2014,4357.8
svk,2015,4342
svk,2016,5174.1
svk,2017,5401.9
svk,2018,5840
svk,2019,6470.4
svk,2020,6912.6
svk,2021,7201
svk,2022,7499.9
svk,2023,8100.2
svk,2024,8553.6
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,9888
fin,2009,10075
fin,2010,10258
fin,2011,10599
fin,2012,10897
fin,2013,11118
fin,2014,11128
fin,2015,10354
fin,2016,10199
fin,2017,10019
fin,2018,10319
fin,2019,10529
fin,2020,10635
fin,2021,11161
fin,2022,11742
fin,2023,12301
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,13374.7
swe,2009,12307.9
swe,2010,14248.2
swe,2011,15263.4
swe,2012,16636.8
swe,2013,17225.6
swe,2014,16965.1
swe,2015,16884.8
swe,2016,17315.8
swe,2017,17877.3
swe,2018,17693
swe,2019,17677
swe,2020,18372.6
swe,2021,20199.5
swe,2022,20630
swe,2023,20594.7
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,547.4
isl,2009,459.4
