country,year,loner_lop_offent_forsvar
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,6069.7
rou,2009,5276.4
rou,2010,4632
rou,2011,4338.8
rou,2012,4411.8
rou,2013,4950.4
rou,2014,4923.7
rou,2015,5231
rou,2016,6734.6
rou,2017,7986.5
rou,2018,9399.5
rou,2019,10149
rou,2020,11074.5
rou,2021,10977.4
rou,2022,11643.3
rou,2023,13345.5
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,1471.8
svn,2009,1553.6
svn,2010,1571.8
svn,2011,1554.9
svn,2012,1485.2
svn,2013,1386.2
svn,2014,1351.3
svn,2015,1348.1
svn,2016,1453.4
svn,2017,1522.6
svn,2018,1590.3
svn,2019,1727.5
svn,2020,1853.9
svn,2021,2000.8
svn,2022,1977.4
svn,2023,2152
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,2559
svk,2009,2906.7
svk,2010,3066.9
svk,2011,2924
svk,2012,2950
svk,2013,3019.3
svk,2014,3148.4
svk,2015,3267.5
svk,2016,3603.7
svk,2017,3782.2
svk,2018,4122.3
svk,2019,4641.5
svk,2020,5085.9
svk,2021,5364.2
svk,2022,5476
svk,2023,6052.4
svk,2024,6608.5
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,7086
fin,2009,7269
fin,2010,7401
fin,2011,7588
fin,2012,7735
fin,2013,7869
fin,2014,7830
fin,2015,7008
fin,2016,6857
fin,2017,6575
fin,2018,6751
fin,2019,6842
fin,2020,6920
fin,2021,7233
fin,2022,7510
fin,2023,7841
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,8194.8
swe,2009,7485.3
swe,2010,8746.4
swe,2011,9411.1
swe,2012,10333.2
swe,2013,10775.2
swe,2014,10637.6
swe,2015,10513.6
swe,2016,10853.3
swe,2017,11282.1
swe,2018,11257.4
swe,2019,11232.5
swe,2020,11750.5
swe,2021,12901.9
swe,2022,12878.2
swe,2023,12809.3
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,437.8
isl,2009,357.3
isl,2010,379.5
isl,2011,439.1
isl,2012,476.2
isl,2013,476.9
isl,2014,520.6
isl,2015,610.3
isl,2016,698.2
isl,2017,846.5
isl,2018,889.5
isl,2019,886.9
isl,2020,866.9
isl,2021,955.4
isl,2022,1101.3
isl,2023,1135.4
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,10322.4
nor,2009,10481.8
nor,2010,12118.7
nor,2011,13155
nor,2012,14531.2
nor,2013,14530.5
nor,2014,14474.2
nor,2015,14109.8
nor,2016,14088.1
nor,2017,14635.4
nor,2018,14902.7
nor,2019,15119.5
nor,2020,14355.3
nor,2021,15896.5
nor,2022,16868.9
nor,2023,16156.3
nor,2024,16851.4
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,
che,2009,
che,2010,
che,2011,37260.3
che,2012,39017.1
che,2013,38898.3
che,2014,40103.8
che,2015,46401.5
che,2016,46011.1
che,2017,45820.9
che,2018,44715.3
che,2019,47352.7
che,2020,50531
che,2021,51343.5
che,2022,56319.6
che,2023,60424.7
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,71521.3
gbr,2009,67455.7
gbr,2010,71218.4
gbr,2011,68779.1
gbr,2012,73038.8
gbr,2013,68498.5
gbr,2014,70740.1
gbr,2015,80028.7
gbr,2016,74397.2
gbr,2017,72203.9
gbr,2018,74627.8
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,1007
bih,2009,1108.1
bih,2010,1066.2
bih,2011,1117.5
bih,2012,1108.5
bih,2013,1108.2
bih,2014,1137.8
bih,2015,1155.8
bih,2016,1141.5
bih,2017,1141.9
bih,2018,1167.5
bih,2019,1224.2
bih,2020,1284.3
bih,2021,1321.1
bih,2022,1490.3
bih,2023,1661.2
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
