country,year,loner_lop_annan_pers
aut,2021,978.1
aut,2022,1108
aut,2023,1204.4
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,533.9
pol,2009,357.9
pol,2010,487.6
pol,2011,485.4
pol,2012,732.9
pol,2013,770.5
pol,2014,792.2
pol,2015,575.5
pol,2016,967.6
pol,2017,699.1
pol,2018,860
pol,2019,977.1
pol,2020,987.2
pol,2021,983.1
pol,2022,1151.9
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,296.8
prt,2009,306.8
prt,2010,311
prt,2011,312.2
prt,2012,282.5
prt,2013,279.8
prt,2014,283.3
prt,2015,287.7
prt,2016,320.4
prt,2017,342.8
prt,2018,363.7
prt,2019,378.9
prt,2020,363.7
prt,2021,374
prt,2022,422.1
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,458.3
rou,2009,68.4
rou,2010,120.4
rou,2011,173.4
rou,2012,128.9
rou,2013,203.4
rou,2014,252.9
rou,2015,375.7
rou,2016,372.8
rou,2017,433.5
rou,2018,473.1
rou,2019,539.5
rou,2020,362.2
rou,2021,349.6
rou,2022,409.2
rou,2023,456.2
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,67.5
svn,2009,68.7
svn,2010,71.2
svn,2011,71.2
svn,2012,69
svn,2013,69.1
svn,2014,70.8
svn,2015,73.5
svn,2016,79.6
svn,2017,85.4
svn,2018,91
svn,2019,98.9
svn,2020,89.4
svn,2021,91.4
svn,2022,102.2
svn,2023,116.5
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,60
svk,2009,77.3
svk,2010,71.8
svk,2011,68.1
svk,2012,72.1
svk,2013,88.5
svk,2014,75.6
svk,2015,83.8
svk,2016,87.9
svk,2017,96.1
svk,2018,108.7
svk,2019,110.5
svk,2020,100.6
svk,2021,105.7
svk,2022,126.5
svk,2023,145
svk,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,245
fin,2009,255
fin,2010,258
fin,2011,267
fin,2012,271
fin,2013,284
fin,2014,280
fin,2015,289
fin,2016,293
fin,2017,296
fin,2018,300
fin,2019,312
fin,2020,288
fin,2021,324
fin,2022,373
fin,2023,409
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,689.8
swe,2009,669.3
swe,2010,802.8
swe,2011,958.8
swe,2012,1077.9
swe,2013,1174.5
swe,2014,1219.9
swe,2015,1227.2
swe,2016,1268.9
swe,2017,1296
swe,2018,1292.2
swe,2019,1306.6
swe,2020,1329.1
swe,2021,1560.1
swe,2022,1605.7
swe,2023,
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,21.3
isl,2009,15.4
isl,2010,17.9
isl,2011,19.2
isl,2012,20.1
isl,2013,21.2
isl,2014,24.1
isl,2015,27.5
isl,2016,33.5
isl,2017,41
isl,2018,49.1
isl,2019,52
isl,2020,56.1
isl,2021,72.1
isl,2022,114.2
isl,2023,128.3
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,503.7
nor,2009,496.1
nor,2010,573.2
nor,2011,621.6
nor,2012,688.8
nor,2013,696.5
nor,2014,676.1
nor,2015,665.6
nor,2016,671.4
nor,2017,702.7
nor,2018,707.8
nor,2019,709.3
nor,2020,629.8
nor,2021,730.4
nor,2022,820.6
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,
che,2009,
che,2010,
che,2011,1006
che,2012,1052.3
che,2013,1055.4
che,2014,1108
che,2015,1290
che,2016,1289.9
che,2017,1279.6
che,2018,1264.8
che,2019,1352.1
