country,year,foradl_fast_halso_soc
nld,2009,58482
nld,2010,60459.6
nld,2011,62887.1
nld,2012,62331.1
nld,2013,62323.1
nld,2014,63432.8
nld,2015,63557.4
nld,2016,64550
nld,2017,65255.1
nld,2018,66205.6
nld,2019,67717.6
nld,2020,63390
nld,2021,68648
nld,2022,72131.1
nld,2023,74634.3
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,27019.2
aut,2009,27995.7
aut,2010,28165.9
aut,2011,28452.1
aut,2012,28573.1
aut,2013,28757.9
aut,2014,28844.3
aut,2015,28932.2
aut,2016,29216.4
aut,2017,29775.7
aut,2018,29843.3
aut,2019,30324
aut,2020,27508.5
aut,2021,29476.3
aut,2022,30154.8
aut,2023,30643.2
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,12761.2
pol,2009,13396.4
pol,2010,14944.2
pol,2011,16334.5
pol,2012,14963.1
pol,2013,16997.7
pol,2014,18663.5
pol,2015,17790.7
pol,2016,18330.9
pol,2017,19392.8
pol,2018,21904.8
pol,2019,21532.1
pol,2020,22083.1
pol,2021,27183.4
pol,2022,26548.3
pol,2023,27212
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,11359.4
prt,2009,11412.9
prt,2010,11737.4
prt,2011,11333
prt,2012,11220.7
prt,2013,11172.4
prt,2014,11033.9
prt,2015,11362.2
prt,2016,11623
prt,2017,12033.8
prt,2018,12429.4
prt,2019,12853.7
prt,2020,12168.7
prt,2021,13263.1
prt,2022,14144.1
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,10991
rou,2009,8846.9
rou,2010,13251.2
rou,2011,10280.2
rou,2012,10994.5
rou,2013,9402.2
rou,2014,13673.2
rou,2015,9981.1
rou,2016,7221.1
rou,2017,9645.1
rou,2018,10286.6
rou,2019,11000.4
rou,2020,11069.3
rou,2021,11530.8
rou,2022,12006.3
rou,2023,12124.9
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,2076.6
svn,2009,2069.5
svn,2010,2107.4
svn,2011,2127.8
svn,2012,2185.6
svn,2013,2166.1
svn,2014,2186.3
svn,2015,2226
svn,2016,2319.3
svn,2017,2379.4
svn,2018,2455.9
svn,2019,2513.9
svn,2020,2580.8
svn,2021,2773.9
svn,2022,2836.5
svn,2023,2881.5
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,2683.3
svk,2009,2503.8
svk,2010,2537.2
svk,2011,2444.2
svk,2012,2579.3
svk,2013,2616.2
svk,2014,2708.3
svk,2015,3011.9
svk,2016,3253.5
svk,2017,3389.2
svk,2018,3331.6
svk,2019,3403.5
svk,2020,3678.8
svk,2021,4402.9
svk,2022,4697.3
svk,2023,5137.1
svk,2024,5428.3
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,21152.5
fin,2009,21099.9
fin,2010,20811
fin,2011,21093.1
fin,2012,21075.9
fin,2013,20849.8
fin,2014,20475.2
fin,2015,21227.8
