country,year,foradl_fast_jur_veten
rou,2016,8454.3
rou,2017,9601.9
rou,2018,9720.6
rou,2019,10614.9
rou,2020,10877.5
rou,2021,10683.2
rou,2022,13384.2
rou,2023,14052.2
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,2194.6
svn,2009,2119.8
svn,2010,2220.9
svn,2011,2264.4
svn,2012,2224.8
svn,2013,2313.8
svn,2014,2473.4
svn,2015,2560
svn,2016,2591.5
svn,2017,2749.4
svn,2018,2908.3
svn,2019,2948.8
svn,2020,2837.1
svn,2021,3069.3
svn,2022,3339.2
svn,2023,3385
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,3312.9
svk,2009,3304.3
svk,2010,3667.9
svk,2011,3708.4
svk,2012,3975.6
svk,2013,3965.2
svk,2014,4549.9
svk,2015,4969.8
svk,2016,5629
svk,2017,5654.5
svk,2018,5763.5
svk,2019,4752.9
svk,2020,4808.7
svk,2021,6386.5
svk,2022,6246.8
svk,2023,6755.6
svk,2024,7122.1
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,9652.6
fin,2009,9106.9
fin,2010,9184.7
fin,2011,9673.9
fin,2012,9777.3
fin,2013,9737.9
fin,2014,9559.9
fin,2015,9767.7
fin,2016,9753.9
fin,2017,10215.4
fin,2018,10718.5
fin,2019,10930.6
fin,2020,11018
fin,2021,11657.5
fin,2022,12025.3
fin,2023,12201.1
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,22587.5
swe,2009,21438.1
swe,2010,23538.4
swe,2011,24614.9
swe,2012,25233.5
swe,2013,26798.4
swe,2014,27849.1
swe,2015,28872.7
swe,2016,30160.1
swe,2017,31794.7
swe,2018,33024.3
swe,2019,34139.6
swe,2020,34597.5
swe,2021,35478
swe,2022,38443.6
swe,2023,39871.7
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,698.5
isl,2009,617.8
isl,2010,631.4
isl,2011,620
isl,2012,632.8
isl,2013,655.5
isl,2014,665.3
isl,2015,690.7
isl,2016,726.8
isl,2017,735.9
isl,2018,771.2
isl,2019,792.6
isl,2020,741.5
isl,2021,755.1
isl,2022,779.1
isl,2023,785.7
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
