country,year,foradl_fast_vatten
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,780.6
svn,2009,720.7
svn,2010,699.5
svn,2011,756.2
svn,2012,743.1
svn,2013,741.3
svn,2014,689.1
svn,2015,650.7
svn,2016,593.2
svn,2017,531.4
svn,2018,586.5
svn,2019,484.1
svn,2020,408
svn,2021,475.9
svn,2022,582.6
svn,2023,568.6
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,1432.2
svk,2009,1235.8
svk,2010,1190.3
svk,2011,1126.5
svk,2012,1149
svk,2013,1286.1
svk,2014,1037.6
svk,2015,1088.2
svk,2016,998.4
svk,2017,1108
svk,2018,1043.8
svk,2019,973
svk,2020,845.2
svk,2021,738.7
svk,2022,764.2
svk,2023,738.1
svk,2024,647.8
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,1764.3
fin,2009,1697.5
fin,2010,1843.5
fin,2011,1751.9
fin,2012,1734.5
fin,2013,1741.7
fin,2014,1777.6
fin,2015,1769.4
fin,2016,1820.8
fin,2017,1833.2
fin,2018,1878.4
fin,2019,1823.9
fin,2020,1827
fin,2021,1999.7
fin,2022,1974
fin,2023,1613.1
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,2674.6
swe,2009,2936.5
swe,2010,2248.3
swe,2011,2117.4
swe,2012,2389.7
swe,2013,2787.2
swe,2014,2637
swe,2015,3171.9
swe,2016,2999.5
swe,2017,2270.8
swe,2018,2328.4
swe,2019,2528.6
swe,2020,2597.9
swe,2021,2079.2
swe,2022,2245.4
swe,2023,2509.7
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,84.1
isl,2009,91.4
isl,2010,84.3
isl,2011,88.6
isl,2012,99
isl,2013,104.5
isl,2014,103.6
isl,2015,108.7
isl,2016,112.3
isl,2017,133.9
isl,2018,134
isl,2019,134.4
isl,2020,137.5
isl,2021,140.5
isl,2022,133.5
isl,2023,147.3
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,
lie,2017,
lie,2018,
lie,2019,
lie,2020,
lie,2021,
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,1974.5
nor,2009,1881.6
nor,2010,1874
nor,2011,1829.5
nor,2012,1906.7
nor,2013,1890.5
nor,2014,1965.6
nor,2015,2010.5
nor,2016,2016.8
nor,2017,2143
nor,2018,2063.6
nor,2019,2136.7
nor,2020,2234.1
nor,2021,2555.9
nor,2022,2875.5
nor,2023,2981.5
nor,2024,3086.5
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,1155.9
che,2009,1685.4
che,2010,1320.1
che,2011,1306.2
che,2012,1236.1
che,2013,1364.1
che,2014,1470.6
che,2015,1750.9
che,2016,1779.1
che,2017,1540.5
che,2018,1621.8
che,2019,1653.8
che,2020,1737.2
che,2021,1648.2
che,2022,1649.9
che,2023,1809.7
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,
gbr,2009,
gbr,2010,
gbr,2011,
gbr,2012,
gbr,2013,
gbr,2014,
gbr,2015,
gbr,2016,
gbr,2017,
gbr,2018,
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,
bih,2009,
bih,2010,
bih,2011,
bih,2012,
bih,2013,
bih,2014,
bih,2015,
bih,2016,
bih,2017,
bih,2018,
bih,2019,
bih,2020,
bih,2021,
bih,2022,
bih,2023,
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,94.6
mne,2009,77.6
mne,2010,77.5
mne,2011,84.2
mne,2012,84.2
mne,2013,79.2
mne,2014,82.7
mne,2015,82.6
mne,2016,78.6
mne,2017,79.9
mne,2018,80.6
mne,2019,84.7
mne,2020,77.4
mne,2021,79.9
mne,2022,84.5
mne,2023,85
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,62.3
mkd,2009,66.1
mkd,2010,80.1
mkd,2011,72
mkd,2012,71.7
mkd,2013,66.7
mkd,2014,77.2
mkd,2015,80
mkd,2016,85.1
mkd,2017,86.2
mkd,2018,96.6
mkd,2019,98.8
mkd,2020,100.8
mkd,2021,
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,53.2
alb,2009,58.1
alb,2010,69.7
alb,2011,68.1
alb,2012,65.2
alb,2013,69
alb,2014,73.1
alb,2015,74.3
alb,2016,75.8
alb,2017,93
alb,2018,89.9
alb,2019,131.1
alb,2020,116.3
alb,2021,133.2
alb,2022,
alb,2023,
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,577.2
srb,2009,576.6
srb,2010,590.9
srb,2011,599.2
srb,2012,545.6
srb,2013,577
srb,2014,577.5
srb,2015,533.2
srb,2016,482.1
srb,2017,506.1
srb,2018,526.3
srb,2019,552.1
srb,2020,532.6
srb,2021,542.2
srb,2022,473.4
srb,2023,460.6
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,2381.7
tur,2009,2343
tur,2010,2612
tur,2011,3049.5
tur,2012,3584.7
tur,2013,3898.9
tur,2014,4113.1
tur,2015,4225.7
tur,2016,4249.1
tur,2017,4469.7
tur,2018,4404.6
tur,2019,4532.8
tur,2020,4510.2
tur,2021,5449.8
tur,2022,5163.6
tur,2023,4724.6
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
