country,year,foradl_lop_jur_veten_admin
aut,2012,25797.9
aut,2013,26689.7
aut,2014,27646.6
aut,2015,28953.7
aut,2016,30511.5
aut,2017,32173
aut,2018,33709.5
aut,2019,35869.3
aut,2020,34179.3
aut,2021,36794.9
aut,2022,40373.6
aut,2023,42424.2
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,22940.4
pol,2009,20464
pol,2010,22192.9
pol,2011,22902
pol,2012,24726
pol,2013,26411.7
pol,2014,28150
pol,2015,31536.8
pol,2016,30518
pol,2017,35801
pol,2018,39100.6
pol,2019,42188.2
pol,2020,41743.6
pol,2021,44586.2
pol,2022,47712.6
pol,2023,56055.3
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,11120.7
prt,2009,11082.6
prt,2010,11353.8
prt,2011,10906.8
prt,2012,10173.6
prt,2013,10315.7
prt,2014,11073.1
prt,2015,11203.4
prt,2016,11947.2
prt,2017,13085
prt,2018,14405.1
prt,2019,15425.6
prt,2020,14787.1
prt,2021,16535.8
prt,2022,20097.7
prt,2023,22019.7
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,5877.5
rou,2009,5470.5
rou,2010,6126.7
rou,2011,7069.3
rou,2012,6941.4
rou,2013,9064.7
rou,2014,9362.9
rou,2015,11316.1
rou,2016,11533.8
rou,2017,14137.1
rou,2018,14863.7
rou,2019,17331.7
rou,2020,16162.1
rou,2021,17165.7
rou,2022,21759.6
rou,2023,27660
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,2976.6
svn,2009,2838.8
svn,2010,2956.5
svn,2011,2990.1
svn,2012,2928.6
svn,2013,2953.3
svn,2014,3165.9
svn,2015,3285.6
svn,2016,3390.1
svn,2017,3718.3
svn,2018,4013.2
svn,2019,4191
svn,2020,3898.4
svn,2021,4433.5
svn,2022,5073.5
svn,2023,5593.8
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,5156.7
svk,2009,5349.5
svk,2010,5780.3
svk,2011,5700.8
svk,2012,6096.3
svk,2013,6444
svk,2014,6910.3
svk,2015,7812.5
svk,2016,8069.6
svk,2017,8539.7
svk,2018,9051.7
svk,2019,7775.7
svk,2020,7441.6
svk,2021,8630.1
svk,2022,9400.9
svk,2023,10726
svk,2024,11370
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,12947
fin,2009,12557
fin,2010,13070
fin,2011,14044
fin,2012,14605
fin,2013,14799
fin,2014,14863
fin,2015,15091
fin,2016,15605
fin,2017,16779
fin,2018,18020
fin,2019,18998
fin,2020,18558
fin,2021,19533
fin,2022,20755
fin,2023,21218
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,31006.3
swe,2009,26529.3
swe,2010,32666.4
swe,2011,37120.5
swe,2012,39535
swe,2013,42020.1
swe,2014,41951.1
swe,2015,43738.7
swe,2016,46159.8
swe,2017,48614.3
swe,2018,48181.8
swe,2019,48276.1
swe,2020,48679.8
swe,2021,53056.4
swe,2022,56756.7
swe,2023,56445.4
swe,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,665.6
isl,2009,557.7
isl,2010,629.2
isl,2011,676.6
isl,2012,706.5
isl,2013,764.3
isl,2014,929.1
isl,2015,1170.8
isl,2016,1424.6
isl,2017,1636.2
isl,2018,1759.3
isl,2019,1675.1
isl,2020,1173.8
isl,2021,1552.5
isl,2022,2079.4
isl,2023,2232.7
isl,2024,
lie,2000,
lie,2001,
lie,2002,
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,907.9
lie,2017,897.6
lie,2018,846.5
lie,2019,890.1
lie,2020,942.6
lie,2021,1139
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,18581.8
nor,2009,17558.5
nor,2010,19674.9
nor,2011,21499.1
nor,2012,24977.7
nor,2013,25439.7
nor,2014,24743.4
nor,2015,22540.9
nor,2016,21436.8
nor,2017,22592.8
nor,2018,24230.5
nor,2019,25776.4
nor,2020,23461.8
nor,2021,25894
nor,2022,29889.1
nor,2023,28611
nor,2024,29859.7
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,33249.2
che,2009,36460
che,2010,41190.5
che,2011,47576.1
che,2012,50488.5
che,2013,51590.1
che,2014,55000.7
che,2015,63650
che,2016,61978.4
che,2017,61555.8
che,2018,63679.7
che,2019,66654.1
che,2020,69638.4
che,2021,74604.3
che,2022,85155.7
che,2023,90694.7
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,196528.9
gbr,2009,174440.5
gbr,2010,191166.2
gbr,2011,193791.8
gbr,2012,215891.6
gbr,2013,224495.4
gbr,2014,251602.7
gbr,2015,298729.7
gbr,2016,275024.4
gbr,2017,271067.8
gbr,2018,279778.7
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,416
bih,2009,419.9
bih,2010,437.2
bih,2011,460.3
bih,2012,476.8
bih,2013,454.8
bih,2014,475.1
bih,2015,519
bih,2016,560
bih,2017,571.9
bih,2018,619.4
bih,2019,687.7
bih,2020,688
bih,2021,793.8
bih,2022,982
bih,2023,1141.6
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,64.9
mne,2009,67.3
mne,2010,101.6
mne,2011,116.2
mne,2012,121.4
mne,2013,118.9
mne,2014,135.9
mne,2015,136.3
mne,2016,165.7
mne,2017,199.5
mne,2018,237.3
mne,2019,257.2
mne,2020,236.6
mne,2021,263.7
mne,2022,302.4
mne,2023,344.8
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,191.8
mkd,2009,202.2
mkd,2010,219.9
mkd,2011,233.6
mkd,2012,241.4
mkd,2013,260.7
mkd,2014,275.7
mkd,2015,292.3
mkd,2016,326
mkd,2017,358.2
mkd,2018,387.3
mkd,2019,427.6
mkd,2020,393.2
mkd,2021,461.4
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,247.6
alb,2009,260.5
alb,2010,259.6
alb,2011,279.3
alb,2012,384.8
alb,2013,438
alb,2014,531.8
alb,2015,587.9
alb,2016,645.3
alb,2017,741.4
alb,2018,837
alb,2019,943.8
alb,2020,851.2
alb,2021,935
alb,2022,1205.1
alb,2023,1568
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,2085.6
srb,2009,2149.6
srb,2010,2005
srb,2011,2245.1
srb,2012,2150.2
srb,2013,2392.9
srb,2014,2452.3
srb,2015,2520.1
srb,2016,2569.3
srb,2017,2828.9
srb,2018,3102.1
srb,2019,3372.2
srb,2020,3463.4
srb,2021,3862.1
srb,2022,4437.7
