country,year,foradl_lop_bruk
lie,2014,
lie,2015,
lie,2016,6.5
lie,2017,7.7
lie,2018,7.9
lie,2019,8
lie,2020,11.9
lie,2021,10.8
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,3451.7
nor,2009,3455.3
nor,2010,4963.1
nor,2011,4704.6
nor,2012,4299.1
nor,2013,4960.2
nor,2014,5235.7
nor,2015,5182.8
nor,2016,6821.6
nor,2017,6836.4
nor,2018,6749.6
nor,2019,6508.3
nor,2020,5952.6
nor,2021,6802.3
nor,2022,9274.8
nor,2023,9288.6
nor,2024,9110.7
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,3032.7
che,2009,2885.4
che,2010,2999.6
che,2011,3490.2
che,2012,3388.8
che,2013,3522.9
che,2014,3884.8
che,2015,3918.6
che,2016,4091.3
che,2017,3887.6
che,2018,3954.6
che,2019,4174.4
che,2020,4590.8
che,2021,4325
che,2022,4853.3
che,2023,5167.7
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,13622.1
gbr,2009,11953.7
gbr,2010,11368.1
gbr,2011,13332.5
gbr,2012,13590.3
gbr,2013,13515.3
gbr,2014,17447.8
gbr,2015,17123.6
gbr,2016,14024.7
gbr,2017,13536.5
gbr,2018,13772.9
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,940.4
bih,2009,897.3
bih,2010,881.5
bih,2011,906.3
bih,2012,822.9
bih,2013,936.7
bih,2014,832.5
bih,2015,893
bih,2016,954.1
bih,2017,883.1
bih,2018,992.4
bih,2019,997.2
bih,2020,1050.2
bih,2021,1004.6
bih,2022,1125.7
bih,2023,1187.7
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,230.9
mne,2009,247.5
mne,2010,239.9
mne,2011,263.6
mne,2012,237.1
mne,2013,270.2
mne,2014,280.1
mne,2015,294.6
mne,2016,295.3
mne,2017,294.7
mne,2018,313.9
mne,2019,316.5
mne,2020,316.2
mne,2021,320.2
mne,2022,358
mne,2023,381.1
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,775
mkd,2009,701.7
mkd,2010,719.4
