country,year,foradl_lop_kreativ
mlt,2017,1284.2
mlt,2018,1483.2
mlt,2019,1126.4
mlt,2020,1744.1
mlt,2021,1685.8
mlt,2022,1369.9
mlt,2023,1464.6
mlt,2024,1484.6
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,4450
nld,2009,4460
nld,2010,4613
nld,2011,4837
nld,2012,4800
nld,2013,4779
nld,2014,4966
nld,2015,5315
nld,2016,5566
nld,2017,5731
nld,2018,5932
nld,2019,6323
nld,2020,4803
nld,2021,4792
nld,2022,6566
nld,2023,7782
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1917.9
aut,2009,2027
aut,2010,2068.8
aut,2011,2151.5
aut,2012,2180.8
aut,2013,2174.8
aut,2014,2244.3
aut,2015,2324
aut,2016,2225.3
aut,2017,2352.7
aut,2018,2414.9
aut,2019,2560.2
aut,2020,1856.5
aut,2021,2026.9
aut,2022,2576.7
aut,2023,2828.8
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,2187
pol,2009,1897.4
pol,2010,1961.8
pol,2011,1942.7
pol,2012,1819.7
pol,2013,1800.8
pol,2014,1827.8
pol,2015,1982.5
pol,2016,2018
pol,2017,1976.3
pol,2018,2219.9
pol,2019,2232.6
pol,2020,2395.7
pol,2021,2469.8
pol,2022,2792.7
pol,2023,
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,607.1
prt,2009,620.4
prt,2010,634.8
prt,2011,635
prt,2012,572.8
prt,2013,522.8
prt,2014,582.6
prt,2015,636.2
prt,2016,672.9
prt,2017,736.2
prt,2018,738.7
prt,2019,808
prt,2020,668.9
prt,2021,799.3
prt,2022,1157.7
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,478.8
rou,2009,896.6
rou,2010,1854.1
rou,2011,2389.3
