country,year,loner_lop_vatten
aut,2018,1218.6
aut,2019,1276.1
aut,2020,1316.8
aut,2021,1369.4
aut,2022,1454.2
aut,2023,1557.8
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,1604.5
pol,2009,1442.1
pol,2010,1696
pol,2011,1757
pol,2012,1795.1
pol,2013,1848
pol,2014,1983.4
pol,2015,2034.4
pol,2016,2083.8
pol,2017,2306.8
pol,2018,2429.9
pol,2019,2640.8
pol,2020,2739.4
pol,2021,2858.6
pol,2022,3213.5
pol,2023,3692.4
pol,2024,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,750.9
prt,2009,793.2
prt,2010,763.8
prt,2011,776.9
prt,2012,714.7
prt,2013,758.2
prt,2014,725.8
prt,2015,749.8
prt,2016,757.4
prt,2017,802.7
prt,2018,815.5
prt,2019,881.6
prt,2020,917.4
prt,2021,972.6
prt,2022,1034
prt,2023,
prt,2024,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,447.9
rou,2009,550.7
rou,2010,550
rou,2011,739.3
rou,2012,621.5
rou,2013,678.6
rou,2014,651.9
rou,2015,696.9
rou,2016,758.6
rou,2017,845.3
rou,2018,946.8
rou,2019,1046.3
rou,2020,1102.3
rou,2021,1145
rou,2022,1307.1
rou,2023,1527.8
rou,2024,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,205.8
svn,2009,211.8
svn,2010,223
svn,2011,231.4
svn,2012,232.4
svn,2013,237.4
svn,2014,236.1
svn,2015,242.2
svn,2016,246.1
svn,2017,248.7
svn,2018,265
svn,2019,285.6
svn,2020,321.4
svn,2021,346.1
svn,2022,370.3
svn,2023,408.4
svn,2024,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,253.7
svk,2009,282.5
svk,2010,282.8
svk,2011,316.8
svk,2012,314.2
svk,2013,340.8
svk,2014,325.9
svk,2015,331.4
svk,2016,354.2
svk,2017,380
svk,2018,410
svk,2019,439.3
svk,2020,447.4
svk,2021,483.3
svk,2022,537
svk,2023,598.9
svk,2024,639.6
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,427
fin,2009,469
fin,2010,469
fin,2011,499
fin,2012,527
fin,2013,537
fin,2014,550
fin,2015,577
fin,2016,592
fin,2017,605
fin,2018,627
fin,2019,651
fin,2020,647
fin,2021,708
fin,2022,762
fin,2023,796
fin,2024,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
